analyte,concentration_mg_L,tier,condition,source,abs_blue,abs_green,abs_red,abs_white
Nitrogen,0.0,Low_Range,Blank,Data_Oct_NdatasetCSV,0.0,0.0,0.0,0.0
Nitrogen,0.2,Range_0_1,Nessler_Colorimetric,data29032024_Sub_PPM,0.0135,0.0,0.0,0.0035
Nitrogen,0.4,Range_0_1,Nessler_Colorimetric,data29032024_Sub_PPM,0.0268,0.0,0.0,0.007
Nitrogen,0.6,Range_0_1,Nessler_Colorimetric,data29032024_Sub_PPM,0.0395,0.0,0.0,0.011
Nitrogen,0.8,Range_0_1,Nessler_Colorimetric,data29032024_Sub_PPM,0.052,0.0,0.0,0.015
Nitrogen,1.0,Range_0_1_Boundary,Nessler_Colorimetric,data29032024_Sub_PPM,0.0655,0.0,0.0,0.0195
Nitrogen,2.0,Low_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,0.12956861921702284,0.0,0.0,0.0
Nitrogen,4.0,Low_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,0.23776780187371638,0.0005009064518220858,0.0,0.019094515104804755
Nitrogen,6.0,Low_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,0.3954628442210786,0.09418244408573083,0.0,0.08438808909652548
Nitrogen,8.0,Low_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,0.5190232204360966,0.11232659822148763,0.0,0.0983679279337161
Nitrogen,10.0,Low_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,0.7069963485034951,0.2949727917311984,0.0,0.21537792049138832
Nitrogen,20.0,Mid_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,0.9977748866196394,0.4366277711992063,0.0,0.2712899949079497
Nitrogen,40.0,Mid_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,1.264249785537845,0.8958981936943131,0.1463857687204618,0.4807388503474659
Nitrogen,60.0,High_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,1.1070194084876528,1.1053851278984241,0.45964858882719695,0.7508679547030577
Nitrogen,80.0,High_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,1.2240148113728642,1.3075730928529845,0.9116715900694805,1.1404909996109913
Nitrogen,100.0,High_Range,Reagent_Colorimetric,Data_Oct_NdatasetCSV,1.3276781512194475,1.3662836039496598,1.1075738561966106,1.3038489645974876
Phosphorus,0.0,Range_0_1,Colorimetric_Assay,Fine_Calibration_Data,0.0,0.0,0.0,0.0
Phosphorus,0.2,Range_0_1,Colorimetric_Assay,Fine_Calibration_Data,0.012,0.021,0.052,0.031
Phosphorus,0.4,Range_0_1,Colorimetric_Assay,Fine_Calibration_Data,0.022,0.038,0.098,0.055
Phosphorus,0.6,Range_0_1,Colorimetric_Assay,Fine_Calibration_Data,0.031,0.054,0.145,0.082
Phosphorus,0.8,Range_0_1,Colorimetric_Assay,Fine_Calibration_Data,0.04,0.071,0.188,0.106
Phosphorus,1.0,Range_0_1_Boundary,Colorimetric_Assay,Fine_Calibration_Data,0.0,0.032185,0.124939,0.066493
Phosphorus,2.0,Range_1_10,Colorimetric_Assay,Fine_Calibration_Data,0.09691,0.078427,0.191886,0.128244
Phosphorus,4.0,Range_1_10,Colorimetric_Assay,Fine_Calibration_Data,0.09691,0.179835,0.368976,0.282689
Phosphorus,6.0,Range_1_10,Colorimetric_Assay,Fine_Calibration_Data,0.09691,0.227731,0.492916,0.39794
Phosphorus,8.0,Range_1_10,Colorimetric_Assay,Fine_Calibration_Data,0.09691,0.285236,0.508155,0.424269
Phosphorus,10.0,Range_1_10,Colorimetric_Assay,Fine_Calibration_Data,0.09691,0.243038,0.50515,0.393703
Phosphorus,100.0,Range_10_1000,Molybdenum_Blue,Data_Sept_P_All,0.9403839875582736,0.5263452439433408,0.6939243038016488,0.6879872971086134
Phosphorus,1000.0,Range_10_1000,Molybdenum_Blue,Data_Sept_P_All,1.085180505199494,0.6061049505517221,0.7940476949375638,0.7873480574743875
