dataset,sample_name,integration_time_ms,gain,net_intensity_red,net_intensity_green,net_intensity_blue,net_intensity_clear
7_soil_calibration,B,540.0,1.0,3038.682624113475,2658.049645390071,3458.494680851064,8770.95035460993
7_soil_calibration,blank,614.0,16.0,19596.695652173912,15773.678260869565,9838.026086956523,43069.360869565215
7_soil_calibration,B,240.0,1.0,1522.5735524256652,1336.6846635367763,1743.4827856025038,4409.218309859155
7_soil_calibration,B,401.0,1.0,2415.5389610389607,2119.8636363636365,2748.385714285714,6979.448051948052
7_soil_calibration,RED,2.4,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,A,600.0,1.0,2792.0301418439717,2324.223404255319,2622.251773049645,7439.992907801419
7_soil_calibration,RER,24.0,1.0,77.83333333333333,66.0,111.25886524822694,244.77748226950354
7_soil_calibration,blank,614.0,16.0,19283.817391304347,15587.934782608696,9509.469565217392,42749.752173913046
7_soil_calibration,B,480.0,1.0,2858.8480519480518,2506.2376623376626,3272.612987012987,8275.063636363637
7_soil_calibration,C,499.0,1.0,2975.2872340425533,2494.0921985815603,3020.2109929078015,8146.833333333334
7_soil_calibration,C,50.0,1.0,391.8848039215686,332.781862745098,401.37745098039215,1081.0
7_soil_calibration,RER,420.0,1.0,1080.2207792207791,913.2688311688312,1508.6623376623377,3363.997402597403
7_soil_calibration,blank,101.0,1.0,269.8820512820513,219.39871794871794,141.81153846153845,622.1141025641025
7_soil_calibration,blank,154.0,1.0,395.6001564945227,323.12832550860725,209.60015649452268,914.7214397496089
7_soil_calibration,E,401.0,1.0,2033.0766233766233,1749.72987012987,2237.0337662337665,5777.00909090909
7_soil_calibration,E,240.0,1.0,1305.5936507936508,1130.3238095238096,1434.7555555555557,3715.661904761905
7_soil_calibration,RER,60.0,1.0,194.95454545454547,165.13636363636363,277.40909090909093,611.9738766980146
7_soil_calibration,BLACK,499.0,1.0,1214.6755319148936,1007.8829787234042,854.9592198581561,3003.7393617021276
7_soil_calibration,E,540.0,1.0,2623.8156028368794,2253.1436170212764,2860.700354609929,7427.987588652482
7_soil_calibration,blank,360.0,1.0,797.5974025974026,648.6129870129871,411.9662337662338,1832.6688311688313
7_soil_calibration,E,480.0,1.0,2384.255319148936,2051.9893617021276,2603.3475177304963,6757.445035460993
