matrix,spiked_analyte,spiked_conc_mg_L,spike_volume_ml,file_name,net_red,net_green,net_blue,net_clear
Vermicompost,N,10.0,1.0,Vermicom_N10mgL_1.0ml_0.txt,1502.8881922675027,1402.5370950888191,1362.4169278996865,4267.842215256009
Vermicompost,N,10.0,1.0,Vermicom_N10mgL_1.0ml_1.txt,1600.7931034482758,1473.3657262277952,1336.8814002089864,4411.040229885058
Vermicompost,P,10.0,1.0,Vermicom_P10mgL1.0ml_0.txt,1803.4043887147334,1612.012539184953,1365.8986415882966,4781.315569487983
Vermicompost,P,10.0,1.0,Vermicom_P10mgL1.0ml_1.txt,1766.3526645768025,1586.7183908045977,1339.426854754441,4692.497910135841
Vermicompost,P,10.0,1.0,Vermicom_P10mgL_1.txt,1762.4670846394984,1582.9926854754442,1316.8908045977012,4662.350574712644
Vermicompost,N,10.0,1.0,Vermicom_N10mgL_0.txt,1618.1870428422153,1473.0308254963427,1219.0882967607106,4310.306165099269
Vermicompost,N,10.0,1.0,Vermicom_N10mgL_1.txt,1624.462382445141,1477.3422152560083,1205.2445141065832,4307.0491118077325
Vermicompost,P,10.0,1.0,Vermicom_P10mgL_0.txt,1766.3735632183907,1584.5229885057472,1342.4702194357367,4693.366771159875
Vermicompost,P,10.0,0.5,Vermicom_P10mgL.5ml_1.txt,1622.9638318670577,1489.0615835777126,1315.2629521016618,4427.288367546432
Vermicompost,P,10.0,1.0,Vermicom_P10mgL_1.0ml_1.txt,1692.680250783699,1544.3291536050156,1398.0057471264367,4635.015151515151
Vermicompost,P,10.0,1.0,Vermicom_P10mgL_1.0ml_0.txt,1822.4038662486937,1633.4743991640544,1426.4717868338557,4882.350052246605
Vermicompost,P,10.0,0.5,Vermicom_P10mgL.5ml_0.txt,1713.004835589942,1549.5657640232107,1352.5647969052225,4615.135396518375
Vermicompost,P,10.0,1.0,Vermicom_0.txt,1771.7115987460813,1593.9331243469173,1405.2257053291535,4770.870428422152
Vermicompost,P,10.0,1.0,Vermicom_1.txt,1699.8328108672936,1541.7042842215255,1332.5736677115988,4574.110762800417
Vermicompost,N,10.0,0.5,Vermicom_N10mgL_0.5ml_1.txt,1565.4973876698016,1438.5992685475444,1222.242946708464,4226.339602925809
Vermicompost,N,10.0,0.5,Vermicom_N10mgL_0.5ml_0.txt,1615.8061650992684,1473.664054336468,1241.6865203761756,4331.156739811911
Vermicompost,P,10.0,0.5,Vermicom_P10mgL_0.5ml_0.txt,1707.0266457680252,1547.1598746081504,1316.0172413793102,4570.203761755485
Vermicompost,P,10.0,0.5,Vermicom_P10mgL_0.5ml_1.txt,1714.8876698014628,1553.385579937304,1302.9561128526645,4571.229362591432
