A_199ms_1x_0  :  Time_199ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 25,42,52,125
0, 25,42,52,125
0, 25,42,52,125
0, 25,42,52,125
0, 25,42,52,125
0, 25,42,52,125
0, 25,42,52,125
0, 25,42,52,125
0, 25,42,52,125
Light Source Color - WHITE	 , 08/05/2024,14:26:25
1, 25,42,52,125
1, 1237,1065,1222,3398
1, 1235,1064,1216,3390
1, 1235,1064,1211,3384
1, 1234,1063,1208,3380
1, 1233,1063,1205,3376
1, 1233,1063,1203,3373
1, 1233,1063,1202,3372
1, 1232,1063,1200,3369
1, 1232,1062,1198,3367
Light Source Color - OFF	 , 08/05/2024,14:26:31
2, 948,823,927,2604
2, 25,42,52,125
2, 25,42,52,125
2, 25,42,52,125
2, 25,42,52,125
2, 25,42,52,125
2, 25,42,52,125
2, 25,42,52,125
2, 25,42,52,125
2, 25,42,52,125
Light Source Color - RED	 , 08/05/2024,14:26:37
3, 25,42,52,125
3, 145,96,1113,1249
3, 144,96,1111,1246
3, 144,96,1110,1245
3, 144,96,1109,1244
3, 144,96,1109,1243
3, 144,96,1108,1243
3, 144,96,1107,1242
3, 144,96,1107,1242
3, 144,96,1106,1241
Light Source Color - OFF	 , 08/05/2024,14:26:42
4, 144,96,1106,1241
4, 25,42,52,125
4, 25,42,52,125
4, 25,42,52,125
4, 25,42,52,125
4, 25,42,52,125
4, 25,42,52,125
4, 25,42,52,125
4, 25,42,52,125
4, 25,42,52,125
Light Source Color - GREEN	 , 08/05/2024,14:26:48
5, 25,42,52,125
5, 287,759,158,1224
5, 287,759,158,1223
5, 287,759,158,1223
5, 287,758,158,1223
5, 287,758,158,1222
5, 286,758,158,1222
5, 286,758,158,1222
5, 286,758,158,1222
5, 286,758,158,1222
Light Source Color - OFF	 , 08/05/2024,14:26:54
6, 282,747,156,1206
6, 25,42,52,125
6, 25,42,52,125
6, 25,42,52,125
6, 25,42,52,125
6, 25,42,52,125
6, 25,42,52,125
6, 25,42,52,125
6, 25,42,52,125
6, 25,42,52,125
Light Source Color - BLUE	 , 08/05/2024,14:27:00
7, 25,42,52,125
7, 935,342,64,1309
7, 934,342,64,1309
7, 934,342,64,1309
7, 934,342,64,1308
7, 934,342,64,1308
7, 934,342,64,1309
7, 934,342,64,1308
7, 934,342,64,1308
7, 934,342,64,1308
Light Source Color - OFF	 , 08/05/2024,14:27:06
8, 934,342,64,1308
8, 25,42,52,125
8, 25,42,52,125
8, 25,42,52,125
8, 25,42,52,125
8, 25,42,52,125
8, 25,42,52,125
8, 25,42,52,125
8, 25,42,52,125
8, 25,42,52,125
Light Source Color - WHITE	 , 08/05/2024,14:27:12
9, 131,132,155,412
9, 1236,1065,1216,3391
9, 1234,1064,1209,3382
9, 1233,1063,1205,3377
9, 1233,1063,1203,3374
9, 1232,1063,1200,3370
9, 1232,1062,1198,3367
9, 1231,1062,1196,3364
9, 1231,1062,1194,3362
9, 1230,1062,1192,3359
Light Source Color - OFF	 , 08/05/2024,14:27:18
10, 1230,1061,1190,3357
10, 25,42,52,124
10, 25,42,52,125
10, 25,42,52,125
10, 25,42,52,125
10, 25,42,52,125
10, 25,42,52,125
10, 25,42,52,125
10, 25,42,52,125
10, 25,42,52,125
Light Source Color - RED	 , 08/05/2024,14:27:23
11, 28,44,85,160
11, 144,96,1108,1243
11, 144,96,1106,1241
11, 144,96,1105,1240
11, 144,96,1104,1239
11, 144,96,1104,1238
11, 144,96,1103,1238
11, 144,96,1103,1237
11, 144,96,1102,1237
11, 144,96,1102,1236
Light Source Color - OFF	 , 08/05/2024,14:27:29
12, 144,96,1101,1236
12, 25,42,52,125
12, 25,42,52,125
12, 25,42,52,125
12, 25,42,52,125
12, 25,42,52,125
12, 25,42,52,125
12, 25,42,52,125
12, 25,42,52,125
12, 25,42,52,125
Light Source Color - GREEN	 , 08/05/2024,14:27:35
13, 25,42,52,125
13, 287,759,158,1223
13, 287,758,158,1222
13, 286,758,158,1222
13, 286,758,158,1222
13, 286,758,158,1221
13, 286,757,158,1221
13, 286,757,158,1221
13, 286,757,158,1221
13, 286,757,158,1221
Light Source Color - OFF	 , 08/05/2024,14:27:41
14, 253,666,144,1082
14, 25,42,52,125
14, 25,42,52,125
14, 25,42,52,125
14, 25,42,52,125
14, 25,42,52,125
14, 25,42,52,125
14, 25,42,52,125
14, 25,42,52,125
14, 25,42,52,125
Light Source Color - BLUE	 , 08/05/2024,14:27:47
15, 25,42,52,125
15, 934,342,64,1308
15, 934,342,64,1308
15, 934,342,64,1308
15, 933,342,64,1308
15, 933,342,64,1308
15, 934,342,64,1308
15, 933,342,64,1308
15, 933,342,64,1308
15, 933,342,64,1308
Light Source Color - OFF	 , 08/05/2024,14:27:53
