A_2.4ms_1x_0  :  Time_2.4ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 0,51,63,151
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,14:09:41
1, 15,13,15,42
1, 15,13,15,42
1, 15,13,15,42
1, 15,13,15,42
1, 15,13,15,42
1, 15,13,15,42
1, 15,13,15,41
1, 15,13,15,41
1, 15,13,15,41
1, 15,13,15,41
1, 15,13,15,41
1, 15,13,15,41
1, 15,13,15,41
1, 15,13,15,41
Light Source Color - OFF	 , 08/05/2024,14:09:46
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,14:09:52
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
3, 2,1,14,15
Light Source Color - OFF	 , 08/05/2024,14:09:57
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,14:10:03
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
5, 3,9,2,15
Light Source Color - OFF	 , 08/05/2024,14:10:09
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,14:10:15
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
Light Source Color - OFF	 , 08/05/2024,14:10:20
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,14:10:26
9, 15,13,15,42
9, 15,13,15,42
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
9, 15,13,15,41
Light Source Color - OFF	 , 08/05/2024,14:10:32
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,14:10:38
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
11, 2,1,14,15
Light Source Color - OFF	 , 08/05/2024,14:10:43
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,14:10:49
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
13, 3,9,2,15
Light Source Color - OFF	 , 08/05/2024,14:10:55
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,14:11:01
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
Light Source Color - OFF	 , 08/05/2024,14:11:06
