BLACK_2.4ms_1x_0  :  Time_2.4ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,18:45:53
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
1, 8,7,6,20
Light Source Color - OFF	 , 08/05/2024,18:45:58
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,18:46:04
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
3, 1,1,6,7
Light Source Color - OFF	 , 08/05/2024,18:46:10
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,18:46:16
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
Light Source Color - OFF	 , 08/05/2024,18:46:22
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,18:46:28
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
Light Source Color - OFF	 , 08/05/2024,18:46:34
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,18:46:40
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
9, 8,7,6,20
Light Source Color - OFF	 , 08/05/2024,18:46:45
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,18:46:51
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
11, 1,1,6,7
Light Source Color - OFF	 , 08/05/2024,18:46:57
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,18:47:03
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
Light Source Color - OFF	 , 08/05/2024,18:47:09
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,18:47:15
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
Light Source Color - OFF	 , 08/05/2024,18:47:21
