BLACK_24ms_1x_0  :  Time_24ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 3,5,1,1
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
Light Source Color - WHITE	 , 08/05/2024,18:47:57
1, 79,69,63,207
1, 79,69,62,206
1, 79,69,62,206
1, 79,69,62,206
1, 79,69,62,206
1, 79,69,62,205
1, 79,69,62,205
1, 79,69,61,205
1, 79,69,61,205
1, 79,69,61,205
1, 79,69,61,205
1, 79,69,61,205
Light Source Color - OFF	 , 08/05/2024,18:48:02
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
Light Source Color - RED	 , 08/05/2024,18:48:08
3, 8,8,56,68
3, 8,8,56,68
3, 8,8,56,68
3, 8,8,56,68
3, 8,8,56,67
3, 8,8,56,67
3, 8,8,56,67
3, 8,8,56,67
3, 8,8,55,67
3, 8,8,55,67
3, 8,8,55,67
3, 8,8,55,67
Light Source Color - OFF	 , 08/05/2024,18:48:14
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
Light Source Color - GREEN	 , 08/05/2024,18:48:20
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
5, 20,51,13,87
Light Source Color - OFF	 , 08/05/2024,18:48:26
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
Light Source Color - BLUE	 , 08/05/2024,18:48:31
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
7, 64,25,7,95
Light Source Color - OFF	 , 08/05/2024,18:48:37
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
Light Source Color - WHITE	 , 08/05/2024,18:48:43
9, 79,69,62,207
9, 79,69,62,206
9, 79,69,62,206
9, 79,69,62,205
9, 79,69,61,205
9, 79,69,61,205
9, 79,69,61,205
9, 79,69,61,205
9, 79,69,61,205
9, 79,69,61,205
9, 79,69,61,205
9, 79,69,61,205
Light Source Color - OFF	 , 08/05/2024,18:48:49
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
Light Source Color - RED	 , 08/05/2024,18:48:55
11, 8,8,56,68
11, 8,8,55,67
11, 8,8,55,67
11, 8,8,55,67
11, 8,8,55,67
11, 8,8,55,67
11, 8,8,55,67
11, 8,8,55,67
11, 8,8,55,67
11, 8,8,55,67
11, 8,8,55,67
11, 8,8,55,67
Light Source Color - OFF	 , 08/05/2024,18:49:00
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
Light Source Color - GREEN	 , 08/05/2024,18:49:06
13, 20,51,13,87
13, 20,51,13,87
13, 20,51,13,87
13, 20,51,13,87
13, 20,51,13,87
13, 20,51,13,86
13, 20,51,13,86
13, 20,51,13,86
13, 20,51,13,86
13, 20,51,13,86
13, 20,51,13,86
13, 20,51,13,86
Light Source Color - OFF	 , 08/05/2024,18:49:12
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
Light Source Color - BLUE	 , 08/05/2024,18:49:18
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
15, 64,25,7,95
Light Source Color - OFF	 , 08/05/2024,18:49:24
