B_120ms_1x_0  :  Time_120ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 15,26,32,77
0, 15,26,32,77
0, 15,26,32,77
0, 15,26,32,77
0, 15,26,32,77
0, 15,26,32,77
0, 15,26,32,77
0, 15,26,32,77
0, 15,26,32,77
0, 15,26,32,77
Light Source Color - WHITE	 , 08/05/2024,15:18:36
1, 388,355,468,1167
1, 923,827,1085,2723
1, 922,827,1081,2717
1, 921,826,1077,2712
1, 920,826,1074,2709
1, 920,826,1072,2707
1, 920,825,1070,2704
1, 919,825,1069,2702
1, 919,825,1067,2701
1, 919,825,1066,2698
1, 918,825,1065,2697
Light Source Color - OFF	 , 08/05/2024,15:18:42
2, 804,724,933,2364
2, 15,26,32,77
2, 15,26,32,77
2, 15,26,32,77
2, 15,26,32,77
2, 15,26,32,77
2, 15,26,32,77
2, 15,26,32,77
2, 15,26,32,77
2, 15,26,32,77
2, 15,26,32,77
Light Source Color - RED	 , 08/05/2024,15:18:47
3, 76,54,583,660
3, 123,75,998,1101
3, 123,75,997,1099
3, 123,75,996,1098
3, 123,75,995,1097
3, 123,75,994,1097
3, 123,75,994,1096
3, 123,75,994,1096
3, 123,75,993,1095
3, 123,75,993,1095
3, 123,75,993,1095
Light Source Color - OFF	 , 08/05/2024,15:18:53
4, 117,72,938,1037
4, 15,26,32,77
4, 15,26,32,77
4, 15,26,32,77
4, 15,26,32,77
4, 15,26,32,77
4, 15,26,32,77
4, 15,26,32,77
4, 15,26,32,77
4, 15,26,32,77
4, 15,26,32,77
Light Source Color - GREEN	 , 08/05/2024,15:18:59
5, 127,339,79,554
5, 223,604,120,960
5, 223,604,120,960
5, 223,604,120,960
5, 223,604,120,960
5, 223,604,120,959
5, 223,604,120,959
5, 223,604,120,959
5, 223,604,120,959
5, 223,604,120,959
5, 223,604,120,959
Light Source Color - OFF	 , 08/05/2024,15:19:05
6, 220,596,119,948
6, 15,26,32,77
6, 15,26,32,77
6, 15,26,32,77
6, 15,26,32,77
6, 15,26,32,77
6, 15,26,32,77
6, 15,26,32,77
6, 15,26,32,77
6, 15,26,32,77
6, 15,26,32,77
Light Source Color - BLUE	 , 08/05/2024,15:19:10
7, 327,129,37,483
7, 673,243,41,932
7, 673,243,41,932
7, 673,243,41,932
7, 673,243,41,932
7, 673,243,41,932
7, 673,243,41,932
7, 673,243,41,932
7, 672,243,41,932
7, 673,243,41,932
7, 673,243,41,932
Light Source Color - OFF	 , 08/05/2024,15:19:16
8, 672,243,41,932
8, 15,26,32,77
8, 15,26,32,77
8, 15,26,32,77
8, 15,26,32,77
8, 15,26,32,77
8, 15,26,32,77
8, 15,26,32,77
8, 15,26,32,77
8, 15,26,32,77
8, 15,26,32,77
Light Source Color - WHITE	 , 08/05/2024,15:19:22
9, 366,335,441,1101
9, 922,827,1082,2719
9, 921,826,1077,2713
9, 920,826,1073,2708
9, 920,826,1071,2705
9, 920,825,1069,2703
9, 919,825,1067,2700
9, 919,825,1066,2699
9, 919,825,1064,2697
9, 918,825,1063,2695
9, 918,825,1062,2693
Light Source Color - OFF	 , 08/05/2024,15:19:28
10, 803,723,930,2359
10, 15,26,32,77
10, 15,26,32,77
10, 15,26,32,77
10, 15,26,32,77
10, 15,26,32,77
10, 15,26,32,77
10, 15,26,32,77
10, 15,26,32,77
10, 15,26,32,77
10, 15,26,32,77
Light Source Color - RED	 , 08/05/2024,15:19:33
11, 71,51,530,604
11, 123,75,996,1098
11, 123,75,994,1096
11, 123,75,993,1095
11, 123,75,992,1094
11, 123,75,992,1094
11, 122,75,991,1093
11, 122,75,991,1093
11, 122,75,991,1092
11, 122,75,990,1092
11, 122,75,990,1092
Light Source Color - OFF	 , 08/05/2024,15:19:39
12, 122,75,990,1092
12, 15,26,32,77
12, 15,26,32,77
12, 15,26,32,77
12, 15,26,32,77
12, 15,26,32,77
12, 15,26,32,77
12, 15,26,32,77
12, 15,26,32,77
12, 15,26,32,77
12, 15,26,32,77
Light Source Color - GREEN	 , 08/05/2024,15:19:45
13, 101,264,68,440
13, 223,604,120,960
13, 223,604,120,960
13, 223,604,120,959
13, 223,604,120,959
13, 223,604,120,959
13, 223,604,120,959
13, 223,604,120,959
13, 223,604,120,959
13, 223,604,120,959
13, 223,604,120,959
Light Source Color - OFF	 , 08/05/2024,15:19:51
14, 223,604,120,959
14, 15,26,32,77
14, 15,26,32,77
14, 15,26,32,77
14, 15,26,32,77
14, 15,26,32,77
14, 15,26,32,77
14, 15,26,32,77
14, 15,26,32,77
14, 15,26,32,77
14, 15,26,32,77
Light Source Color - BLUE	 , 08/05/2024,15:19:56
15, 205,89,35,324
15, 673,243,41,932
15, 673,243,41,932
15, 673,243,41,932
15, 673,243,41,932
15, 673,243,41,932
15, 673,243,41,932
15, 673,243,41,932
15, 672,243,41,932
15, 672,243,41,932
15, 672,243,41,932
Light Source Color - OFF	 , 08/05/2024,15:20:02
