B_2.4ms_1x_0  :  Time_2.4ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 0,5,6,15
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,15:27:27
1, 18,16,22,55
1, 18,16,22,54
1, 18,16,22,54
1, 18,16,22,54
1, 18,16,22,54
1, 18,16,22,54
1, 18,16,22,54
1, 18,16,21,54
1, 18,16,21,54
1, 18,16,21,54
1, 18,16,21,54
1, 18,16,21,54
1, 18,16,21,54
1, 18,16,21,54
Light Source Color - OFF	 , 08/05/2024,15:27:33
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,15:27:38
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
3, 2,1,20,22
Light Source Color - OFF	 , 08/05/2024,15:27:44
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,15:27:50
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
