C_2.4ms_1x_0  :  Time_2.4ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,15:31:19
1, 19,16,20,54
1, 19,16,20,54
1, 19,16,20,54
1, 19,16,20,53
1, 19,16,20,53
1, 19,16,20,53
1, 19,16,20,53
1, 19,16,20,53
1, 19,16,20,53
1, 19,16,20,53
1, 19,16,20,53
1, 19,16,20,53
1, 19,16,20,53
1, 19,16,20,53
Light Source Color - OFF	 , 08/05/2024,15:31:25
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,15:31:30
3, 2,1,19,21
3, 2,1,19,21
3, 2,1,19,21
3, 2,1,19,21
3, 2,1,19,21
3, 2,1,19,21
3, 2,1,19,21
3, 2,1,19,21
3, 2,1,19,20
3, 2,1,19,20
3, 2,1,19,20
3, 2,1,19,20
3, 2,1,19,20
3, 2,1,19,20
Light Source Color - OFF	 , 08/05/2024,15:31:36
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,15:31:42
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
5, 4,12,2,19
Light Source Color - OFF	 , 08/05/2024,15:31:47
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,15:31:53
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
7, 14,5,1,19
Light Source Color - OFF	 , 08/05/2024,15:31:59
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,15:32:04
9, 19,16,20,54
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
9, 19,16,20,53
Light Source Color - OFF	 , 08/05/2024,15:32:10
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,15:32:16
11, 2,1,19,20
11, 2,1,18,20
11, 2,1,18,20
11, 2,1,18,20
11, 2,1,18,20
11, 2,1,18,20
11, 2,1,18,20
11, 2,1,18,20
11, 2,1,18,20
11, 2,1,18,20
11, 2,1,18,20
11, 2,1,18,20
