C_50ms_1x_0  :  Time_50ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 6,11,6,15
0, 6,11,14,32
0, 6,11,14,32
0, 6,11,14,32
0, 6,11,14,32
0, 6,11,14,32
0, 6,11,14,32
0, 6,11,14,32
0, 6,11,14,32
0, 6,11,14,32
0, 6,11,14,32
Light Source Color - WHITE	 , 08/05/2024,15:34:47
1, 400,345,425,1126
1, 399,345,422,1121
1, 399,344,420,1119
1, 399,344,419,1117
1, 398,344,418,1116
1, 398,344,417,1115
1, 398,344,416,1114
1, 398,344,416,1114
1, 398,344,415,1113
1, 398,344,415,1112
1, 398,344,414,1112
1, 397,344,414,1111
Light Source Color - OFF	 , 08/05/2024,15:34:52
2, 17,20,24,61
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
2, 6,11,14,32
Light Source Color - RED	 , 08/05/2024,15:34:58
3, 48,30,388,429
3, 48,30,386,428
3, 48,30,386,427
3, 48,30,385,427
3, 48,30,385,426
3, 48,30,385,426
3, 48,30,385,426
3, 48,30,385,426
3, 48,30,384,425
3, 48,30,384,425
3, 48,30,384,425
3, 48,30,384,425
3, 48,30,384,425
Light Source Color - OFF	 , 08/05/2024,15:35:04
4, 21,18,150,177
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
4, 6,11,14,32
Light Source Color - GREEN	 , 08/05/2024,15:35:10
5, 80,211,43,339
5, 92,247,48,392
5, 92,246,48,392
5, 92,246,48,392
5, 92,246,48,392
5, 92,246,48,392
5, 92,246,48,392
5, 92,246,48,392
5, 92,246,48,392
5, 92,246,48,392
5, 92,246,48,392
5, 92,246,48,392
5, 92,246,48,392
Light Source Color - OFF	 , 08/05/2024,15:35:16
6, 13,30,16,62
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
6, 6,11,14,32
Light Source Color - BLUE	 , 08/05/2024,15:35:22
7, 275,99,17,381
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
7, 297,106,17,410
Light Source Color - OFF	 , 08/05/2024,15:35:27
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
8, 6,11,14,32
Light Source Color - WHITE	 , 08/05/2024,15:35:33
9, 400,345,424,1124
9, 399,344,420,1119
9, 399,344,418,1117
9, 398,344,417,1115
9, 398,344,416,1114
9, 398,344,415,1113
9, 398,344,415,1112
9, 398,344,414,1112
9, 398,344,414,1111
9, 397,344,413,1110
9, 397,344,413,1110
9, 397,344,412,1109
Light Source Color - OFF	 , 08/05/2024,15:35:39
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
10, 6,11,14,32
Light Source Color - RED	 , 08/05/2024,15:35:45
11, 48,30,386,428
11, 48,30,385,426
11, 48,30,384,425
11, 48,30,384,425
11, 48,30,384,425
11, 48,30,384,424
11, 48,30,383,424
11, 48,30,383,424
11, 47,30,383,424
11, 47,30,383,424
11, 47,30,383,424
11, 47,30,383,424
11, 47,30,383,424
Light Source Color - OFF	 , 08/05/2024,15:35:51
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
12, 6,11,14,32
Light Source Color - GREEN	 , 08/05/2024,15:35:57
13, 92,247,48,393
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
13, 92,246,48,392
Light Source Color - OFF	 , 08/05/2024,15:36:02
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
14, 6,11,14,32
Light Source Color - BLUE	 , 08/05/2024,15:36:08
15, 297,106,18,410
15, 297,106,17,410
15, 297,106,18,410
15, 297,106,17,410
15, 297,106,17,410
15, 297,106,18,410
15, 297,106,17,410
15, 297,106,17,410
15, 297,106,17,410
15, 297,106,17,410
15, 297,106,17,410
15, 297,106,18,410
15, 297,106,17,410
Light Source Color - OFF	 , 08/05/2024,15:36:14
