D_101ms_1x_0  :  Time_101ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 13,22,32,77
0, 13,22,27,65
0, 13,22,27,65
0, 13,22,27,65
0, 13,22,27,65
0, 13,22,27,65
0, 13,22,27,65
0, 13,22,27,65
0, 13,22,27,65
0, 13,22,27,65
Light Source Color - WHITE	 , 08/05/2024,16:39:06
1, 332,296,385,978
1, 641,561,727,1856
1, 640,561,724,1852
1, 640,561,722,1850
1, 640,561,720,1847
1, 639,560,718,1845
1, 639,560,717,1844
1, 639,560,716,1843
1, 638,560,715,1841
1, 638,560,714,1840
1, 638,560,714,1839
Light Source Color - OFF	 , 08/05/2024,16:39:12
2, 553,487,619,1596
2, 13,22,27,65
2, 13,22,27,65
2, 13,22,27,65
2, 13,22,27,65
2, 13,22,27,65
2, 13,22,27,65
2, 13,22,27,65
2, 13,22,27,65
2, 13,22,27,65
2, 13,22,27,65
Light Source Color - RED	 , 08/05/2024,16:39:17
3, 55,41,407,468
3, 84,55,669,745
3, 84,55,668,744
3, 84,54,668,743
3, 84,54,667,743
3, 84,54,667,743
3, 84,54,667,742
3, 84,54,666,742
3, 84,54,666,742
3, 84,54,666,741
3, 84,54,666,741
Light Source Color - OFF	 , 08/05/2024,16:39:23
4, 77,51,601,672
4, 13,22,27,65
4, 13,22,27,65
4, 13,22,27,65
4, 13,22,27,65
4, 13,22,27,65
4, 13,22,27,65
4, 13,22,27,65
4, 13,22,27,65
4, 13,22,27,65
4, 13,22,27,65
Light Source Color - GREEN	 , 08/05/2024,16:39:29
5, 97,254,62,421
5, 151,404,84,649
5, 151,404,84,649
5, 151,404,84,649
5, 151,403,84,649
5, 151,403,84,649
5, 151,403,84,649
5, 151,403,84,649
5, 151,403,84,649
5, 151,403,84,648
5, 151,403,84,648
Light Source Color - OFF	 , 08/05/2024,16:39:35
6, 137,364,78,589
6, 13,22,27,65
6, 13,22,27,65
6, 13,22,27,65
6, 13,22,27,65
6, 13,22,27,65
6, 13,22,27,65
6, 13,22,27,65
6, 13,22,27,65
6, 13,22,27,65
6, 13,22,27,65
Light Source Color - BLUE	 , 08/05/2024,16:39:40
7, 280,109,31,412
7, 469,171,33,658
7, 469,171,33,658
7, 469,171,33,658
7, 469,171,33,658
7, 469,171,33,658
7, 469,171,33,658
7, 469,171,33,658
7, 469,171,33,658
7, 469,171,33,658
7, 469,171,33,658
Light Source Color - OFF	 , 08/05/2024,16:39:46
8, 443,162,33,624
8, 13,22,27,65
8, 13,22,27,65
8, 13,22,27,65
8, 13,22,27,65
8, 13,22,27,65
8, 13,22,27,65
8, 13,22,27,65
8, 13,22,27,65
8, 13,22,27,65
8, 13,22,27,65
Light Source Color - WHITE	 , 08/05/2024,16:39:52
9, 367,326,423,1077
9, 640,561,724,1853
9, 640,561,721,1849
9, 639,560,719,1846
9, 639,560,718,1844
9, 639,560,716,1842
9, 638,560,715,1841
9, 638,560,714,1840
9, 638,560,713,1838
9, 638,560,712,1837
9, 637,560,711,1836
Light Source Color - OFF	 , 08/05/2024,16:39:58
10, 522,461,585,1510
10, 13,22,27,65
10, 13,22,27,65
10, 13,22,27,65
10, 13,22,27,65
10, 13,22,27,65
10, 13,22,27,65
10, 13,22,27,65
10, 13,22,27,65
10, 13,22,27,65
10, 13,22,27,65
Light Source Color - RED	 , 08/05/2024,16:40:04
11, 53,41,393,453
11, 84,54,667,743
11, 84,54,666,742
11, 84,54,666,741
11, 84,54,665,741
11, 84,54,665,740
11, 84,54,665,740
11, 84,54,664,740
11, 84,54,664,740
11, 84,54,664,739
11, 84,54,664,739
Light Source Color - OFF	 , 08/05/2024,16:40:09
12, 81,53,639,713
12, 13,22,27,65
12, 13,22,27,65
12, 13,22,27,65
12, 13,22,27,65
12, 13,22,27,65
12, 13,22,27,65
12, 13,22,27,65
12, 13,22,27,65
12, 13,22,27,65
12, 13,22,27,65
Light Source Color - GREEN	 , 08/05/2024,16:40:15
13, 82,214,56,358
13, 151,404,84,649
13, 151,403,84,649
13, 151,403,84,649
13, 151,403,84,649
13, 151,403,84,648
13, 151,403,84,648
13, 151,403,84,648
13, 151,403,84,648
13, 151,403,84,648
13, 151,403,84,648
Light Source Color - OFF	 , 08/05/2024,16:40:21
14, 27,62,33,126
14, 13,22,27,65
14, 13,22,27,65
14, 13,22,27,65
14, 13,22,27,65
14, 13,22,27,65
14, 13,22,27,65
14, 13,22,27,65
14, 13,22,27,65
14, 13,22,27,65
14, 13,22,27,65
Light Source Color - BLUE	 , 08/05/2024,16:40:27
15, 128,60,29,215
15, 469,171,33,658
15, 469,171,33,658
15, 469,171,33,658
15, 469,171,33,658
15, 469,171,33,658
15, 469,171,33,658
15, 469,171,33,658
15, 469,171,33,658
15, 469,171,33,658
15, 469,171,33,658
Light Source Color - OFF	 , 08/05/2024,16:40:32
