D_2.4ms_1x_0  :  Time_2.4ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 0,5,6,15
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,2
Light Source Color - WHITE	 , 08/05/2024,16:46:33
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
1, 15,13,17,44
Light Source Color - OFF	 , 08/05/2024,16:46:38
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,16:46:44
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
3, 2,1,16,18
Light Source Color - OFF	 , 08/05/2024,16:46:50
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,16:46:55
5, 4,10,2,15
5, 4,10,2,15
5, 4,10,2,15
5, 4,10,2,15
5, 3,10,2,15
5, 4,10,2,15
5, 3,10,2,15
5, 4,10,2,15
5, 4,10,2,15
5, 4,10,2,15
5, 4,10,2,15
5, 4,10,2,15
5, 4,10,2,15
Light Source Color - OFF	 , 08/05/2024,16:47:01
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,16:47:06
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
7, 11,4,1,16
Light Source Color - OFF	 , 08/05/2024,16:47:12
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,2
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,16:47:17
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
9, 15,13,17,44
Light Source Color - OFF	 , 08/05/2024,16:47:23
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,16:47:29
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
Light Source Color - OFF	 , 08/05/2024,16:47:34
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,16:47:40
13, 4,10,2,15
13, 4,10,2,15
13, 4,10,2,15
13, 3,10,2,15
13, 4,10,2,15
13, 4,10,2,15
13, 4,10,2,15
13, 4,10,2,15
13, 4,10,2,15
13, 4,10,2,15
13, 3,10,2,15
13, 4,10,2,15
13, 4,10,2,15
Light Source Color - OFF	 , 08/05/2024,16:47:45
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,16:47:51
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
15, 11,4,1,16
Light Source Color - OFF	 , 08/05/2024,16:47:56
