E_120ms_1x_0  :  Time_120ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 15,26,33,78
0, 15,26,33,78
0, 15,26,33,78
0, 15,26,33,78
0, 15,26,33,78
0, 15,26,33,78
0, 15,26,33,78
0, 15,26,33,78
0, 15,26,33,78
Light Source Color - WHITE	 , 08/05/2024,17:05:38
1, 554,492,644,1629
1, 790,697,907,2306
1, 789,697,903,2301
1, 789,697,901,2298
1, 788,696,899,2295
1, 788,696,897,2293
1, 788,696,896,2291
1, 788,696,894,2290
1, 787,696,893,2288
1, 787,696,892,2287
Light Source Color - OFF	 , 08/05/2024,17:05:43
2, 453,406,519,1329
2, 15,26,33,78
2, 15,26,33,78
2, 15,26,33,78
2, 15,26,33,78
2, 15,26,33,78
2, 15,26,33,78
2, 15,26,33,78
2, 15,26,33,78
2, 15,26,33,78
Light Source Color - RED	 , 08/05/2024,17:05:49
3, 80,56,625,706
3, 103,67,836,930
3, 103,67,834,928
3, 103,67,834,927
3, 103,67,833,926
3, 103,67,832,926
3, 103,67,832,926
3, 103,67,832,925
3, 103,67,831,925
3, 103,67,831,924
Light Source Color - OFF	 , 08/05/2024,17:05:54
4, 94,63,754,843
4, 15,26,33,78
4, 15,26,33,78
4, 15,26,33,78
4, 15,26,33,78
4, 15,26,33,78
4, 15,26,33,78
4, 15,26,33,78
4, 15,26,33,78
4, 15,26,33,78
Light Source Color - GREEN	 , 08/05/2024,17:06:00
5, 96,249,65,418
5, 191,510,104,817
5, 191,510,104,817
5, 191,510,104,817
5, 191,510,104,817
5, 191,510,104,817
5, 191,510,104,817
5, 191,510,104,817
5, 191,510,104,817
5, 191,510,104,817
Light Source Color - OFF	 , 08/05/2024,17:06:05
6, 54,134,48,243
6, 15,26,33,78
6, 15,26,33,78
6, 15,26,33,78
6, 15,26,33,78
6, 15,26,33,78
6, 15,26,33,78
6, 15,26,33,78
6, 15,26,33,78
6, 15,26,33,78
Light Source Color - BLUE	 , 08/05/2024,17:06:11
7, 15,26,33,78
7, 582,211,40,814
7, 582,211,40,814
7, 582,211,40,814
7, 582,211,40,814
7, 582,211,40,814
7, 583,211,40,814
7, 583,211,40,814
7, 583,211,40,814
7, 583,211,40,814
Light Source Color - OFF	 , 08/05/2024,17:06:16
8, 342,133,37,502
8, 15,26,33,78
8, 15,26,33,78
8, 15,26,33,78
8, 15,26,33,78
8, 15,26,33,78
8, 15,26,33,78
8, 15,26,33,78
8, 15,26,33,78
8, 15,26,33,78
Light Source Color - WHITE	 , 08/05/2024,17:06:22
9, 674,598,785,1981
9, 779,690,900,2281
9, 779,690,896,2276
9, 778,690,894,2274
9, 778,690,892,2271
9, 778,689,891,2269
9, 777,689,889,2268
9, 777,689,888,2266
9, 777,689,887,2265
9, 777,689,886,2264
Light Source Color - OFF	 , 08/05/2024,17:06:27
10, 253,234,299,762
10, 15,26,32,77
10, 15,26,32,78
10, 15,26,33,78
10, 15,26,33,78
10, 15,26,33,78
10, 15,26,33,78
10, 15,26,33,78
10, 15,26,33,78
10, 15,26,33,78
Light Source Color - RED	 , 08/05/2024,17:06:33
11, 19,28,70,117
11, 103,67,830,924
11, 103,67,829,922
11, 103,67,828,921
11, 103,66,828,921
11, 103,66,827,920
11, 103,66,827,920
11, 103,66,827,919
11, 103,66,826,919
11, 103,66,826,919
Light Source Color - OFF	 , 08/05/2024,17:06:38
12, 60,47,442,512
12, 15,26,33,78
12, 15,26,33,78
12, 15,26,33,78
12, 15,26,33,78
12, 15,26,33,78
12, 15,26,33,78
12, 15,26,33,78
12, 15,26,33,78
12, 15,26,33,78
Light Source Color - GREEN	 , 08/05/2024,17:06:44
13, 15,26,33,78
13, 190,508,104,815
13, 190,508,104,814
13, 190,508,104,814
13, 190,508,104,814
13, 190,508,104,814
13, 190,508,104,814
13, 190,508,104,814
13, 190,508,104,814
13, 190,508,104,814
Light Source Color - OFF	 , 08/05/2024,17:06:49
14, 131,346,80,567
14, 15,26,32,78
14, 15,26,33,78
14, 15,26,33,78
14, 15,26,33,78
14, 15,26,33,78
14, 15,26,33,78
14, 15,26,33,78
14, 15,26,33,78
14, 15,26,33,78
Light Source Color - BLUE	 , 08/05/2024,17:06:55
15, 457,170,38,652
15, 583,211,40,815
15, 583,211,40,815
15, 583,212,40,815
15, 583,212,40,815
15, 583,212,40,815
15, 583,212,40,815
15, 583,212,40,815
15, 583,212,40,815
15, 583,212,40,815
Light Source Color - OFF	 , 08/05/2024,17:07:00
