E_2.4ms_1x_0  :  Time_2.4ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,2
0, 0,0,1,1
0, 0,0,1,2
0, 0,0,1,2
Light Source Color - WHITE	 , 08/05/2024,16:49:47
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
1, 16,14,18,46
Light Source Color - OFF	 , 08/05/2024,16:49:52
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,2
2, 0,0,1,2
2, 0,0,1,2
2, 0,0,1,2
2, 0,0,1,2
2, 0,0,1,2
2, 0,0,1,2
2, 0,0,1,2
2, 0,0,1,2
2, 0,0,1,2
2, 0,0,1,2
Light Source Color - RED	 , 08/05/2024,16:49:58
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
3, 2,1,17,18
Light Source Color - OFF	 , 08/05/2024,16:50:03
4, 0,0,1,1
4, 0,0,1,2
4, 0,0,1,2
4, 0,0,1,2
4, 0,0,1,2
4, 0,0,1,2
4, 0,0,1,2
4, 0,0,1,1
4, 0,0,1,2
4, 0,0,1,2
4, 0,0,1,2
4, 0,0,1,2
4, 0,0,1,2
Light Source Color - GREEN	 , 08/05/2024,16:50:09
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
5, 4,10,2,16
Light Source Color - OFF	 , 08/05/2024,16:50:15
6, 0,0,1,1
6, 0,0,1,2
6, 0,0,1,2
6, 0,0,1,1
6, 0,0,1,2
6, 0,0,1,2
6, 0,0,1,2
6, 0,0,1,2
6, 0,0,1,2
6, 0,0,1,2
6, 0,0,1,2
6, 0,0,1,2
6, 0,0,1,2
Light Source Color - BLUE	 , 08/05/2024,16:50:20
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
7, 12,4,1,16
Light Source Color - OFF	 , 08/05/2024,16:50:26
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
8, 0,0,1,2
Light Source Color - WHITE	 , 08/05/2024,16:50:31
9, 16,14,18,46
9, 16,14,18,46
9, 16,14,18,46
9, 16,14,18,46
9, 16,14,18,46
9, 16,14,18,46
9, 16,14,18,46
9, 16,14,18,45
9, 16,14,18,45
9, 16,14,18,45
9, 16,14,18,45
9, 16,14,18,45
9, 16,14,18,45
Light Source Color - OFF	 , 08/05/2024,16:50:37
10, 0,0,1,1
10, 0,0,1,2
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,2
10, 0,0,1,2
10, 0,0,1,1
10, 0,0,1,2
10, 0,0,1,2
10, 0,0,1,2
10, 0,0,1,2
10, 0,0,1,2
10, 0,0,1,2
Light Source Color - RED	 , 08/05/2024,16:50:43
11, 2,1,17,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
11, 2,1,16,18
Light Source Color - OFF	 , 08/05/2024,16:50:48
12, 0,0,1,1
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
12, 0,0,1,2
Light Source Color - GREEN	 , 08/05/2024,16:50:54
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
13, 4,10,2,16
Light Source Color - OFF	 , 08/05/2024,16:50:59
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,2
14, 0,0,1,2
14, 0,0,1,2
14, 0,0,1,2
14, 0,0,1,2
14, 0,0,1,2
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,2
14, 0,0,1,2
14, 0,0,1,2
Light Source Color - BLUE	 , 08/05/2024,16:51:05
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
15, 12,4,1,16
Light Source Color - OFF	 , 08/05/2024,16:51:10
