RED_7  :  Time_24ms. Gain_1X
Light Source Color - OFF
N,P,K
1, 3,5,6
2, 3,5,6
3, 3,5,6
4, 3,5,6
5, 3,5,6
6, 3,5,6
Light Source Color - BLUE	 , 08/05/2024,11:35:52
1, 53,22,7
2, 53,22,7
3, 53,22,7
4, 53,22,7
5, 53,22,7
6, 53,22,7
7, 53,22,7
8, 53,22,7
9, 53,22,7
10, 53,22,7
11, 53,22,7
12, 53,22,7
13, 53,22,7
14, 53,22,7
15, 53,22,7
16, 53,22,7
17, 53,22,7
18, 53,22,7
19, 53,22,7
20, 53,22,7
21, 53,22,7
22, 53,22,7
23, 53,22,7
24, 53,22,7
25, 53,22,7
26, 53,22,7
27, 53,22,7
28, 53,22,7
29, 53,22,7
30, 53,22,7
31, 53,22,7
32, 53,22,7
33, 54,22,7
34, 54,22,7
35, 54,22,7
36, 54,22,7
37, 54,22,7
38, 54,22,7
39, 54,22,7
40, 54,22,7
41, 54,22,7
42, 54,22,7
43, 54,22,7
44, 54,22,7
45, 54,22,7
46, 54,22,7
47, 54,22,7
48, 54,22,7
49, 54,22,7
50, 54,22,7
51, 54,22,7
52, 54,22,7
53, 54,22,7
54, 54,22,7
55, 54,22,7
56, 54,22,7
57, 54,22,7
58, 54,22,7
59, 54,22,7
60, 54,22,7
61, 54,22,7
62, 54,22,7
63, 54,22,7
64, 54,22,7
65, 54,22,7
66, 54,22,7
67, 54,22,7
68, 54,22,7
69, 54,22,7
70, 54,22,7
71, 54,22,7
72, 54,22,7
73, 54,22,7
74, 54,22,7
75, 54,22,7
76, 54,22,7
Light Source Color - GREEN	 , 08/05/2024,11:36:21
1, 18,48,13
2, 18,48,13
3, 18,48,13
4, 18,48,13
5, 18,48,13
6, 18,48,13
7, 18,48,13
8, 18,48,13
9, 18,48,13
10, 18,48,13
11, 18,48,13
12, 18,48,13
13, 18,48,13
14, 18,48,13
15, 18,48,13
16, 18,48,13
17, 18,48,13
18, 18,48,13
19, 18,48,13
20, 18,48,13
21, 18,48,13
22, 18,48,13
23, 18,48,13
24, 18,48,13
25, 18,48,13
26, 18,48,13
27, 18,48,13
28, 18,48,13
29, 18,48,13
30, 18,48,13
31, 18,48,13
32, 18,48,13
33, 18,48,13
34, 18,48,13
35, 18,48,13
36, 18,48,13
37, 18,48,13
38, 18,48,13
39, 18,48,13
40, 18,48,13
41, 18,48,13
42, 18,48,13
43, 18,48,13
44, 18,48,13
45, 18,48,13
46, 18,48,13
47, 18,48,13
48, 18,48,13
49, 18,48,13
50, 18,48,13
51, 18,48,13
52, 18,48,13
53, 18,48,13
54, 18,48,13
55, 18,48,13
56, 18,48,13
57, 18,48,13
58, 18,48,13
59, 18,48,13
60, 18,48,13
61, 18,48,13
62, 18,48,13
63, 18,48,13
64, 18,48,13
Light Source Color - RED	 , 08/05/2024,11:36:45
1, 13,9,92
2, 13,9,92
3, 13,9,92
4, 13,9,92
5, 13,9,92
6, 13,9,92
7, 13,9,93
8, 13,9,93
9, 13,9,93
10, 13,9,93
11, 13,9,93
12, 13,9,93
13, 13,9,93
14, 13,9,93
15, 13,9,93
16, 13,9,93
17, 13,9,93
18, 13,9,93
19, 13,9,93
20, 13,9,93
21, 13,9,93
22, 13,9,93
23, 13,9,93
24, 13,9,93
25, 13,9,93
26, 13,9,93
27, 13,9,93
28, 13,9,93
29, 13,9,93
30, 13,9,93
31, 13,9,93
32, 13,9,93
33, 13,9,93
34, 13,9,93
35, 13,9,93
36, 13,9,93
37, 13,9,93
38, 13,9,93
39, 13,9,93
40, 13,9,93
41, 13,9,93
42, 13,9,93
43, 13,9,93
44, 13,9,93
45, 13,9,93
46, 13,9,93
47, 13,9,93
48, 13,9,93
49, 13,9,93
50, 13,9,93
51, 13,9,93
52, 13,9,93
53, 13,9,93
54, 13,9,93
55, 13,9,93
56, 13,9,93
57, 13,9,93
58, 13,9,93
59, 13,9,93
60, 13,9,93
61, 13,9,93
62, 13,9,93
63, 13,9,93
64, 13,9,93
65, 13,9,93
66, 13,9,93
67, 13,9,93
68, 13,9,93
69, 13,9,93
70, 13,9,93
71, 13,9,93
72, 13,9,93
73, 13,9,93
74, 13,9,93
75, 13,9,93
76, 13,9,93
77, 13,9,93
78, 13,9,93
79, 13,9,93
80, 13,9,93
81, 13,9,93
82, 13,9,93
83, 13,9,93
84, 13,9,93
85, 13,9,93
86, 13,10,93
87, 13,9,93
88, 13,10,93
89, 13,9,93
90, 13,9,93
91, 13,9,94
92, 13,10,94
93, 13,9,94
