RER_154ms_1x_0  :  Time_154ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 19,33,41,98
0, 19,33,41,98
0, 19,33,41,98
0, 19,33,41,98
0, 19,33,41,98
0, 19,33,41,98
0, 19,33,41,98
0, 19,33,41,98
Light Source Color - WHITE	 , 08/05/2024,18:32:30
1, 48,57,82,188
1, 518,457,762,1677
1, 518,457,758,1673
1, 517,456,756,1669
1, 517,456,754,1667
1, 517,456,752,1665
1, 516,456,751,1663
1, 516,456,749,1661
1, 516,456,748,1660
Light Source Color - OFF	 , 08/05/2024,18:32:36
2, 486,430,704,1565
2, 19,33,41,97
2, 19,33,41,98
2, 19,33,41,98
2, 19,33,41,98
2, 19,33,41,98
2, 19,33,41,98
2, 19,33,41,98
2, 19,33,41,98
2, 19,33,41,98
Light Source Color - RED	 , 08/05/2024,18:32:42
3, 60,51,408,486
3, 94,67,717,814
3, 94,67,716,813
3, 94,67,716,812
3, 94,67,715,812
3, 94,67,715,811
3, 94,67,714,811
3, 94,67,714,810
3, 94,67,714,810
3, 94,67,713,810
Light Source Color - OFF	 , 08/05/2024,18:32:48
4, 89,65,669,762
4, 19,33,41,98
4, 19,33,41,98
4, 19,33,41,98
4, 19,33,41,98
4, 19,33,41,98
4, 19,33,41,98
4, 19,33,41,98
4, 19,33,41,98
4, 19,33,41,98
Light Source Color - GREEN	 , 08/05/2024,18:32:54
5, 82,210,68,373
5, 125,330,86,560
5, 125,330,86,559
5, 125,330,86,559
5, 125,330,86,559
5, 125,330,86,559
5, 125,330,86,559
5, 125,330,86,559
5, 125,330,86,559
Light Source Color - OFF	 , 08/05/2024,18:33:00
6, 69,175,62,318
6, 19,33,41,98
6, 19,33,41,98
6, 19,33,41,98
6, 19,33,41,98
6, 19,33,41,98
6, 19,33,41,98
6, 19,33,41,98
6, 19,33,41,98
6, 19,33,41,98
Light Source Color - BLUE	 , 08/05/2024,18:33:06
7, 24,35,41,104
7, 370,147,45,558
7, 370,147,45,558
7, 370,147,45,557
7, 370,147,45,557
7, 370,147,45,557
7, 370,147,45,557
7, 370,147,45,557
7, 370,147,45,557
7, 370,147,45,557
Light Source Color - OFF	 , 08/05/2024,18:33:12
8, 185,87,43,315
8, 19,33,41,98
8, 19,33,41,98
8, 19,33,41,98
8, 19,33,41,98
8, 19,33,41,98
8, 19,33,41,98
8, 19,33,41,98
8, 19,33,41,98
8, 19,33,41,98
Light Source Color - WHITE	 , 08/05/2024,18:33:18
9, 35,47,64,148
9, 518,457,758,1672
9, 517,456,754,1667
9, 517,456,751,1664
9, 516,456,750,1662
9, 516,456,748,1660
9, 516,456,747,1658
9, 515,455,745,1657
9, 515,455,744,1655
Light Source Color - OFF	 , 08/05/2024,18:33:24
10, 515,455,743,1654
10, 19,33,41,97
10, 19,33,41,98
10, 19,33,41,98
10, 19,33,41,98
10, 19,33,41,98
10, 19,33,41,98
10, 19,33,41,98
10, 19,33,41,98
10, 19,33,41,98
Light Source Color - RED	 , 08/05/2024,18:33:30
11, 53,48,346,421
11, 94,67,714,811
11, 94,67,713,809
11, 94,67,712,809
11, 94,67,712,808
11, 94,67,711,808
11, 94,67,711,807
11, 94,67,711,807
11, 94,67,710,807
11, 94,67,710,806
Light Source Color - OFF	 , 08/05/2024,18:33:36
12, 94,67,710,806
12, 19,33,41,98
12, 19,33,41,98
12, 19,33,41,98
12, 19,33,41,98
12, 19,33,41,98
12, 19,33,41,98
12, 19,33,41,98
12, 19,33,41,98
12, 19,33,41,98
Light Source Color - GREEN	 , 08/05/2024,18:33:42
13, 68,170,62,310
13, 125,330,86,559
13, 125,330,86,559
13, 125,330,86,559
13, 125,330,86,559
13, 125,330,86,559
13, 125,330,86,559
13, 125,330,86,559
13, 125,330,86,559
Light Source Color - OFF	 , 08/05/2024,18:33:48
14, 84,217,69,383
14, 19,33,41,98
14, 19,33,41,98
14, 19,33,41,98
14, 19,33,41,98
14, 19,33,41,98
14, 19,33,41,98
14, 19,33,41,98
14, 19,33,41,98
14, 19,33,41,98
Light Source Color - BLUE	 , 08/05/2024,18:33:54
15, 19,33,41,98
15, 370,147,45,557
15, 370,147,45,557
15, 370,147,45,557
15, 370,147,45,557
15, 370,147,45,557
15, 370,147,45,557
15, 370,147,45,557
15, 370,147,45,557
15, 370,147,45,557
Light Source Color - OFF	 , 08/05/2024,18:34:00
