RER_2.4ms_1x_0  :  Time_2.4ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 0,5,6,15
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,18:43:45
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
1, 8,7,12,26
Light Source Color - OFF	 , 08/05/2024,18:43:50
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,18:43:56
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
3, 1,1,11,13
Light Source Color - OFF	 , 08/05/2024,18:44:02
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,18:44:08
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
5, 2,5,1,9
Light Source Color - OFF	 , 08/05/2024,18:44:14
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,18:44:20
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
7, 6,2,1,9
Light Source Color - OFF	 , 08/05/2024,18:44:26
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,18:44:32
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
9, 8,7,12,26
Light Source Color - OFF	 , 08/05/2024,18:44:37
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,18:44:43
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
11, 1,1,11,13
Light Source Color - OFF	 , 08/05/2024,18:44:49
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,18:44:55
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
13, 2,5,1,9
Light Source Color - OFF	 , 08/05/2024,18:45:01
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,18:45:07
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
15, 6,2,1,9
Light Source Color - OFF	 , 08/05/2024,18:45:13
