blank0_2.4ms_1x_0  :  Time_2.4ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 0,11,13,32
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,13:56:52
1, 7,6,5,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
Light Source Color - OFF	 , 08/05/2024,13:56:58
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,13:57:04
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
Light Source Color - OFF	 , 08/05/2024,13:57:10
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,13:57:16
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
Light Source Color - OFF	 , 08/05/2024,13:57:22
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,13:57:29
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
Light Source Color - OFF	 , 08/05/2024,13:57:35
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,13:57:41
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
Light Source Color - OFF	 , 08/05/2024,13:57:47
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,13:57:53
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
Light Source Color - OFF	 , 08/05/2024,13:57:59
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,13:58:05
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
Light Source Color - OFF	 , 08/05/2024,13:58:11
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,13:58:17
15, 5,2,1,8
