blank0_50ms_1x_0  :  Time_50ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 6,11,6,15
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
Light Source Color - WHITE	 , 08/05/2024,13:54:08
1, 54,50,42,145
1, 142,123,95,356
1, 142,123,94,355
1, 142,123,94,355
1, 142,123,94,355
1, 142,123,94,354
1, 142,123,94,354
1, 142,123,94,354
1, 142,123,93,354
1, 142,123,93,354
1, 141,123,93,353
1, 141,123,93,353
1, 141,123,93,353
1, 141,123,93,353
Light Source Color - OFF	 , 08/05/2024,13:54:14
2, 82,73,58,212
2, 6,11,13,31
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
Light Source Color - RED	 , 08/05/2024,13:54:20
3, 11,13,58,79
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
3, 14,14,83,106
Light Source Color - OFF	 , 08/05/2024,13:54:26
4, 8,12,29,49
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
Light Source Color - GREEN	 , 08/05/2024,13:54:32
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
5, 35,90,24,154
Light Source Color - OFF	 , 08/05/2024,13:54:38
6, 32,81,23,140
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
Light Source Color - BLUE	 , 08/05/2024,13:54:44
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
7, 114,45,14,173
Light Source Color - OFF	 , 08/05/2024,13:54:50
8, 91,38,14,143
8, 6,11,13,32
