blankA_0  :  Time_24ms. Gain_1x
Light Source Color - OFF
N,P,K
0, 3,5,0
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
0, 3,5,6
Light Source Color - WHITE	 , 08/05/2024,12:02:43
1, 64,56,46
1, 64,56,46
1, 64,56,46
1, 64,56,46
1, 64,56,46
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
1, 64,56,45
Light Source Color - OFF	 , 08/05/2024,12:02:58
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
2, 3,5,6
Light Source Color - RED	 , 08/05/2024,12:03:14
3, 7,7,41
3, 7,7,41
3, 7,7,41
3, 7,7,41
3, 7,7,41
3, 7,7,41
3, 7,7,41
3, 7,7,41
3, 7,7,41
3, 7,7,41
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
3, 7,7,40
Light Source Color - OFF	 , 08/05/2024,12:03:29
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
4, 3,5,6
Light Source Color - GREEN	 , 08/05/2024,12:03:44
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 17,43,11
5, 16,43,11
5, 16,43,11
5, 16,43,11
5, 16,43,11
5, 16,43,11
5, 16,43,11
5, 16,43,11
5, 16,42,11
5, 16,42,11
5, 16,42,11
5, 16,42,11
5, 16,42,11
5, 16,42,11
5, 16,42,11
5, 16,42,11
5, 16,42,11
Light Source Color - OFF	 , 08/05/2024,12:03:59
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
6, 3,5,6
Light Source Color - BLUE	 , 08/05/2024,12:04:15
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
7, 53,21,7
Light Source Color - OFF	 , 08/05/2024,12:04:30
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
8, 3,5,6
