blank_2.4ms_1x_0  :  Time_2.4ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 0,5,6,15
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
0, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,20:36:44
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
1, 7,6,4,17
Light Source Color - OFF	 , 08/05/2024,20:36:50
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
2, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,20:36:55
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
3, 1,1,4,5
Light Source Color - OFF	 , 08/05/2024,20:37:01
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
4, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,20:37:07
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
5, 2,4,1,7
Light Source Color - OFF	 , 08/05/2024,20:37:13
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
6, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,20:37:19
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
7, 5,2,1,8
Light Source Color - OFF	 , 08/05/2024,20:37:25
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
8, 0,0,1,1
Light Source Color - WHITE	 , 08/05/2024,20:37:31
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
9, 7,6,4,17
Light Source Color - OFF	 , 08/05/2024,20:37:37
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
10, 0,0,1,1
Light Source Color - RED	 , 08/05/2024,20:37:43
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
11, 1,1,4,5
Light Source Color - OFF	 , 08/05/2024,20:37:49
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
12, 0,0,1,1
Light Source Color - GREEN	 , 08/05/2024,20:37:55
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
13, 2,4,1,7
Light Source Color - OFF	 , 08/05/2024,20:38:01
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
14, 0,0,1,1
Light Source Color - BLUE	 , 08/05/2024,20:38:07
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
15, 5,2,1,8
Light Source Color - OFF	 , 08/05/2024,20:38:12
