blank_24ms_1x_0  :  Time_24ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 3,5,13,32
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
Light Source Color - WHITE	 , 08/05/2024,20:34:26
1, 68,59,42,167
1, 68,59,41,167
1, 68,59,41,166
1, 68,59,41,166
1, 68,59,41,166
1, 68,59,41,166
1, 68,59,41,166
1, 68,59,41,166
1, 68,58,41,166
1, 68,58,41,166
1, 68,58,41,166
Light Source Color - OFF	 , 08/05/2024,20:34:32
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
Light Source Color - RED	 , 08/05/2024,20:34:37
3, 6,7,36,47
3, 6,7,36,47
3, 6,7,36,47
3, 6,7,36,47
3, 6,7,36,47
3, 6,7,36,47
3, 6,7,36,47
3, 6,7,36,47
3, 6,7,36,47
3, 6,7,36,47
3, 6,7,36,47
Light Source Color - OFF	 , 08/05/2024,20:34:43
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
Light Source Color - GREEN	 , 08/05/2024,20:34:49
5, 17,43,11,74
5, 17,43,11,74
5, 17,43,11,74
5, 17,43,11,74
5, 17,43,11,73
5, 17,43,11,73
5, 17,43,11,73
5, 17,43,11,73
5, 17,43,11,73
5, 17,43,11,73
5, 17,43,11,73
Light Source Color - OFF	 , 08/05/2024,20:34:54
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
Light Source Color - BLUE	 , 08/05/2024,20:35:00
7, 56,22,7,84
7, 56,22,7,84
7, 56,22,7,84
7, 56,22,7,84
7, 56,22,7,84
7, 56,22,7,84
7, 56,22,7,84
7, 56,22,7,84
7, 56,22,7,84
7, 56,22,7,84
7, 56,22,7,84
Light Source Color - OFF	 , 08/05/2024,20:35:06
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
Light Source Color - WHITE	 , 08/05/2024,20:35:11
9, 68,59,41,167
9, 68,59,41,166
9, 68,59,41,166
9, 68,59,41,166
9, 68,58,41,166
9, 68,58,41,166
9, 68,58,41,166
9, 68,58,41,166
9, 68,58,41,166
9, 68,58,41,165
9, 68,58,40,165
Light Source Color - OFF	 , 08/05/2024,20:35:17
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
Light Source Color - RED	 , 08/05/2024,20:35:23
11, 6,7,36,47
11, 6,7,36,47
11, 6,7,36,47
11, 6,7,36,47
11, 6,7,36,47
11, 6,7,36,46
11, 6,7,36,46
11, 6,7,36,46
11, 6,7,36,46
11, 6,7,36,46
11, 6,7,36,46
Light Source Color - OFF	 , 08/05/2024,20:35:28
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
Light Source Color - GREEN	 , 08/05/2024,20:35:34
13, 17,43,11,74
13, 17,43,11,74
13, 17,43,11,74
13, 17,43,11,73
13, 17,43,11,73
13, 17,43,11,73
13, 17,43,11,73
13, 17,43,11,73
13, 17,43,11,73
13, 17,43,11,73
13, 17,43,11,73
Light Source Color - OFF	 , 08/05/2024,20:35:40
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
Light Source Color - BLUE	 , 08/05/2024,20:35:45
15, 56,22,7,84
15, 56,22,7,84
15, 56,22,7,84
15, 56,22,7,84
15, 56,22,7,84
15, 56,22,7,84
15, 56,22,7,84
15, 56,22,7,84
15, 56,22,7,84
15, 56,22,7,84
15, 56,22,7,84
Light Source Color - OFF	 , 08/05/2024,20:35:51
