No.,Order,Color,Intensity
6,6,White,637
7,7,White,640
8,8,White,642
9,9,White,647
10,10,White,645
11,11,White,644
12,12,White,648
13,13,White,649
14,14,White,655
15,15,White,655
16,16,White,651
17,17,White,646
18,18,White,654
19,19,White,649
20,20,White,648
21,21,White,644
22,22,White,653
23,23,White,649
24,24,White,644
35,6,Red,278
36,7,Red,271
37,8,Red,275
38,9,Red,274
39,10,Red,271
40,11,Red,273
41,12,Red,276
42,13,Red,277
43,14,Red,278
44,15,Red,271
45,16,Red,279
46,17,Red,277
47,18,Red,276
48,19,Red,279
49,20,Red,274
50,21,Red,269
51,22,Red,277
52,23,Red,276
53,24,Red,270
63,6,Green,260
64,7,Green,255
65,8,Green,251
66,9,Green,249
67,10,Green,259
68,11,Green,259
69,12,Green,253
70,13,Green,247
71,14,Green,252
72,15,Green,253
73,16,Green,249
74,17,Green,253
75,18,Green,250
76,19,Green,253
77,20,Green,253
78,21,Green,251
79,22,Green,251
80,23,Green,251
81,24,Green,251
92,6,Blue,167
93,7,Blue,174
94,8,Blue,173
95,9,Blue,170
96,10,Blue,174
97,11,Blue,177
98,12,Blue,178
99,13,Blue,174
100,14,Blue,174
101,15,Blue,173
102,16,Blue,173
103,17,Blue,170
104,18,Blue,168
105,19,Blue,170
106,20,Blue,170
107,21,Blue,174
108,22,Blue,169
109,23,Blue,172
110,24,Blue,171
121,6,Black,17
122,7,Black,16
123,8,Black,14
124,9,Black,17
125,10,Black,15
126,11,Black,14
127,12,Black,14
128,13,Black,15
129,14,Black,16
130,15,Black,15
131,16,Black,17
132,17,Black,17
133,18,Black,17
134,19,Black,16
135,20,Black,15
136,21,Black,16
137,22,Black,15
138,23,Black,14
139,24,Black,16
177,6,White,646
178,7,White,644
179,8,White,641
180,9,White,650
181,10,White,647
182,11,White,651
183,12,White,644
184,13,White,650
185,14,White,651
186,15,White,648
187,16,White,643
188,17,White,648
189,18,White,646
190,19,White,638
191,20,White,639
192,21,White,650
193,22,White,648
194,23,White,646
195,24,White,645
206,6,Red,272
207,7,Red,267
208,8,Red,271
209,9,Red,275
210,10,Red,275
211,11,Red,274
212,12,Red,270
213,13,Red,270
214,14,Red,273
215,15,Red,276
216,16,Red,271
217,17,Red,272
218,18,Red,272
219,19,Red,269
220,20,Red,276
221,21,Red,271
222,22,Red,278
223,23,Red,277
224,24,Red,274
235,6,Green,246
236,7,Green,245
237,8,Green,246
238,9,Green,246
239,10,Green,246
240,11,Green,248
241,12,Green,245
242,13,Green,243
243,14,Green,249
244,15,Green,244
245,16,Green,246
246,17,Green,248
247,18,Green,249
248,19,Green,246
249,20,Green,248
250,21,Green,249
251,22,Green,254
252,23,Green,249
253,24,Green,252
264,6,Blue,169
265,7,Blue,170
266,8,Blue,171
267,9,Blue,169
268,10,Blue,171
269,11,Blue,175
270,12,Blue,170
271,13,Blue,170
272,14,Blue,171
273,15,Blue,171
274,16,Blue,172
275,17,Blue,174
276,18,Blue,174
277,19,Blue,172
278,20,Blue,174
279,21,Blue,168
280,22,Blue,168
281,23,Blue,174
282,24,Blue,171
293,6,Black,15
294,7,Black,14
295,8,Black,15
296,9,Black,17
297,10,Black,16
298,11,Black,18
299,12,Black,17
300,13,Black,15
301,14,Black,15
302,15,Black,17
303,16,Black,17
304,17,Black,15
305,18,Black,17
306,19,Black,15
307,20,Black,15
308,21,Black,16
309,22,Black,16
310,23,Black,17
311,24,Black,16
350,6,White,640
351,7,White,642
352,8,White,638
353,9,White,642
354,10,White,646
355,11,White,647
356,12,White,648
357,13,White,647
358,14,White,650
359,15,White,650
360,16,White,647
361,17,White,649
362,18,White,652
363,19,White,654
364,20,White,652
365,21,White,650
366,22,White,643
367,23,White,641
368,24,White,638
379,6,Red,271
380,7,Red,272
381,8,Red,279
382,9,Red,277
383,10,Red,272
384,11,Red,274
385,12,Red,272
386,13,Red,275
387,14,Red,269
388,15,Red,270
389,16,Red,276
390,17,Red,275
391,18,Red,274
392,19,Red,278
393,20,Red,271
394,21,Red,273
395,22,Red,280
396,23,Red,271
397,24,Red,272
408,6,Green,251
409,7,Green,254
410,8,Green,251
411,9,Green,252
412,10,Green,254
413,11,Green,257
414,12,Green,251
415,13,Green,252
416,14,Green,249
417,15,Green,258
418,16,Green,252
419,17,Green,254
420,18,Green,259
421,19,Green,255
422,20,Green,257
423,21,Green,253
424,22,Green,252
425,23,Green,257
426,24,Green,260
437,6,Blue,170
438,7,Blue,175
439,8,Blue,172
440,9,Blue,173
441,10,Blue,171
442,11,Blue,173
443,12,Blue,170
444,13,Blue,173
445,14,Blue,175
446,15,Blue,172
447,16,Blue,173
448,17,Blue,172
449,18,Blue,171
