No.,Order,Color,Intensity
6,6,White,799
7,7,White,810
8,8,White,803
9,9,White,803
10,10,White,807
11,11,White,801
12,12,White,800
13,13,White,806
14,14,White,808
15,15,White,805
16,16,White,803
17,17,White,799
18,18,White,805
19,19,White,794
20,20,White,807
21,21,White,803
22,22,White,802
23,23,White,809
24,24,White,801
35,6,Red,288
36,7,Red,292
37,8,Red,285
38,9,Red,285
39,10,Red,288
40,11,Red,290
41,12,Red,290
42,13,Red,286
43,14,Red,287
44,15,Red,289
45,16,Red,293
46,17,Red,290
47,18,Red,294
48,19,Red,286
49,20,Red,289
50,21,Red,289
51,22,Red,287
52,23,Red,288
53,24,Red,288
63,6,Green,350
64,7,Green,351
65,8,Green,349
66,9,Green,355
67,10,Green,350
68,11,Green,350
69,12,Green,348
70,13,Green,352
71,14,Green,355
72,15,Green,351
73,16,Green,349
74,17,Green,356
75,18,Green,354
76,19,Green,349
77,20,Green,351
78,21,Green,355
79,22,Green,351
80,23,Green,347
81,24,Green,344
92,6,Blue,221
93,7,Blue,227
94,8,Blue,227
95,9,Blue,222
96,10,Blue,228
97,11,Blue,228
98,12,Blue,228
99,13,Blue,226
100,14,Blue,224
101,15,Blue,224
102,16,Blue,223
103,17,Blue,226
104,18,Blue,228
105,19,Blue,228
106,20,Blue,221
107,21,Blue,222
108,22,Blue,220
109,23,Blue,226
110,24,Blue,231
121,6,Black,14
122,7,Black,16
123,8,Black,14
124,9,Black,16
125,10,Black,16
126,11,Black,14
127,12,Black,15
128,13,Black,15
129,14,Black,16
130,15,Black,14
131,16,Black,15
132,17,Black,14
133,18,Black,16
134,19,Black,15
135,20,Black,15
136,21,Black,16
137,22,Black,16
138,23,Black,14
139,24,Black,14
179,6,White,799
180,7,White,796
181,8,White,798
182,9,White,796
183,10,White,796
184,11,White,796
185,12,White,800
186,13,White,803
187,14,White,790
188,15,White,794
189,16,White,801
190,17,White,803
191,18,White,796
192,19,White,797
193,20,White,798
194,21,White,798
195,22,White,798
196,23,White,792
197,24,White,792
208,6,Red,291
209,7,Red,292
210,8,Red,285
211,9,Red,290
212,10,Red,293
213,11,Red,289
214,12,Red,290
215,13,Red,294
216,14,Red,292
217,15,Red,290
218,16,Red,289
219,17,Red,293
220,18,Red,293
221,19,Red,292
222,20,Red,289
223,21,Red,290
224,22,Red,292
225,23,Red,294
226,24,Red,290
237,6,Green,343
238,7,Green,353
239,8,Green,346
240,9,Green,345
241,10,Green,343
242,11,Green,353
243,12,Green,353
244,13,Green,354
245,14,Green,347
246,15,Green,350
247,16,Green,350
248,17,Green,349
249,18,Green,340
250,19,Green,341
251,20,Green,345
252,21,Green,347
253,22,Green,354
254,23,Green,346
255,24,Green,345
265,6,Blue,225
266,7,Blue,226
267,8,Blue,221
268,9,Blue,226
269,10,Blue,221
270,11,Blue,222
271,12,Blue,223
272,13,Blue,221
273,14,Blue,227
274,15,Blue,224
275,16,Blue,219
276,17,Blue,220
277,18,Blue,225
278,19,Blue,224
279,20,Blue,218
280,21,Blue,220
281,22,Blue,227
282,23,Blue,219
283,24,Blue,225
294,6,Black,16
295,7,Black,15
296,8,Black,17
297,9,Black,15
298,10,Black,15
299,11,Black,15
300,12,Black,15
301,13,Black,15
302,14,Black,17
303,15,Black,14
304,16,Black,17
305,17,Black,15
306,18,Black,16
307,19,Black,16
308,20,Black,15
309,21,Black,16
310,22,Black,16
311,23,Black,16
312,24,Black,15
352,6,White,790
353,7,White,795
354,8,White,790
355,9,White,791
356,10,White,784
357,11,White,789
358,12,White,789
359,13,White,789
360,14,White,784
361,15,White,781
362,16,White,791
363,17,White,795
364,18,White,781
365,19,White,795
366,20,White,795
367,21,White,791
368,22,White,789
369,23,White,793
370,24,White,786
381,6,Red,291
382,7,Red,291
383,8,Red,294
384,9,Red,289
385,10,Red,290
386,11,Red,288
387,12,Red,293
388,13,Red,290
389,14,Red,291
390,15,Red,292
391,16,Red,288
392,17,Red,288
393,18,Red,283
394,19,Red,284
395,20,Red,287
396,21,Red,289
397,22,Red,291
398,23,Red,286
399,24,Red,288
410,6,Green,349
411,7,Green,343
412,8,Green,341
413,9,Green,348
414,10,Green,343
415,11,Green,341
416,12,Green,344
417,13,Green,351
418,14,Green,346
419,15,Green,345
420,16,Green,341
421,17,Green,345
422,18,Green,349
423,19,Green,348
424,20,Green,343
425,21,Green,346
426,22,Green,346
427,23,Green,345
428,24,Green,347
439,6,Blue,223
440,7,Blue,219
441,8,Blue,217
442,9,Blue,221
443,10,Blue,220
444,11,Blue,218
445,12,Blue,219
446,13,Blue,219
447,14,Blue,218
448,15,Blue,217
449,16,Blue,216
450,17,Blue,218
451,18,Blue,222
452,19,Blue,220
453,20,Blue,219
454,21,Blue,222
455,22,Blue,219
456,23,Blue,222
457,24,Blue,223
467,6,Black,15
468,7,Black,15
469,8,Black,14
470,9,Black,14
471,10,Black,14
472,11,Black,12
473,12,Black,13
474,13,Black,14
475,14,Black,14
476,15,Black,14
477,16,Black,15
478,17,Black,15
479,18,Black,14
480,19,Black,15
481,20,Black,16
482,21,Black,14
483,22,Black,16
484,23,Black,14
485,24,Black,15
525,6,White,793
526,7,White,784
527,8,White,783
528,9,White,794
529,10,White,790
530,11,White,786
531,12,White,790
532,13,White,788
533,14,White,791
534,15,White,789
535,16,White,785
536,17,White,794
537,18,White,788
538,19,White,786
539,20,White,792
540,21,White,791
541,22,White,787
542,23,White,785
543,24,White,783
554,6,Red,289
555,7,Red,293
556,8,Red,289
557,9,Red,285
558,10,Red,293
559,11,Red,292
560,12,Red,292
561,13,Red,292
562,14,Red,291
563,15,Red,286
564,16,Red,286
565,17,Red,289
566,18,Red,292
567,19,Red,286
568,20,Red,289
569,21,Red,286
570,22,Red,292
571,23,Red,292
572,24,Red,288
583,6,Green,349
584,7,Green,350
585,8,Green,345
586,9,Green,350
587,10,Green,343
588,11,Green,341
589,12,Green,339
590,13,Green,346
591,14,Green,347
592,15,Green,341
593,16,Green,349
594,17,Green,344
595,18,Green,349
596,19,Green,347
597,20,Green,351
598,21,Green,342
599,22,Green,341
600,23,Green,349
601,24,Green,344
612,6,Blue,217
613,7,Blue,212
614,8,Blue,215
615,9,Blue,221
616,10,Blue,219
617,11,Blue,218
618,12,Blue,215
619,13,Blue,221
620,14,Blue,216
621,15,Blue,220
622,16,Blue,215
623,17,Blue,216
624,18,Blue,216
625,19,Blue,217
626,20,Blue,220
627,21,Blue,215
628,22,Blue,218
629,23,Blue,218
630,24,Blue,216
641,6,Black,16
642,7,Black,16
643,8,Black,16
644,9,Black,14
645,10,Black,15
646,11,Black,15
647,12,Black,15
648,13,Black,16
649,14,Black,14
650,15,Black,16
651,16,Black,15
652,17,Black,15
653,18,Black,14
654,19,Black,14
655,20,Black,15
656,21,Black,14
657,22,Black,16
658,23,Black,13
659,24,Black,15
