No.,Order,Color,Intensity
6,6,White,46
7,7,White,47
8,8,White,49
9,9,White,48
10,10,White,46
11,11,White,47
12,12,White,51
13,13,White,51
14,14,White,47
15,15,White,49
16,16,White,49
17,17,White,50
18,18,White,49
19,19,White,48
20,20,White,49
21,21,White,50
22,22,White,51
23,23,White,49
24,24,White,48
35,6,Red,28
36,7,Red,29
37,8,Red,27
38,9,Red,30
39,10,Red,27
40,11,Red,29
41,12,Red,28
42,13,Red,27
43,14,Red,29
44,15,Red,28
45,16,Red,26
46,17,Red,26
47,18,Red,28
48,19,Red,28
49,20,Red,27
50,21,Red,31
51,22,Red,28
52,23,Red,28
53,24,Red,28
63,6,Green,28
64,7,Green,27
65,8,Green,26
66,9,Green,27
67,10,Green,30
68,11,Green,28
69,12,Green,27
70,13,Green,28
71,14,Green,28
72,15,Green,27
73,16,Green,28
74,17,Green,29
75,18,Green,26
76,19,Green,28
77,20,Green,26
78,21,Green,27
79,22,Green,26
80,23,Green,28
81,24,Green,27
92,6,Blue,27
93,7,Blue,23
94,8,Blue,26
95,9,Blue,25
96,10,Blue,27
97,11,Blue,23
98,12,Blue,26
99,13,Blue,24
100,14,Blue,25
101,15,Blue,25
102,16,Blue,26
103,17,Blue,26
104,18,Blue,26
105,19,Blue,24
106,20,Blue,26
107,21,Blue,26
108,22,Blue,24
109,23,Blue,23
110,24,Blue,23
121,6,Black,16
122,7,Black,18
123,8,Black,18
124,9,Black,15
125,10,Black,15
126,11,Black,17
127,12,Black,18
128,13,Black,18
129,14,Black,17
130,15,Black,17
131,16,Black,17
132,17,Black,17
133,18,Black,17
134,19,Black,18
135,20,Black,17
136,21,Black,18
137,22,Black,15
138,23,Black,16
139,24,Black,18
179,6,White,46
180,7,White,46
181,8,White,47
182,9,White,46
183,10,White,48
184,11,White,47
185,12,White,51
186,13,White,52
187,14,White,47
188,15,White,50
189,16,White,51
190,17,White,50
191,18,White,51
192,19,White,50
193,20,White,48
194,21,White,49
195,22,White,48
196,23,White,48
197,24,White,51
208,6,Red,28
209,7,Red,27
210,8,Red,30
211,9,Red,28
212,10,Red,28
213,11,Red,28
214,12,Red,29
215,13,Red,27
216,14,Red,28
217,15,Red,28
218,16,Red,27
219,17,Red,30
220,18,Red,27
221,19,Red,31
222,20,Red,28
223,21,Red,28
224,22,Red,27
225,23,Red,28
226,24,Red,28
237,6,Green,27
238,7,Green,30
239,8,Green,29
240,9,Green,27
241,10,Green,29
242,11,Green,29
243,12,Green,27
244,13,Green,27
245,14,Green,29
246,15,Green,27
247,16,Green,26
248,17,Green,28
249,18,Green,30
250,19,Green,29
251,20,Green,29
252,21,Green,31
253,22,Green,29
254,23,Green,29
255,24,Green,28
265,6,Blue,25
266,7,Blue,27
267,8,Blue,24
268,9,Blue,23
269,10,Blue,25
270,11,Blue,25
271,12,Blue,23
272,13,Blue,26
273,14,Blue,27
274,15,Blue,26
275,16,Blue,24
276,17,Blue,25
277,18,Blue,23
278,19,Blue,24
279,20,Blue,26
280,21,Blue,25
281,22,Blue,27
282,23,Blue,26
283,24,Blue,24
294,6,Black,16
295,7,Black,16
296,8,Black,19
297,9,Black,16
298,10,Black,18
299,11,Black,15
300,12,Black,16
301,13,Black,16
302,14,Black,16
303,15,Black,17
304,16,Black,17
305,17,Black,18
306,18,Black,17
307,19,Black,17
308,20,Black,17
309,21,Black,17
310,22,Black,16
311,23,Black,18
312,24,Black,18
352,6,White,49
353,7,White,49
354,8,White,48
355,9,White,47
356,10,White,47
357,11,White,50
358,12,White,48
359,13,White,51
360,14,White,51
361,15,White,47
362,16,White,50
363,17,White,47
364,18,White,52
365,19,White,52
366,20,White,52
367,21,White,50
368,22,White,49
369,23,White,50
370,24,White,49
381,6,Red,29
382,7,Red,27
383,8,Red,30
384,9,Red,30
385,10,Red,28
386,11,Red,29
387,12,Red,28
388,13,Red,30
389,14,Red,28
390,15,Red,28
391,16,Red,30
392,17,Red,28
393,18,Red,32
394,19,Red,28
395,20,Red,27
396,21,Red,29
397,22,Red,28
398,23,Red,29
399,24,Red,30
410,6,Green,28
411,7,Green,31
412,8,Green,29
413,9,Green,28
414,10,Green,29
415,11,Green,29
416,12,Green,27
417,13,Green,27
418,14,Green,27
419,15,Green,27
420,16,Green,29
421,17,Green,31
422,18,Green,29
423,19,Green,27
424,20,Green,27
425,21,Green,30
426,22,Green,30
427,23,Green,30
428,24,Green,27
439,6,Blue,27
440,7,Blue,24
441,8,Blue,23
442,9,Blue,24
443,10,Blue,26
444,11,Blue,23
445,12,Blue,24
446,13,Blue,25
447,14,Blue,23
448,15,Blue,23
449,16,Blue,24
450,17,Blue,26
451,18,Blue,25
452,19,Blue,26
453,20,Blue,23
454,21,Blue,23
455,22,Blue,25
456,23,Blue,24
457,24,Blue,26
467,6,Black,17
468,7,Black,16
469,8,Black,18
470,9,Black,16
471,10,Black,17
472,11,Black,18
473,12,Black,18
474,13,Black,17
475,14,Black,18
476,15,Black,17
477,16,Black,17
478,17,Black,17
479,18,Black,15
480,19,Black,17
481,20,Black,17
482,21,Black,16
483,22,Black,17
484,23,Black,15
485,24,Black,17
525,6,White,49
526,7,White,48
527,8,White,49
528,9,White,46
529,10,White,52
530,11,White,51
531,12,White,48
532,13,White,47
533,14,White,48
534,15,White,49
535,16,White,47
536,17,White,47
537,18,White,50
538,19,White,52
539,20,White,49
540,21,White,48
541,22,White,52
542,23,White,47
543,24,White,46
554,6,Red,28
555,7,Red,30
556,8,Red,30
557,9,Red,28
558,10,Red,27
559,11,Red,28
560,12,Red,27
561,13,Red,28
562,14,Red,27
563,15,Red,29
564,16,Red,29
