No.,Order,Color,Intensity
6,6,White,790
7,7,White,791
8,8,White,792
9,9,White,793
10,10,White,794
11,11,White,794
12,12,White,792
13,13,White,802
14,14,White,789
15,15,White,800
16,16,White,792
17,17,White,797
18,18,White,792
19,19,White,796
20,20,White,795
21,21,White,792
22,22,White,800
23,23,White,795
24,24,White,797
34,6,Red,296
35,7,Red,293
36,8,Red,293
37,9,Red,300
38,10,Red,297
39,11,Red,293
40,12,Red,299
41,13,Red,293
42,14,Red,294
43,15,Red,298
44,16,Red,296
45,17,Red,293
46,18,Red,298
47,19,Red,296
48,20,Red,300
49,21,Red,294
50,22,Red,293
51,23,Red,300
52,24,Red,296
63,6,Green,360
64,7,Green,354
65,8,Green,355
66,9,Green,355
67,10,Green,357
68,11,Green,363
69,12,Green,359
70,13,Green,363
71,14,Green,356
72,15,Green,355
73,16,Green,355
74,17,Green,362
75,18,Green,360
76,19,Green,358
77,20,Green,359
78,21,Green,360
79,22,Green,357
80,23,Green,356
81,24,Green,357
92,6,Blue,232
93,7,Blue,228
94,8,Blue,232
95,9,Blue,229
96,10,Blue,228
97,11,Blue,231
98,12,Blue,228
99,13,Blue,226
100,14,Blue,226
101,15,Blue,226
102,16,Blue,232
103,17,Blue,227
104,18,Blue,233
105,19,Blue,226
106,20,Blue,232
107,21,Blue,225
108,22,Blue,231
109,23,Blue,229
110,24,Blue,233
121,6,Black,26
122,7,Black,24
123,8,Black,27
124,9,Black,26
125,10,Black,27
126,11,Black,25
127,12,Black,24
128,13,Black,25
129,14,Black,24
130,15,Black,23
131,16,Black,24
132,17,Black,24
133,18,Black,26
134,19,Black,26
135,20,Black,26
136,21,Black,24
137,22,Black,27
138,23,Black,23
139,24,Black,26
178,6,White,804
179,7,White,801
180,8,White,804
181,9,White,801
182,10,White,803
183,11,White,794
184,12,White,801
185,13,White,801
186,14,White,799
187,15,White,804
188,16,White,806
189,17,White,801
190,18,White,797
191,19,White,800
192,20,White,802
193,21,White,804
194,22,White,805
195,23,White,804
196,24,White,798
207,6,Red,294
208,7,Red,300
209,8,Red,294
210,9,Red,298
211,10,Red,297
212,11,Red,298
213,12,Red,295
214,13,Red,294
215,14,Red,294
216,15,Red,296
217,16,Red,296
218,17,Red,293
219,18,Red,298
220,19,Red,298
221,20,Red,297
222,21,Red,294
223,22,Red,297
224,23,Red,295
225,24,Red,297
235,6,Green,359
236,7,Green,359
237,8,Green,363
238,9,Green,361
239,10,Green,355
240,11,Green,355
241,12,Green,355
242,13,Green,361
243,14,Green,358
244,15,Green,360
245,16,Green,359
246,17,Green,359
247,18,Green,361
248,19,Green,356
249,20,Green,359
250,21,Green,361
251,22,Green,356
252,23,Green,356
253,24,Green,360
264,6,Blue,237
265,7,Blue,236
