No.,Order,Color,Intensity
6,6,White,915
7,7,White,918
8,8,White,912
9,9,White,906
10,10,White,908
11,11,White,913
12,12,White,915
13,13,White,912
14,14,White,908
15,15,White,917
16,16,White,904
17,17,White,912
18,18,White,917
19,19,White,922
20,20,White,917
21,21,White,917
22,22,White,906
23,23,White,916
24,24,White,908
35,6,Red,342
36,7,Red,338
37,8,Red,345
38,9,Red,341
39,10,Red,342
40,11,Red,342
41,12,Red,341
42,13,Red,342
43,14,Red,340
44,15,Red,341
45,16,Red,342
46,17,Red,347
47,18,Red,342
48,19,Red,345
49,20,Red,341
50,21,Red,344
51,22,Red,342
52,23,Red,347
53,24,Red,341
64,6,Green,384
65,7,Green,382
66,8,Green,389
67,9,Green,383
68,10,Green,375
69,11,Green,383
70,12,Green,383
71,13,Green,383
72,14,Green,378
73,15,Green,383
74,16,Green,382
75,17,Green,379
76,18,Green,378
77,19,Green,382
78,20,Green,385
79,21,Green,381
80,22,Green,382
81,23,Green,387
82,24,Green,390
93,6,Blue,287
94,7,Blue,284
95,8,Blue,282
96,9,Blue,284
97,10,Blue,283
98,11,Blue,281
99,12,Blue,281
100,13,Blue,282
101,14,Blue,286
102,15,Blue,288
103,16,Blue,281
104,17,Blue,283
105,18,Blue,282
106,19,Blue,277
107,20,Blue,281
108,21,Blue,288
109,22,Blue,286
110,23,Blue,289
111,24,Blue,289
122,6,Black,16
123,7,Black,19
124,8,Black,21
125,9,Black,20
126,10,Black,20
127,11,Black,19
128,12,Black,21
129,13,Black,19
130,14,Black,21
131,15,Black,21
132,16,Black,19
133,17,Black,20
134,18,Black,19
135,19,Black,21
136,20,Black,18
137,21,Black,20
138,22,Black,19
139,23,Black,18
140,24,Black,21
180,6,White,914
181,7,White,914
182,8,White,915
183,9,White,908
184,10,White,911
185,11,White,910
186,12,White,911
187,13,White,912
188,14,White,913
189,15,White,914
190,16,White,911
191,17,White,912
192,18,White,918
193,19,White,914
194,20,White,909
195,21,White,913
196,22,White,914
197,23,White,916
198,24,White,908
209,6,Red,338
210,7,Red,339
211,8,Red,344
212,9,Red,338
213,10,Red,344
214,11,Red,341
215,12,Red,339
216,13,Red,341
217,14,Red,337
218,15,Red,342
219,16,Red,343
220,17,Red,339
221,18,Red,337
222,19,Red,340
223,20,Red,345
224,21,Red,345
225,22,Red,339
226,23,Red,335
227,24,Red,342
238,6,Green,389
239,7,Green,393
240,8,Green,388
241,9,Green,395
242,10,Green,386
243,11,Green,391
244,12,Green,394
245,13,Green,391
246,14,Green,394
247,15,Green,387
248,16,Green,388
249,17,Green,389
250,18,Green,387
251,19,Green,389
252,20,Green,395
253,21,Green,386
254,22,Green,389
255,23,Green,390
256,24,Green,391
267,6,Blue,279
268,7,Blue,279
269,8,Blue,279
270,9,Blue,279
271,10,Blue,282
272,11,Blue,279
273,12,Blue,280
274,13,Blue,284
275,14,Blue,281
276,15,Blue,286
277,16,Blue,284
278,17,Blue,279
279,18,Blue,286
280,19,Blue,281
281,20,Blue,278
282,21,Blue,282
283,22,Blue,282
284,23,Blue,280
285,24,Blue,287
296,6,Black,19
297,7,Black,19
298,8,Black,19
299,9,Black,21
300,10,Black,20
301,11,Black,19
302,12,Black,18
303,13,Black,22
304,14,Black,20
305,15,Black,20
306,16,Black,21
307,17,Black,21
308,18,Black,19
309,19,Black,21
310,20,Black,21
311,21,Black,20
312,22,Black,21
313,23,Black,19
314,24,Black,18
354,6,White,912
355,7,White,910
356,8,White,917
357,9,White,914
358,10,White,908
359,11,White,912
360,12,White,919
361,13,White,912
362,14,White,918
363,15,White,911
364,16,White,917
365,17,White,909
366,18,White,916
367,19,White,911
368,20,White,911
369,21,White,906
370,22,White,914
371,23,White,906
372,24,White,916
383,6,Red,341
384,7,Red,339
385,8,Red,339
386,9,Red,336
387,10,Red,337
388,11,Red,337
389,12,Red,344
390,13,Red,337
391,14,Red,338
392,15,Red,337
393,16,Red,342
