No.,Order,Color,Intensity
6,6,White,821
7,7,White,835
8,8,White,828
9,9,White,824
10,10,White,815
11,11,White,827
12,12,White,824
13,13,White,823
14,14,White,833
15,15,White,833
16,16,White,834
17,17,White,832
18,18,White,833
19,19,White,826
20,20,White,824
21,21,White,830
22,22,White,839
23,23,White,838
24,24,White,820
35,6,Red,324
36,7,Red,316
37,8,Red,315
38,9,Red,322
39,10,Red,318
40,11,Red,317
41,12,Red,319
42,13,Red,320
43,14,Red,317
44,15,Red,318
45,16,Red,315
46,17,Red,326
47,18,Red,316
48,19,Red,316
49,20,Red,318
50,21,Red,315
51,22,Red,319
52,23,Red,324
53,24,Red,322
64,6,Green,361
65,7,Green,362
66,8,Green,363
67,9,Green,360
68,10,Green,358
69,11,Green,363
70,12,Green,362
71,13,Green,361
72,14,Green,357
73,15,Green,360
74,16,Green,356
75,17,Green,360
76,18,Green,362
77,19,Green,367
78,20,Green,358
79,21,Green,369
80,22,Green,367
81,23,Green,363
82,24,Green,366
93,6,Blue,229
94,7,Blue,227
95,8,Blue,232
96,9,Blue,229
97,10,Blue,227
98,11,Blue,232
99,12,Blue,231
100,13,Blue,229
101,14,Blue,227
102,15,Blue,233
103,16,Blue,233
104,17,Blue,236
105,18,Blue,235
106,19,Blue,231
107,20,Blue,232
108,21,Blue,233
109,22,Blue,228
110,23,Blue,232
111,24,Blue,230
122,6,Black,15
123,7,Black,14
124,8,Black,14
125,9,Black,15
126,10,Black,13
127,11,Black,15
128,12,Black,14
129,13,Black,15
130,14,Black,13
131,15,Black,14
132,16,Black,15
133,17,Black,14
134,18,Black,13
135,19,Black,14
136,20,Black,13
137,21,Black,14
138,22,Black,15
139,23,Black,15
140,24,Black,14
180,6,White,847
181,7,White,841
182,8,White,848
183,9,White,851
184,10,White,849
185,11,White,854
186,12,White,848
187,13,White,848
188,14,White,851
189,15,White,850
190,16,White,847
191,17,White,849
192,18,White,845
193,19,White,854
194,20,White,851
195,21,White,844
196,22,White,850
197,23,White,847
198,24,White,848
209,6,Red,318
210,7,Red,319
211,8,Red,321
212,9,Red,317
213,10,Red,319
214,11,Red,318
215,12,Red,318
216,13,Red,319
217,14,Red,324
218,15,Red,318
219,16,Red,321
220,17,Red,325
221,18,Red,321
222,19,Red,319
223,20,Red,319
224,21,Red,320
225,22,Red,322
226,23,Red,317
227,24,Red,320
238,6,Green,372
239,7,Green,371
240,8,Green,367
241,9,Green,367
242,10,Green,370
243,11,Green,361
244,12,Green,366
245,13,Green,370
246,14,Green,371
247,15,Green,368
248,16,Green,369
249,17,Green,365
250,18,Green,363
251,19,Green,366
252,20,Green,366
253,21,Green,371
254,22,Green,372
255,23,Green,372
256,24,Green,368
267,6,Blue,236
268,7,Blue,229
269,8,Blue,229
270,9,Blue,228
271,10,Blue,231
272,11,Blue,234
273,12,Blue,227
274,13,Blue,230
275,14,Blue,234
276,15,Blue,232
277,16,Blue,235
278,17,Blue,229
279,18,Blue,231
280,19,Blue,232
281,20,Blue,229
282,21,Blue,231
283,22,Blue,232
284,23,Blue,231
285,24,Blue,230
296,6,Black,14
297,7,Black,15
298,8,Black,16
299,9,Black,13
300,10,Black,14
301,11,Black,14
302,12,Black,14
303,13,Black,13
304,14,Black,14
305,15,Black,13
306,16,Black,15
307,17,Black,16
308,18,Black,14
309,19,Black,13
310,20,Black,13
311,21,Black,13
312,22,Black,14
313,23,Black,14
314,24,Black,16
353,6,White,846
354,7,White,854
355,8,White,852
356,9,White,851
357,10,White,846
358,11,White,851
359,12,White,843
360,13,White,852
361,14,White,843
362,15,White,847
363,16,White,848
364,17,White,850
365,18,White,845
366,19,White,850
367,20,White,853
368,21,White,850
369,22,White,845
370,23,White,850
371,24,White,846
382,6,Red,317
383,7,Red,319
384,8,Red,323
385,9,Red,317
386,10,Red,318
387,11,Red,318
388,12,Red,323
389,13,Red,322
390,14,Red,318
391,15,Red,325
392,16,Red,319
393,17,Red,324
394,18,Red,319
395,19,Red,318
396,20,Red,316
397,21,Red,322
398,22,Red,321
399,23,Red,323
400,24,Red,316
411,6,Green,368
412,7,Green,362
413,8,Green,367
414,9,Green,364
415,10,Green,366
416,11,Green,364
417,12,Green,368
418,13,Green,369
419,14,Green,365
420,15,Green,365
421,16,Green,367
422,17,Green,364
423,18,Green,368
424,19,Green,365
425,20,Green,368
426,21,Green,366
427,22,Green,366
428,23,Green,371
429,24,Green,367
440,6,Blue,226
441,7,Blue,228
442,8,Blue,236
443,9,Blue,234
444,10,Blue,233
445,11,Blue,230
446,12,Blue,232
447,13,Blue,232
448,14,Blue,229
449,15,Blue,229
450,16,Blue,232
451,17,Blue,236
452,18,Blue,232
453,19,Blue,230
454,20,Blue,232
455,21,Blue,236
456,22,Blue,230
457,23,Blue,229
458,24,Blue,229
469,6,Black,14
470,7,Black,15
471,8,Black,14
472,9,Black,15
473,10,Black,14
474,11,Black,14
475,12,Black,13
476,13,Black,12
477,14,Black,13
478,15,Black,14
479,16,Black,15
480,17,Black,13
481,18,Black,13
482,19,Black,15
483,20,Black,13
484,21,Black,16
485,22,Black,15
486,23,Black,12
487,24,Black,15
527,6,White,847
528,7,White,846
529,8,White,844
530,9,White,849
531,10,White,843
532,11,White,843
533,12,White,852
534,13,White,845
535,14,White,840
536,15,White,853
537,16,White,847
538,17,White,847
539,18,White,849
540,19,White,842
541,20,White,851
542,21,White,850
543,22,White,854
544,23,White,847
545,24,White,840
556,6,Red,317
557,7,Red,320
558,8,Red,318
559,9,Red,317
560,10,Red,316
561,11,Red,319
562,12,Red,318
563,13,Red,322
564,14,Red,319
565,15,Red,319
566,16,Red,324
567,17,Red,317
568,18,Red,315
569,19,Red,317
570,20,Red,324
571,21,Red,315
572,22,Red,321
573,23,Red,320
574,24,Red,314
585,6,Green,368
586,7,Green,360
587,8,Green,364
588,9,Green,370
589,10,Green,365
590,11,Green,364
591,12,Green,367
592,13,Green,365
593,14,Green,364
594,15,Green,359
595,16,Green,373
596,17,Green,371
597,18,Green,365
598,19,Green,371
599,20,Green,364
600,21,Green,370
601,22,Green,373
602,23,Green,368
603,24,Green,367
614,6,Blue,233
615,7,Blue,233
616,8,Blue,231
617,9,Blue,234
618,10,Blue,225
619,11,Blue,235
620,12,Blue,233
621,13,Blue,232
622,14,Blue,231
623,15,Blue,229
624,16,Blue,229
625,17,Blue,230
626,18,Blue,230
627,19,Blue,226
628,20,Blue,230
629,21,Blue,230
630,22,Blue,231
631,23,Blue,228
632,24,Blue,226
643,6,Black,14
644,7,Black,12
645,8,Black,13
646,9,Black,13
647,10,Black,14
648,11,Black,13
649,12,Black,15
650,13,Black,13
651,14,Black,14
652,15,Black,13
653,16,Black,15
654,17,Black,13
