No.,Order,Color,Intensity
6,6,White,850
7,7,White,848
8,8,White,842
9,9,White,847
10,10,White,842
11,11,White,840
12,12,White,846
13,13,White,842
14,14,White,845
15,15,White,846
16,16,White,838
17,17,White,844
18,18,White,846
19,19,White,843
20,20,White,847
21,21,White,845
22,22,White,840
23,23,White,841
24,24,White,833
35,6,Red,314
36,7,Red,314
37,8,Red,314
38,9,Red,314
39,10,Red,317
40,11,Red,323
41,12,Red,318
42,13,Red,314
43,14,Red,321
44,15,Red,323
45,16,Red,309
46,17,Red,321
47,18,Red,314
48,19,Red,315
49,20,Red,318
50,21,Red,320
51,22,Red,317
52,23,Red,318
53,24,Red,318
63,6,Green,338
64,7,Green,340
65,8,Green,330
66,9,Green,333
67,10,Green,335
68,11,Green,329
69,12,Green,334
70,13,Green,341
71,14,Green,334
72,15,Green,330
73,16,Green,340
74,17,Green,335
75,18,Green,332
76,19,Green,334
77,20,Green,333
78,21,Green,332
79,22,Green,334
80,23,Green,335
81,24,Green,335
92,6,Blue,241
93,7,Blue,243
94,8,Blue,242
95,9,Blue,243
96,10,Blue,244
97,11,Blue,240
98,12,Blue,239
99,13,Blue,241
100,14,Blue,244
101,15,Blue,244
102,16,Blue,242
103,17,Blue,243
104,18,Blue,248
105,19,Blue,240
106,20,Blue,241
107,21,Blue,246
108,22,Blue,241
109,23,Blue,241
110,24,Blue,240
121,6,Black,12
122,7,Black,14
123,8,Black,13
124,9,Black,12
125,10,Black,15
126,11,Black,13
127,12,Black,15
128,13,Black,14
129,14,Black,14
130,15,Black,13
131,16,Black,12
132,17,Black,13
133,18,Black,14
134,19,Black,13
135,20,Black,14
136,21,Black,13
137,22,Black,12
138,23,Black,13
139,24,Black,13
179,6,White,774
180,7,White,776
181,8,White,774
182,9,White,777
183,10,White,779
184,11,White,776
185,12,White,774
186,13,White,769
187,14,White,772
188,15,White,772
189,16,White,769
190,17,White,771
191,18,White,770
192,19,White,772
193,20,White,771
194,21,White,771
195,22,White,772
196,23,White,770
197,24,White,773
208,6,Red,276
209,7,Red,278
210,8,Red,282
211,9,Red,274
212,10,Red,280
213,11,Red,274
214,12,Red,276
215,13,Red,276
216,14,Red,278
217,15,Red,276
218,16,Red,275
219,17,Red,276
220,18,Red,271
221,19,Red,273
222,20,Red,276
223,21,Red,273
224,22,Red,274
225,23,Red,271
226,24,Red,274
237,6,Green,306
238,7,Green,312
239,8,Green,306
240,9,Green,311
241,10,Green,313
242,11,Green,313
243,12,Green,305
244,13,Green,311
245,14,Green,310
246,15,Green,309
247,16,Green,305
248,17,Green,306
249,18,Green,305
250,19,Green,308
251,20,Green,306
252,21,Green,305
253,22,Green,307
254,23,Green,308
255,24,Green,307
265,6,Blue,232
266,7,Blue,232
267,8,Blue,232
268,9,Blue,233
269,10,Blue,226
270,11,Blue,226
271,12,Blue,230
272,13,Blue,227
273,14,Blue,225
274,15,Blue,231
275,16,Blue,226
276,17,Blue,228
277,18,Blue,228
278,19,Blue,230
279,20,Blue,227
280,21,Blue,228
281,22,Blue,227
282,23,Blue,227
283,24,Blue,231
294,6,Black,12
295,7,Black,13
296,8,Black,14
297,9,Black,12
298,10,Black,12
299,11,Black,12
300,12,Black,14
301,13,Black,14
302,14,Black,13
303,15,Black,13
304,16,Black,13
305,17,Black,12
306,18,Black,14
307,19,Black,12
308,20,Black,13
309,21,Black,12
310,22,Black,12
311,23,Black,13
312,24,Black,14
352,6,White,729
353,7,White,733
354,8,White,726
355,9,White,729
356,10,White,731
357,11,White,728
358,12,White,731
359,13,White,732
360,14,White,727
361,15,White,725
362,16,White,725
363,17,White,716
364,18,White,731
365,19,White,725
366,20,White,725
367,21,White,728
368,22,White,726
369,23,White,727
370,24,White,724
381,6,Red,258
382,7,Red,261
383,8,Red,261
384,9,Red,261
385,10,Red,260
386,11,Red,260
387,12,Red,254
388,13,Red,260
389,14,Red,254
390,15,Red,254
391,16,Red,257
392,17,Red,253
393,18,Red,255
394,19,Red,258
395,20,Red,256
396,21,Red,264
397,22,Red,264
398,23,Red,258
399,24,Red,261
410,6,Green,293
411,7,Green,299
412,8,Green,291
413,9,Green,293
414,10,Green,300
415,11,Green,291
416,12,Green,296
417,13,Green,291
418,14,Green,299
419,15,Green,291
420,16,Green,293
421,17,Green,297
422,18,Green,294
423,19,Green,296
424,20,Green,290
425,21,Green,295
426,22,Green,293
427,23,Green,296
428,24,Green,295
438,6,Blue,222
439,7,Blue,222
440,8,Blue,218
441,9,Blue,221
442,10,Blue,218
443,11,Blue,219
444,12,Blue,224
445,13,Blue,216
446,14,Blue,220
447,15,Blue,228
448,16,Blue,224
449,17,Blue,223
450,18,Blue,226
451,19,Blue,228
452,20,Blue,225
453,21,Blue,226
454,22,Blue,221
455,23,Blue,228
456,24,Blue,223
467,6,Black,13
468,7,Black,14
469,8,Black,13
470,9,Black,11
471,10,Black,14
472,11,Black,13
473,12,Black,12
474,13,Black,13
475,14,Black,12
476,15,Black,14
477,16,Black,14
478,17,Black,13
479,18,Black,13
480,19,Black,14
481,20,Black,14
482,21,Black,11
483,22,Black,13
484,23,Black,14
485,24,Black,12
525,6,White,715
526,7,White,707
527,8,White,716
528,9,White,711
529,10,White,708
530,11,White,715
531,12,White,715
532,13,White,713
533,14,White,712
534,15,White,712
535,16,White,709
536,17,White,712
537,18,White,718
538,19,White,714
539,20,White,714
540,21,White,715
541,22,White,709
542,23,White,707
543,24,White,713
554,6,Red,256
555,7,Red,257
556,8,Red,254
557,9,Red,256
558,10,Red,253
559,11,Red,250
560,12,Red,252
561,13,Red,253
562,14,Red,247
563,15,Red,254
564,16,Red,252
565,17,Red,249
566,18,Red,252
567,19,Red,246
568,20,Red,255
569,21,Red,253
570,22,Red,248
571,23,Red,253
572,24,Red,252
583,6,Green,296
584,7,Green,290
585,8,Green,293
586,9,Green,291
587,10,Green,288
588,11,Green,292
589,12,Green,295
590,13,Green,294
591,14,Green,289
592,15,Green,290
593,16,Green,292
594,17,Green,291
595,18,Green,289
596,19,Green,293
597,20,Green,289
598,21,Green,292
599,22,Green,294
600,23,Green,294
601,24,Green,297
612,6,Blue,221
613,7,Blue,222
614,8,Blue,218
615,9,Blue,217
616,10,Blue,223
617,11,Blue,218
618,12,Blue,220
619,13,Blue,220
620,14,Blue,218
621,15,Blue,218
622,16,Blue,220
623,17,Blue,216
624,18,Blue,221
625,19,Blue,219
626,20,Blue,225
627,21,Blue,220
628,22,Blue,217
629,23,Blue,218
630,24,Blue,218
640,6,Black,12
641,7,Black,13
642,8,Black,13
643,9,Black,13
644,10,Black,11
645,11,Black,12
646,12,Black,12
647,13,Black,12
648,14,Black,13
649,15,Black,14
650,16,Black,12
651,17,Black,14
652,18,Black,14
653,19,Black,14
654,20,Black,12
655,21,Black,14
656,22,Black,13
657,23,Black,13
658,24,Black,13
