No.,Order,Color,Intensity
1,1,White,871.0
2,2,White,869.0
3,3,White,867.0
4,4,White,865.0
5,5,White,867.0
6,6,White,868.0
7,7,White,869.0
8,8,White,873.0
9,9,White,870.0
10,10,White,868.0
11,11,White,871.0
12,12,White,862.0
13,13,White,867.0
14,14,White,868.0
15,15,White,864.0
16,16,White,867.0
17,17,White,866.0
18,18,White,859.0
19,19,White,861.0
20,20,White,865.0
21,21,White,868.0
22,22,White,867.0
23,23,White,867.0
24,24,White,862.0
25,25,White,860.0
26,26,White,866.0
27,27,White,868.0
28,28,White,867.0
29,29,White,869.0
30,30,White,870.0
31,1,Red,315.0
32,2,Red,315.0
33,3,Red,313.0
34,4,Red,312.0
35,5,Red,307.0
36,6,Red,315.0
37,7,Red,309.0
38,8,Red,308.0
39,9,Red,311.0
40,10,Red,315.0
41,11,Red,312.0
42,12,Red,312.0
43,13,Red,312.0
44,14,Red,310.0
45,15,Red,316.0
46,16,Red,314.0
47,17,Red,310.0
48,18,Red,315.0
49,19,Red,310.0
50,20,Red,315.0
51,21,Red,312.0
52,22,Red,313.0
53,23,Red,311.0
54,24,Red,313.0
55,25,Red,313.0
56,26,Red,311.0
57,27,Red,315.0
58,28,Red,309.0
59,29,Red,308.0
60,1,Green,374.0
61,2,Green,372.0
62,3,Green,366.0
63,4,Green,369.0
64,5,Green,372.0
65,6,Green,375.0
66,7,Green,375.0
67,8,Green,370.0
68,9,Green,376.0
69,10,Green,372.0
70,11,Green,369.0
71,12,Green,374.0
72,13,Green,374.0
73,14,Green,369.0
74,15,Green,372.0
75,16,Green,372.0
76,17,Green,375.0
77,18,Green,367.0
78,19,Green,370.0
79,20,Green,373.0
80,21,Green,369.0
81,22,Green,371.0
82,23,Green,371.0
83,24,Green,378.0
84,25,Green,369.0
85,26,Green,374.0
86,27,Green,377.0
87,28,Green,373.0
88,29,Green,370.0
89,30,Green,374.0
90,1,Blue,237.0
91,2,Blue,240.0
92,3,Blue,236.0
93,4,Blue,238.0
94,5,Blue,235.0
95,6,Blue,238.0
96,7,Blue,238.0
97,8,Blue,236.0
98,9,Blue,237.0
99,10,Blue,238.0
100,11,Blue,242.0
101,12,Blue,239.0
102,13,Blue,241.0
103,14,Blue,237.0
104,15,Blue,236.0
105,16,Blue,236.0
106,17,Blue,238.0
107,18,Blue,237.0
108,19,Blue,235.0
109,20,Blue,240.0
110,21,Blue,239.0
111,22,Blue,237.0
112,23,Blue,242.0
113,24,Blue,238.0
114,25,Blue,237.0
115,26,Blue,234.0
116,27,Blue,237.0
117,28,Blue,241.0
118,29,Blue,236.0
119,30,Blue,238.0
120,1,Black,6.0
121,2,Black,6.0
122,3,Black,6.0
123,4,Black,6.0
124,5,Black,6.0
125,6,Black,6.0
126,7,Black,6.0
127,8,Black,5.0
128,9,Black,5.0
129,10,Black,7.0
130,11,Black,5.0
131,12,Black,6.0
132,13,Black,5.0
133,14,Black,5.0
134,15,Black,5.0
135,16,Black,6.0
136,17,Black,5.0
137,18,Black,6.0
138,19,Black,7.0
139,20,Black,6.0
140,21,Black,6.0
141,22,Black,5.0
142,23,Black,6.0
143,24,Black,6.0
144,25,Black,5.0
145,26,Black,5.0
146,27,Black,6.0
147,28,Black,5.0
148,29,Black,6.0
149,30,Black,6.0
180,1,White,863.0
181,2,White,870.0
182,3,White,862.0
183,4,White,872.0
184,5,White,867.0
185,6,White,865.0
186,7,White,868.0
187,8,White,869.0
188,9,White,865.0
189,10,White,871.0
190,11,White,868.0
191,12,White,864.0
192,13,White,862.0
193,14,White,866.0
194,15,White,868.0
195,16,White,866.0
196,17,White,870.0
197,18,White,870.0
198,19,White,868.0
199,20,White,869.0
200,21,White,858.0
201,22,White,870.0
202,23,White,870.0
203,24,White,864.0
204,25,White,864.0
205,26,White,863.0
206,27,White,873.0
207,28,White,867.0
208,29,White,870.0
209,1,Red,309.0
210,2,Red,310.0
211,3,Red,306.0
212,4,Red,311.0
213,5,Red,309.0
214,6,Red,308.0
215,7,Red,313.0
216,8,Red,316.0
217,9,Red,311.0
218,10,Red,306.0
219,11,Red,308.0
220,12,Red,310.0
221,13,Red,311.0
222,14,Red,312.0
223,15,Red,313.0
224,16,Red,307.0
225,17,Red,307.0
226,18,Red,316.0
227,19,Red,312.0
228,20,Red,308.0
229,21,Red,312.0
230,22,Red,312.0
231,23,Red,309.0
232,24,Red,313.0
233,25,Red,305.0
234,26,Red,310.0
235,27,Red,307.0
236,28,Red,309.0
237,29,Red,309.0
238,30,Red,307.0
