No.,Order,Color,Intensity
1,1,White,947.0
2,2,White,950.0
3,3,White,952.0
4,4,White,947.0
5,5,White,952.0
6,6,White,952.0
7,7,White,951.0
8,8,White,947.0
9,9,White,942.0
10,10,White,949.0
11,11,White,954.0
12,12,White,955.0
13,13,White,950.0
14,14,White,945.0
15,15,White,950.0
16,16,White,950.0
17,17,White,954.0
18,18,White,954.0
19,19,White,955.0
20,20,White,952.0
21,21,White,953.0
22,22,White,948.0
23,23,White,952.0
24,24,White,949.0
25,25,White,949.0
26,26,White,951.0
27,27,White,952.0
28,28,White,948.0
29,29,White,946.0
30,1,Red,337.0
31,2,Red,344.0
32,3,Red,348.0
33,4,Red,340.0
34,5,Red,344.0
35,6,Red,345.0
36,7,Red,335.0
37,8,Red,340.0
38,9,Red,339.0
39,10,Red,346.0
40,11,Red,337.0
41,12,Red,344.0
42,13,Red,335.0
43,14,Red,342.0
44,15,Red,340.0
45,16,Red,338.0
46,17,Red,347.0
47,18,Red,346.0
48,19,Red,346.0
49,20,Red,347.0
50,21,Red,344.0
51,22,Red,344.0
52,23,Red,342.0
53,24,Red,339.0
54,25,Red,347.0
55,26,Red,342.0
56,27,Red,347.0
57,28,Red,345.0
58,29,Red,348.0
59,1,Green,433.0
60,2,Green,431.0
61,3,Green,437.0
62,4,Green,426.0
63,5,Green,432.0
64,6,Green,437.0
65,7,Green,428.0
66,8,Green,435.0
67,9,Green,440.0
68,10,Green,434.0
69,11,Green,437.0
70,12,Green,434.0
71,13,Green,433.0
72,14,Green,432.0
73,15,Green,437.0
74,16,Green,434.0
75,17,Green,435.0
76,18,Green,439.0
77,19,Green,426.0
78,20,Green,431.0
79,21,Green,439.0
80,22,Green,435.0
81,23,Green,432.0
82,24,Green,439.0
83,25,Green,441.0
84,26,Green,433.0
85,27,Green,435.0
86,28,Green,439.0
87,29,Green,438.0
88,30,Green,434.0
89,1,Blue,286.0
90,2,Blue,281.0
91,3,Blue,286.0
92,4,Blue,283.0
93,5,Blue,287.0
94,6,Blue,288.0
95,7,Blue,277.0
96,8,Blue,284.0
97,9,Blue,282.0
98,10,Blue,282.0
99,11,Blue,281.0
100,12,Blue,281.0
101,13,Blue,283.0
102,14,Blue,279.0
103,15,Blue,289.0
104,16,Blue,282.0
105,17,Blue,285.0
106,18,Blue,286.0
107,19,Blue,285.0
108,20,Blue,283.0
109,21,Blue,285.0
110,22,Blue,279.0
111,23,Blue,283.0
112,24,Blue,284.0
113,25,Blue,286.0
114,26,Blue,283.0
115,27,Blue,284.0
116,28,Blue,285.0
117,29,Blue,280.0
118,1,Black,4.0
119,2,Black,4.0
120,3,Black,5.0
121,4,Black,5.0
122,5,Black,4.0
123,6,Black,4.0
124,7,Black,4.0
125,8,Black,4.0
126,9,Black,4.0
127,10,Black,4.0
128,11,Black,4.0
129,12,Black,4.0
130,13,Black,5.0
131,14,Black,4.0
132,15,Black,4.0
133,16,Black,5.0
134,17,Black,4.0
135,18,Black,4.0
136,19,Black,4.0
137,20,Black,4.0
138,21,Black,5.0
139,22,Black,4.0
140,23,Black,4.0
141,24,Black,4.0
142,25,Black,4.0
143,26,Black,4.0
144,27,Black,4.0
145,28,Black,4.0
146,29,Black,4.0
176,1,White,950.0
177,2,White,955.0
178,3,White,948.0
179,4,White,955.0
180,5,White,946.0
181,6,White,954.0
182,7,White,955.0
183,8,White,947.0
184,9,White,942.0
185,10,White,950.0
186,11,White,953.0
187,12,White,952.0
188,13,White,952.0
189,14,White,948.0
190,15,White,953.0
