No.,Order,Color,Intensity
1,1,White,847.0
2,2,White,851.0
3,3,White,843.0
4,4,White,849.0
5,5,White,851.0
6,6,White,846.0
7,7,White,847.0
8,8,White,846.0
9,9,White,850.0
10,10,White,849.0
11,11,White,852.0
12,12,White,844.0
13,13,White,845.0
14,14,White,849.0
15,15,White,850.0
16,16,White,848.0
17,17,White,844.0
18,18,White,850.0
19,19,White,849.0
20,20,White,843.0
21,21,White,843.0
22,22,White,847.0
23,23,White,843.0
24,24,White,848.0
25,25,White,840.0
26,26,White,836.0
27,27,White,846.0
28,28,White,837.0
29,29,White,847.0
30,1,Red,324.0
31,2,Red,321.0
32,3,Red,325.0
33,4,Red,327.0
34,5,Red,324.0
35,6,Red,320.0
36,7,Red,320.0
37,8,Red,326.0
38,9,Red,324.0
39,10,Red,325.0
40,11,Red,323.0
41,12,Red,323.0
42,13,Red,321.0
43,14,Red,316.0
44,15,Red,321.0
45,16,Red,326.0
46,17,Red,321.0
47,18,Red,315.0
48,19,Red,326.0
49,20,Red,317.0
50,21,Red,326.0
51,22,Red,319.0
52,23,Red,325.0
53,24,Red,314.0
54,25,Red,322.0
55,26,Red,322.0
56,27,Red,321.0
57,28,Red,325.0
58,29,Red,325.0
59,30,Red,319.0
60,1,Green,356.0
61,2,Green,356.0
62,3,Green,355.0
63,4,Green,350.0
64,5,Green,340.0
65,6,Green,348.0
66,7,Green,348.0
67,8,Green,351.0
68,9,Green,348.0
69,10,Green,350.0
70,11,Green,350.0
71,12,Green,355.0
72,13,Green,351.0
73,14,Green,352.0
74,15,Green,353.0
75,16,Green,356.0
76,17,Green,356.0
77,18,Green,352.0
78,19,Green,351.0
79,20,Green,352.0
80,21,Green,356.0
81,22,Green,355.0
82,23,Green,353.0
83,24,Green,358.0
84,25,Green,351.0
85,26,Green,355.0
86,27,Green,358.0
87,28,Green,354.0
88,29,Green,349.0
89,30,Green,355.0
90,1,Blue,229.0
91,2,Blue,223.0
92,3,Blue,231.0
93,4,Blue,224.0
94,5,Blue,229.0
95,6,Blue,224.0
96,7,Blue,232.0
97,8,Blue,229.0
98,9,Blue,229.0
99,10,Blue,231.0
100,11,Blue,232.0
101,12,Blue,226.0
102,13,Blue,225.0
103,14,Blue,229.0
104,15,Blue,226.0
105,16,Blue,231.0
106,17,Blue,230.0
107,18,Blue,226.0
108,19,Blue,228.0
109,20,Blue,227.0
110,21,Blue,230.0
111,22,Blue,229.0
112,23,Blue,225.0
113,24,Blue,228.0
114,25,Blue,226.0
115,26,Blue,227.0
116,27,Blue,225.0
117,28,Blue,226.0
118,29,Blue,221.0
119,1,Black,5.0
120,2,Black,4.0
121,3,Black,4.0
122,4,Black,4.0
123,5,Black,4.0
124,6,Black,5.0
125,7,Black,4.0
126,8,Black,4.0
127,9,Black,4.0
128,10,Black,4.0
129,11,Black,4.0
130,12,Black,4.0
131,13,Black,5.0
132,14,Black,4.0
133,15,Black,4.0
134,16,Black,4.0
135,17,Black,5.0
136,18,Black,5.0
137,19,Black,4.0
138,20,Black,5.0
139,21,Black,4.0
140,22,Black,4.0
141,23,Black,4.0
142,24,Black,5.0
143,25,Black,4.0
144,26,Black,4.0
145,27,Black,4.0
146,28,Black,4.0
147,29,Black,4.0
148,30,Black,5.0
179,1,White,847.0
180,2,White,852.0
181,3,White,850.0
182,4,White,847.0
183,5,White,845.0
184,6,White,844.0
185,7,White,852.0
186,8,White,858.0
187,9,White,855.0
188,10,White,857.0
189,11,White,855.0
190,12,White,845.0
191,13,White,859.0
192,14,White,859.0
193,15,White,853.0
194,16,White,851.0
195,17,White,850.0
196,18,White,858.0
197,19,White,856.0
198,20,White,857.0
199,21,White,851.0
200,22,White,855.0
201,23,White,853.0
202,24,White,850.0
203,25,White,851.0
204,26,White,851.0
205,27,White,850.0
206,28,White,848.0
207,29,White,851.0
208,1,Red,318.0
209,2,Red,321.0
210,3,Red,316.0
211,4,Red,321.0
212,5,Red,318.0
213,6,Red,318.0
214,7,Red,317.0
215,8,Red,320.0
216,9,Red,321.0
217,10,Red,324.0
218,11,Red,326.0
219,12,Red,327.0
220,13,Red,319.0
221,14,Red,326.0
222,15,Red,321.0
223,16,Red,324.0
224,17,Red,324.0
225,18,Red,327.0
226,19,Red,317.0
227,20,Red,322.0
228,21,Red,326.0
229,22,Red,324.0
230,23,Red,322.0
231,24,Red,322.0
232,25,Red,317.0
233,26,Red,318.0
234,27,Red,317.0
235,28,Red,323.0
236,29,Red,318.0
237,30,Red,315.0
238,1,Green,354.0
239,2,Green,352.0
240,3,Green,359.0
241,4,Green,355.0
242,5,Green,359.0
243,6,Green,351.0
244,7,Green,357.0
245,8,Green,354.0
246,9,Green,354.0
247,10,Green,357.0
248,11,Green,353.0
249,12,Green,351.0
250,13,Green,354.0
251,14,Green,355.0
252,15,Green,354.0
253,16,Green,353.0
254,17,Green,351.0
255,18,Green,354.0
256,19,Green,356.0
257,20,Green,349.0
258,21,Green,351.0
259,22,Green,356.0
260,23,Green,353.0
261,24,Green,355.0
262,25,Green,355.0
263,26,Green,348.0
264,27,Green,350.0
265,28,Green,352.0
266,29,Green,350.0
267,30,Green,355.0
268,1,Blue,225.0
269,2,Blue,226.0
270,3,Blue,227.0
271,4,Blue,224.0
272,5,Blue,224.0
273,6,Blue,226.0
274,7,Blue,224.0
