No.,Order,Color,Intensity
1,1,White,842.0
2,2,White,832.0
3,3,White,831.0
4,4,White,836.0
5,5,White,836.0
6,6,White,837.0
7,7,White,836.0
8,8,White,840.0
9,9,White,844.0
10,10,White,837.0
11,11,White,832.0
12,12,White,836.0
13,13,White,835.0
14,14,White,844.0
15,15,White,844.0
16,16,White,841.0
17,17,White,826.0
18,18,White,829.0
19,19,White,838.0
20,20,White,836.0
21,21,White,838.0
22,22,White,834.0
23,23,White,835.0
24,24,White,839.0
25,25,White,841.0
26,26,White,834.0
27,27,White,833.0
28,28,White,836.0
29,29,White,842.0
30,1,Red,331.0
31,2,Red,333.0
32,3,Red,335.0
33,4,Red,336.0
34,5,Red,332.0
35,6,Red,331.0
36,7,Red,333.0
37,8,Red,337.0
38,9,Red,334.0
39,10,Red,334.0
40,11,Red,333.0
41,12,Red,334.0
42,13,Red,336.0
43,14,Red,336.0
44,15,Red,331.0
45,16,Red,333.0
46,17,Red,335.0
47,18,Red,335.0
48,19,Red,334.0
49,20,Red,336.0
50,21,Red,334.0
51,22,Red,334.0
52,23,Red,334.0
53,24,Red,332.0
54,25,Red,332.0
55,26,Red,338.0
56,27,Red,331.0
57,28,Red,331.0
58,29,Red,334.0
59,30,Red,329.0
60,1,Green,381.0
61,2,Green,374.0
62,3,Green,377.0
63,4,Green,381.0
64,5,Green,373.0
65,6,Green,376.0
66,7,Green,380.0
67,8,Green,380.0
68,9,Green,373.0
69,10,Green,376.0
70,11,Green,370.0
71,12,Green,378.0
72,13,Green,380.0
73,14,Green,379.0
74,15,Green,373.0
75,16,Green,381.0
76,17,Green,374.0
77,18,Green,377.0
78,19,Green,377.0
79,20,Green,383.0
80,21,Green,370.0
81,22,Green,379.0
82,23,Green,378.0
83,24,Green,377.0
84,25,Green,378.0
85,26,Green,383.0
86,27,Green,379.0
87,28,Green,374.0
88,29,Green,379.0
89,30,Green,373.0
90,1,Blue,165.0
91,2,Blue,167.0
92,3,Blue,170.0
93,4,Blue,166.0
94,5,Blue,170.0
95,6,Blue,170.0
96,7,Blue,167.0
97,8,Blue,164.0
98,9,Blue,168.0
99,10,Blue,166.0
100,11,Blue,170.0
101,12,Blue,167.0
102,13,Blue,169.0
103,14,Blue,169.0
104,15,Blue,168.0
105,16,Blue,166.0
106,17,Blue,171.0
107,18,Blue,168.0
108,19,Blue,165.0
109,20,Blue,168.0
110,21,Blue,162.0
111,22,Blue,165.0
112,23,Blue,169.0
113,24,Blue,166.0
114,25,Blue,165.0
115,26,Blue,163.0
116,27,Blue,170.0
117,28,Blue,168.0
118,29,Blue,167.0
119,30,Blue,164.0
120,1,Black,4.0
121,2,Black,4.0
122,3,Black,5.0
123,4,Black,5.0
124,5,Black,4.0
125,6,Black,5.0
126,7,Black,5.0
127,8,Black,4.0
128,9,Black,4.0
129,10,Black,5.0
130,11,Black,4.0
131,12,Black,4.0
132,13,Black,5.0
133,14,Black,4.0
134,15,Black,5.0
135,16,Black,5.0
136,17,Black,4.0
137,18,Black,4.0
138,19,Black,5.0
139,20,Black,4.0
140,21,Black,4.0
141,22,Black,4.0
142,23,Black,4.0
143,24,Black,5.0
144,25,Black,5.0
145,26,Black,5.0
146,27,Black,4.0
147,28,Black,4.0
148,29,Black,4.0
179,1,White,823.0
180,2,White,826.0
181,3,White,827.0
182,4,White,822.0
183,5,White,823.0
184,6,White,825.0
185,7,White,828.0
186,8,White,821.0
187,9,White,825.0
188,10,White,824.0
189,11,White,824.0
190,12,White,829.0
191,13,White,818.0
192,14,White,826.0
193,15,White,826.0
194,16,White,822.0
195,17,White,830.0
196,18,White,828.0
197,19,White,822.0
198,20,White,823.0
199,21,White,828.0
200,22,White,818.0
201,23,White,829.0
202,24,White,823.0
203,25,White,823.0
204,26,White,826.0
205,27,White,824.0
206,28,White,820.0
207,29,White,826.0
208,30,White,828.0
209,1,Red,330.0
210,2,Red,329.0
211,3,Red,336.0
212,4,Red,330.0
213,5,Red,327.0
214,6,Red,329.0
215,7,Red,328.0
216,8,Red,327.0
217,9,Red,335.0
218,10,Red,330.0
219,11,Red,332.0
220,12,Red,330.0
221,13,Red,334.0
222,14,Red,331.0
223,15,Red,329.0
224,16,Red,333.0
225,17,Red,332.0
226,18,Red,333.0
227,19,Red,329.0
228,20,Red,333.0
229,21,Red,332.0
230,22,Red,332.0
231,23,Red,332.0
232,24,Red,335.0
233,25,Red,334.0
234,26,Red,335.0
235,27,Red,334.0
236,28,Red,330.0
237,29,Red,328.0
238,1,Green,370.0
239,2,Green,371.0
240,3,Green,370.0
241,4,Green,369.0
242,5,Green,373.0
243,6,Green,368.0
244,7,Green,365.0
245,8,Green,376.0
246,9,Green,372.0
247,10,Green,367.0
248,11,Green,371.0
249,12,Green,371.0
250,13,Green,367.0
251,14,Green,372.0
252,15,Green,366.0
253,16,Green,376.0
254,17,Green,371.0
255,18,Green,369.0
256,19,Green,367.0
257,20,Green,369.0
258,21,Green,371.0
259,22,Green,374.0
260,23,Green,370.0
261,24,Green,369.0
262,25,Green,368.0
263,26,Green,375.0
264,27,Green,374.0
265,28,Green,372.0
266,29,Green,370.0
267,30,Green,375.0
268,1,Blue,164.0
269,2,Blue,166.0
270,3,Blue,162.0
271,4,Blue,169.0
272,5,Blue,165.0
273,6,Blue,168.0
274,7,Blue,162.0
275,8,Blue,163.0
276,9,Blue,167.0
277,10,Blue,164.0
278,11,Blue,164.0
279,12,Blue,167.0
280,13,Blue,163.0
281,14,Blue,169.0
282,15,Blue,166.0
283,16,Blue,162.0
284,17,Blue,161.0
285,18,Blue,162.0
286,19,Blue,164.0
287,20,Blue,164.0
288,21,Blue,168.0
289,22,Blue,163.0
290,23,Blue,164.0
291,24,Blue,168.0
292,25,Blue,164.0
293,26,Blue,166.0
294,27,Blue,166.0
295,28,Blue,161.0
296,29,Blue,167.0
297,30,Blue,164.0
298,1,Black,4.0
299,2,Black,4.0
300,3,Black,4.0
301,4,Black,5.0
302,5,Black,4.0
303,6,Black,4.0
304,7,Black,4.0
305,8,Black,4.0
306,9,Black,4.0
307,10,Black,4.0
308,11,Black,4.0
309,12,Black,4.0
310,13,Black,5.0
311,14,Black,4.0
312,15,Black,4.0
313,16,Black,4.0
314,17,Black,4.0
315,18,Black,4.0
316,19,Black,4.0
317,20,Black,5.0
318,21,Black,4.0
319,22,Black,4.0
320,23,Black,4.0
321,24,Black,4.0
322,25,Black,4.0
323,26,Black,4.0
324,27,Black,4.0
325,28,Black,4.0
326,29,Black,4.0
357,1,White,825.0
358,2,White,821.0
359,3,White,826.0
360,4,White,821.0
361,5,White,818.0
362,6,White,815.0
363,7,White,818.0
364,8,White,816.0
365,9,White,808.0
366,10,White,819.0
367,11,White,820.0
368,12,White,813.0
369,13,White,822.0
370,14,White,823.0
371,15,White,820.0
372,16,White,813.0
373,17,White,825.0
374,18,White,820.0
375,19,White,813.0
376,20,White,821.0
377,21,White,814.0
378,22,White,824.0
379,23,White,822.0
380,24,White,820.0
381,25,White,817.0
382,26,White,818.0
383,27,White,817.0
384,28,White,815.0
385,29,White,819.0
386,30,White,823.0
387,1,Red,327.0
388,2,Red,335.0
389,3,Red,329.0
390,4,Red,326.0
391,5,Red,331.0
392,6,Red,336.0
393,7,Red,333.0
394,8,Red,331.0
395,9,Red,336.0
396,10,Red,328.0
397,11,Red,334.0
398,12,Red,323.0
399,13,Red,330.0
400,14,Red,327.0
401,15,Red,331.0
402,16,Red,332.0
403,17,Red,328.0
404,18,Red,328.0
405,19,Red,323.0
406,20,Red,336.0
407,21,Red,330.0
408,22,Red,334.0
409,23,Red,333.0
410,24,Red,327.0
411,25,Red,331.0
412,26,Red,329.0
413,27,Red,328.0
414,28,Red,332.0
415,29,Red,323.0
416,1,Green,367.0
417,2,Green,368.0
418,3,Green,372.0
419,4,Green,368.0
420,5,Green,359.0
421,6,Green,373.0
422,7,Green,368.0
423,8,Green,368.0
424,9,Green,363.0
425,10,Green,368.0
426,11,Green,367.0
427,12,Green,372.0
428,13,Green,366.0
429,14,Green,368.0
430,15,Green,368.0
431,16,Green,373.0
432,17,Green,369.0
433,18,Green,371.0
434,19,Green,368.0
435,20,Green,365.0
436,21,Green,368.0
437,22,Green,372.0
438,23,Green,366.0
439,24,Green,360.0
440,25,Green,370.0
441,26,Green,366.0
442,27,Green,369.0
443,28,Green,365.0
444,29,Green,372.0
445,30,Green,370.0
446,1,Blue,165.0
447,2,Blue,163.0
448,3,Blue,160.0
449,4,Blue,161.0
450,5,Blue,161.0
451,6,Blue,161.0
452,7,Blue,165.0
453,8,Blue,163.0
454,9,Blue,159.0
455,10,Blue,165.0
456,11,Blue,164.0
457,12,Blue,167.0
458,13,Blue,159.0
459,14,Blue,165.0
460,15,Blue,163.0
461,16,Blue,161.0
462,17,Blue,163.0
463,18,Blue,159.0
464,19,Blue,160.0
465,20,Blue,164.0
466,21,Blue,161.0
467,22,Blue,164.0
468,23,Blue,165.0
469,24,Blue,161.0
470,25,Blue,165.0
471,26,Blue,161.0
472,27,Blue,165.0
473,28,Blue,161.0
474,29,Blue,160.0
475,30,Blue,163.0
476,1,Black,4.0
477,2,Black,4.0
478,3,Black,4.0
479,4,Black,5.0
480,5,Black,4.0
481,6,Black,4.0
482,7,Black,4.0
483,8,Black,4.0
484,9,Black,4.0
485,10,Black,4.0
486,11,Black,5.0
