No.,Order,Color,Intensity
1,1,White,734.0
2,2,White,724.0
3,3,White,731.0
4,4,White,728.0
5,5,White,723.0
6,6,White,731.0
7,7,White,733.0
8,8,White,726.0
9,9,White,720.0
10,10,White,724.0
11,11,White,723.0
12,12,White,726.0
13,13,White,733.0
14,14,White,720.0
15,15,White,731.0
16,16,White,733.0
17,17,White,733.0
18,18,White,734.0
19,19,White,723.0
20,20,White,730.0
21,21,White,731.0
22,22,White,737.0
23,23,White,730.0
24,24,White,728.0
25,25,White,728.0
26,26,White,729.0
27,27,White,727.0
28,28,White,731.0
29,29,White,729.0
30,1,Red,300.0
31,2,Red,300.0
32,3,Red,299.0
33,4,Red,302.0
34,5,Red,303.0
35,6,Red,305.0
36,7,Red,301.0
37,8,Red,301.0
38,9,Red,306.0
39,10,Red,301.0
40,11,Red,301.0
41,12,Red,299.0
42,13,Red,298.0
43,14,Red,299.0
44,15,Red,303.0
45,16,Red,298.0
46,17,Red,300.0
47,18,Red,297.0
48,19,Red,298.0
49,20,Red,301.0
50,21,Red,300.0
51,22,Red,300.0
52,23,Red,299.0
53,24,Red,297.0
54,25,Red,303.0
55,26,Red,304.0
56,27,Red,303.0
57,28,Red,296.0
58,29,Red,305.0
59,1,Green,316.0
60,2,Green,314.0
61,3,Green,315.0
62,4,Green,317.0
63,5,Green,315.0
64,6,Green,320.0
65,7,Green,314.0
66,8,Green,319.0
67,9,Green,314.0
68,10,Green,312.0
69,11,Green,315.0
70,12,Green,318.0
71,13,Green,312.0
72,14,Green,320.0
73,15,Green,316.0
74,16,Green,314.0
75,17,Green,321.0
76,18,Green,318.0
77,19,Green,314.0
78,20,Green,312.0
79,21,Green,316.0
80,22,Green,310.0
81,23,Green,317.0
82,24,Green,322.0
83,25,Green,313.0
84,26,Green,315.0
85,27,Green,313.0
86,28,Green,315.0
87,29,Green,316.0
88,1,Blue,152.0
89,2,Blue,146.0
90,3,Blue,149.0
91,4,Blue,150.0
92,5,Blue,148.0
93,6,Blue,148.0
94,7,Blue,148.0
95,8,Blue,147.0
96,9,Blue,152.0
97,10,Blue,145.0
98,11,Blue,150.0
99,12,Blue,145.0
100,13,Blue,154.0
101,14,Blue,151.0
102,15,Blue,149.0
103,16,Blue,149.0
104,17,Blue,147.0
105,18,Blue,150.0
106,19,Blue,153.0
107,20,Blue,153.0
108,21,Blue,147.0
109,22,Blue,151.0
110,23,Blue,149.0
111,24,Blue,147.0
112,25,Blue,150.0
113,26,Blue,145.0
114,27,Blue,150.0
115,28,Blue,149.0
116,29,Blue,149.0
117,1,Black,6.0
118,2,Black,4.0
119,3,Black,4.0
120,4,Black,5.0
121,5,Black,4.0
122,6,Black,4.0
123,7,Black,5.0
124,8,Black,5.0
125,9,Black,4.0
126,10,Black,5.0
