No.,Order,Color,Intensity
1,1,White,786.0
2,2,White,793.0
3,3,White,786.0
4,4,White,788.0
5,5,White,779.0
6,6,White,791.0
7,7,White,789.0
8,8,White,786.0
9,9,White,785.0
10,10,White,785.0
11,11,White,777.0
12,12,White,782.0
13,13,White,782.0
14,14,White,790.0
15,15,White,786.0
16,16,White,790.0
17,17,White,786.0
18,18,White,777.0
19,19,White,783.0
20,20,White,781.0
21,21,White,776.0
22,22,White,788.0
23,23,White,784.0
24,24,White,786.0
25,25,White,784.0
26,26,White,779.0
27,27,White,785.0
28,28,White,788.0
29,29,White,785.0
30,1,Red,312.0
31,2,Red,309.0
32,3,Red,312.0
33,4,Red,307.0
34,5,Red,313.0
35,6,Red,306.0
36,7,Red,305.0
37,8,Red,306.0
38,9,Red,308.0
39,10,Red,312.0
40,11,Red,312.0
41,12,Red,309.0
42,13,Red,308.0
43,14,Red,307.0
44,15,Red,310.0
45,16,Red,308.0
46,17,Red,309.0
47,18,Red,305.0
48,19,Red,311.0
49,20,Red,312.0
50,21,Red,311.0
51,22,Red,308.0
52,23,Red,306.0
53,24,Red,311.0
54,25,Red,314.0
55,26,Red,307.0
56,27,Red,309.0
57,28,Red,311.0
58,29,Red,310.0
59,1,Green,352.0
60,2,Green,347.0
61,3,Green,344.0
62,4,Green,348.0
63,5,Green,352.0
64,6,Green,349.0
65,7,Green,349.0
66,8,Green,345.0
67,9,Green,346.0
68,10,Green,348.0
69,11,Green,344.0
70,12,Green,345.0
71,13,Green,345.0
72,14,Green,348.0
73,15,Green,349.0
74,16,Green,350.0
75,17,Green,344.0
76,18,Green,344.0
77,19,Green,344.0
78,20,Green,348.0
79,21,Green,349.0
80,22,Green,340.0
81,23,Green,349.0
82,24,Green,347.0
83,25,Green,336.0
84,26,Green,344.0
85,27,Green,345.0
86,28,Green,345.0
87,29,Green,347.0
88,1,Blue,165.0
89,2,Blue,168.0
90,3,Blue,164.0
91,4,Blue,166.0
92,5,Blue,164.0
93,6,Blue,165.0
94,7,Blue,164.0
95,8,Blue,168.0
96,9,Blue,167.0
97,10,Blue,168.0
98,11,Blue,167.0
99,12,Blue,163.0
100,13,Blue,165.0
101,14,Blue,165.0
102,15,Blue,163.0
103,16,Blue,166.0
104,17,Blue,164.0
105,18,Blue,164.0
106,19,Blue,165.0
107,20,Blue,165.0
108,21,Blue,169.0
109,22,Blue,163.0
110,23,Blue,163.0
111,24,Blue,165.0
112,25,Blue,164.0
113,26,Blue,164.0
114,27,Blue,164.0
115,28,Blue,164.0
116,29,Blue,163.0
117,1,Black,4.0
118,2,Black,4.0
119,3,Black,5.0
120,4,Black,5.0
121,5,Black,5.0
122,6,Black,5.0
123,7,Black,4.0
124,8,Black,6.0
125,9,Black,4.0
126,10,Black,5.0
127,11,Black,5.0
128,12,Black,5.0
129,13,Black,5.0
130,14,Black,6.0
131,15,Black,4.0
132,16,Black,5.0
133,17,Black,4.0
134,18,Black,4.0
135,19,Black,5.0
136,20,Black,4.0
137,21,Black,5.0
138,22,Black,5.0
139,23,Black,5.0
140,24,Black,4.0
141,25,Black,5.0
142,26,Black,5.0
143,27,Black,6.0
144,28,Black,4.0
145,29,Black,5.0
176,1,White,774.0
177,2,White,772.0
178,3,White,777.0
179,4,White,775.0
180,5,White,771.0
181,6,White,776.0
182,7,White,773.0
183,8,White,769.0
184,9,White,763.0
185,10,White,762.0
186,11,White,764.0
187,12,White,753.0
188,13,White,762.0
189,14,White,765.0
190,15,White,765.0
191,16,White,759.0
192,17,White,765.0
193,18,White,763.0
194,19,White,766.0
195,20,White,761.0
196,21,White,762.0
197,22,White,766.0
198,23,White,765.0
199,24,White,759.0
200,25,White,768.0
201,26,White,765.0
202,27,White,768.0
203,28,White,762.0
204,29,White,760.0
205,1,Red,300.0
206,2,Red,299.0
207,3,Red,305.0
208,4,Red,305.0
209,5,Red,308.0
210,6,Red,303.0
211,7,Red,304.0
212,8,Red,308.0
213,9,Red,304.0
214,10,Red,302.0
215,11,Red,302.0
216,12,Red,299.0
217,13,Red,302.0
218,14,Red,302.0
219,15,Red,303.0
220,16,Red,307.0
221,17,Red,307.0
222,18,Red,304.0
223,19,Red,307.0
224,20,Red,305.0
225,21,Red,307.0
226,22,Red,306.0
227,23,Red,302.0
228,24,Red,296.0
229,25,Red,304.0
230,26,Red,303.0
231,27,Red,305.0
232,28,Red,302.0
233,29,Red,300.0
234,1,Green,337.0
235,2,Green,332.0
236,3,Green,338.0
237,4,Green,332.0
238,5,Green,336.0
239,6,Green,337.0
240,7,Green,337.0
241,8,Green,336.0
242,9,Green,335.0
243,10,Green,332.0
244,11,Green,332.0
245,12,Green,338.0
246,13,Green,335.0
247,14,Green,332.0
248,15,Green,337.0
249,16,Green,334.0
250,17,Green,334.0
251,18,Green,335.0
252,19,Green,337.0
253,20,Green,334.0
254,21,Green,338.0
255,22,Green,339.0
256,23,Green,340.0
257,24,Green,329.0
258,25,Green,337.0
259,26,Green,332.0
260,27,Green,333.0
261,28,Green,332.0
262,29,Green,340.0
263,1,Blue,160.0
264,2,Blue,163.0
265,3,Blue,162.0
266,4,Blue,160.0
267,5,Blue,158.0
268,6,Blue,158.0
269,7,Blue,163.0
270,8,Blue,164.0
271,9,Blue,161.0
272,10,Blue,161.0
273,11,Blue,165.0
274,12,Blue,164.0
275,13,Blue,160.0
276,14,Blue,159.0
277,15,Blue,163.0
278,16,Blue,160.0
279,17,Blue,158.0
280,18,Blue,160.0
281,19,Blue,162.0
282,20,Blue,157.0
283,21,Blue,157.0
284,22,Blue,157.0
285,23,Blue,158.0
286,24,Blue,156.0
287,25,Blue,163.0
288,26,Blue,163.0
289,27,Blue,161.0
290,28,Blue,158.0
291,29,Blue,159.0
292,1,Black,5.0
293,2,Black,6.0
294,3,Black,4.0
295,4,Black,4.0
296,5,Black,4.0
297,6,Black,5.0
298,7,Black,5.0
299,8,Black,5.0
300,9,Black,6.0
301,10,Black,5.0
302,11,Black,5.0
303,12,Black,4.0
304,13,Black,4.0
305,14,Black,4.0
306,15,Black,5.0
307,16,Black,4.0
308,17,Black,5.0
309,18,Black,5.0
310,19,Black,5.0
311,20,Black,5.0
312,21,Black,4.0
313,22,Black,5.0
314,23,Black,5.0
315,24,Black,6.0
316,25,Black,4.0
317,26,Black,6.0
318,27,Black,4.0
319,28,Black,4.0
320,29,Black,5.0
350,1,White,752.0
351,2,White,752.0
352,3,White,763.0
353,4,White,756.0
354,5,White,760.0
355,6,White,758.0
356,7,White,755.0
357,8,White,758.0
358,9,White,753.0
359,10,White,748.0
360,11,White,761.0
361,12,White,756.0
362,13,White,755.0
363,14,White,756.0
364,15,White,759.0
365,16,White,754.0
366,17,White,752.0
367,18,White,757.0
368,19,White,752.0
369,20,White,748.0
370,21,White,758.0
371,22,White,755.0
372,23,White,757.0
373,24,White,756.0
374,25,White,761.0
375,26,White,753.0
376,27,White,756.0
377,28,White,759.0
378,29,White,754.0
379,1,Red,302.0
380,2,Red,302.0
381,3,Red,299.0
382,4,Red,304.0
383,5,Red,302.0
384,6,Red,305.0
385,7,Red,302.0
386,8,Red,300.0
387,9,Red,305.0
388,10,Red,305.0
389,11,Red,299.0
390,12,Red,307.0
391,13,Red,307.0
392,14,Red,303.0
393,15,Red,300.0
394,16,Red,301.0
395,17,Red,298.0
396,18,Red,301.0
397,19,Red,304.0
398,20,Red,301.0
399,21,Red,301.0
400,22,Red,301.0
401,23,Red,302.0
402,24,Red,305.0
403,25,Red,301.0
404,26,Red,302.0
405,27,Red,306.0
406,28,Red,301.0
407,29,Red,301.0
408,1,Green,335.0
409,2,Green,332.0
410,3,Green,329.0
411,4,Green,329.0
412,5,Green,329.0
413,6,Green,330.0
414,7,Green,335.0
415,8,Green,333.0
416,9,Green,329.0
417,10,Green,332.0
418,11,Green,331.0
419,12,Green,332.0
420,13,Green,331.0
421,14,Green,335.0
422,15,Green,331.0
423,16,Green,329.0
424,17,Green,331.0
425,18,Green,330.0
426,19,Green,331.0
427,20,Green,327.0
428,21,Green,336.0
429,22,Green,331.0
430,23,Green,332.0
431,24,Green,332.0
432,25,Green,333.0
433,26,Green,329.0
434,27,Green,330.0
435,28,Green,338.0
436,29,Green,337.0
437,30,Green,329.0
