No.,Order,Color,Intensity
1,1,White,944.0
2,2,White,948.0
3,3,White,943.0
4,4,White,944.0
5,5,White,946.0
6,6,White,948.0
7,7,White,947.0
8,8,White,943.0
9,9,White,944.0
10,10,White,945.0
11,11,White,945.0
12,12,White,941.0
13,13,White,942.0
14,14,White,943.0
15,15,White,939.0
16,16,White,944.0
17,17,White,942.0
18,18,White,942.0
19,19,White,942.0
20,20,White,940.0
21,21,White,942.0
22,22,White,947.0
23,23,White,948.0
24,24,White,941.0
25,25,White,947.0
26,26,White,941.0
27,27,White,943.0
28,28,White,946.0
29,29,White,943.0
30,1,Red,332.0
31,2,Red,334.0
32,3,Red,329.0
33,4,Red,334.0
34,5,Red,340.0
35,6,Red,335.0
36,7,Red,330.0
37,8,Red,336.0
38,9,Red,335.0
39,10,Red,332.0
40,11,Red,333.0
41,12,Red,329.0
42,13,Red,336.0
43,14,Red,330.0
44,15,Red,333.0
45,16,Red,336.0
46,17,Red,332.0
47,18,Red,332.0
48,19,Red,340.0
49,20,Red,334.0
50,21,Red,334.0
51,22,Red,328.0
52,23,Red,333.0
53,24,Red,335.0
54,25,Red,332.0
55,26,Red,337.0
56,27,Red,339.0
57,28,Red,336.0
58,29,Red,333.0
59,1,Green,429.0
60,2,Green,426.0
61,3,Green,424.0
62,4,Green,422.0
63,5,Green,428.0
64,6,Green,428.0
65,7,Green,425.0
66,8,Green,424.0
67,9,Green,424.0
68,10,Green,432.0
69,11,Green,417.0
70,12,Green,431.0
71,13,Green,428.0
72,14,Green,423.0
73,15,Green,422.0
74,16,Green,426.0
75,17,Green,425.0
76,18,Green,422.0
77,19,Green,416.0
78,20,Green,426.0
79,21,Green,430.0
80,22,Green,427.0
81,23,Green,426.0
82,24,Green,430.0
83,25,Green,426.0
84,26,Green,425.0
85,27,Green,419.0
86,28,Green,428.0
87,29,Green,425.0
88,1,Blue,272.0
89,2,Blue,269.0
90,3,Blue,270.0
91,4,Blue,271.0
92,5,Blue,272.0
93,6,Blue,267.0
94,7,Blue,268.0
95,8,Blue,271.0
96,9,Blue,268.0
97,10,Blue,270.0
98,11,Blue,270.0
99,12,Blue,269.0
100,13,Blue,269.0
101,14,Blue,271.0
102,15,Blue,270.0
103,16,Blue,268.0
104,17,Blue,273.0
105,18,Blue,272.0
106,19,Blue,268.0
107,20,Blue,271.0
108,21,Blue,271.0
109,22,Blue,270.0
110,23,Blue,267.0
111,24,Blue,274.0
112,25,Blue,274.0
113,26,Blue,266.0
114,27,Blue,267.0
115,28,Blue,270.0
116,29,Blue,268.0
117,1,Black,5.0
118,2,Black,5.0
119,3,Black,5.0
120,4,Black,5.0
121,5,Black,5.0
122,6,Black,4.0
123,7,Black,6.0
124,8,Black,6.0
125,9,Black,5.0
126,10,Black,5.0
127,11,Black,4.0
128,12,Black,5.0
129,13,Black,6.0
130,14,Black,6.0
131,15,Black,5.0
132,16,Black,5.0
133,17,Black,5.0
134,18,Black,4.0
135,19,Black,5.0
136,20,Black,5.0
137,21,Black,6.0
138,22,Black,6.0
139,23,Black,6.0
140,24,Black,4.0
141,25,Black,5.0
142,26,Black,5.0
143,27,Black,4.0
144,28,Black,5.0
145,29,Black,5.0
175,1,White,943.0
176,2,White,935.0
177,3,White,948.0
178,4,White,946.0
179,5,White,942.0
180,6,White,942.0
181,7,White,943.0
182,8,White,943.0
183,9,White,937.0
184,10,White,946.0
185,11,White,941.0
186,12,White,945.0
187,13,White,943.0
188,14,White,947.0
189,15,White,944.0
190,16,White,949.0
191,17,White,942.0
192,18,White,942.0
193,19,White,941.0
194,20,White,937.0
195,21,White,938.0
196,22,White,940.0
197,23,White,946.0
198,24,White,948.0
199,25,White,941.0
200,26,White,943.0
201,27,White,943.0
202,28,White,940.0
203,29,White,947.0
204,30,White,944.0
205,1,Red,336.0
206,2,Red,325.0
207,3,Red,335.0
208,4,Red,331.0
209,5,Red,331.0
210,6,Red,333.0
211,7,Red,331.0
212,8,Red,335.0
213,9,Red,337.0
214,10,Red,333.0
215,11,Red,332.0
216,12,Red,338.0
217,13,Red,331.0
218,14,Red,334.0
219,15,Red,327.0
220,16,Red,338.0
221,17,Red,338.0
222,18,Red,336.0
223,19,Red,334.0
224,20,Red,329.0
225,21,Red,332.0
226,22,Red,330.0
227,23,Red,332.0
228,24,Red,335.0
229,25,Red,337.0
230,26,Red,334.0
231,27,Red,333.0
232,28,Red,338.0
233,29,Red,335.0
234,1,Green,422.0
235,2,Green,428.0
236,3,Green,425.0
237,4,Green,427.0
238,5,Green,429.0
239,6,Green,429.0
240,7,Green,424.0
241,8,Green,431.0
242,9,Green,428.0
243,10,Green,425.0
244,11,Green,428.0
245,12,Green,417.0
246,13,Green,421.0
247,14,Green,429.0
248,15,Green,429.0
249,16,Green,432.0
250,17,Green,430.0
251,18,Green,432.0
252,19,Green,427.0
253,20,Green,429.0
254,21,Green,427.0
255,22,Green,428.0
256,23,Green,429.0
257,24,Green,429.0
258,25,Green,432.0
259,26,Green,430.0
260,27,Green,429.0
261,28,Green,429.0
262,29,Green,425.0
263,1,Blue,271.0
264,2,Blue,267.0
265,3,Blue,267.0
266,4,Blue,267.0
267,5,Blue,275.0
268,6,Blue,267.0
269,7,Blue,271.0
270,8,Blue,271.0
271,9,Blue,267.0
272,10,Blue,273.0
273,11,Blue,272.0
274,12,Blue,270.0
275,13,Blue,266.0
276,14,Blue,268.0
277,15,Blue,271.0
278,16,Blue,271.0
279,17,Blue,274.0
280,18,Blue,263.0
281,19,Blue,267.0
282,20,Blue,269.0
283,21,Blue,267.0
284,22,Blue,271.0
285,23,Blue,267.0
286,24,Blue,267.0
287,25,Blue,270.0
288,26,Blue,271.0
289,27,Blue,269.0
290,28,Blue,273.0
291,29,Blue,267.0
292,1,Black,5.0
293,2,Black,5.0
294,3,Black,5.0
295,4,Black,6.0
296,5,Black,5.0
297,6,Black,6.0
298,7,Black,6.0
299,8,Black,4.0
300,9,Black,5.0
301,10,Black,5.0
302,11,Black,5.0
303,12,Black,4.0
304,13,Black,4.0
305,14,Black,4.0
