No.,Order,Color,Intensity
1,1,White,770.0
2,2,White,782.0
3,3,White,781.0
4,4,White,778.0
5,5,White,777.0
6,6,White,779.0
7,7,White,778.0
8,8,White,779.0
9,9,White,781.0
10,10,White,772.0
11,11,White,782.0
12,12,White,779.0
13,13,White,783.0
14,14,White,778.0
15,15,White,783.0
16,16,White,780.0
17,17,White,780.0
18,18,White,779.0
19,19,White,768.0
20,20,White,775.0
21,21,White,777.0
22,22,White,771.0
23,23,White,779.0
24,24,White,785.0
25,25,White,783.0
26,26,White,778.0
27,27,White,780.0
28,28,White,778.0
29,29,White,782.0
30,1,Red,276.0
31,2,Red,273.0
32,3,Red,275.0
33,4,Red,274.0
34,5,Red,271.0
35,6,Red,278.0
36,7,Red,273.0
37,8,Red,271.0
38,9,Red,275.0
39,10,Red,273.0
40,11,Red,274.0
41,12,Red,272.0
42,13,Red,278.0
43,14,Red,275.0
44,15,Red,276.0
45,16,Red,272.0
46,17,Red,278.0
47,18,Red,273.0
48,19,Red,271.0
49,20,Red,279.0
50,21,Red,273.0
51,22,Red,266.0
52,23,Red,274.0
53,24,Red,275.0
54,25,Red,272.0
55,26,Red,277.0
56,27,Red,276.0
57,28,Red,273.0
58,29,Red,278.0
59,30,Red,277.0
60,1,Green,332.0
61,2,Green,333.0
62,3,Green,337.0
63,4,Green,335.0
64,5,Green,323.0
65,6,Green,328.0
66,7,Green,329.0
67,8,Green,329.0
68,9,Green,333.0
69,10,Green,329.0
70,11,Green,330.0
71,12,Green,331.0
72,13,Green,330.0
73,14,Green,333.0
74,15,Green,324.0
75,16,Green,334.0
76,17,Green,328.0
77,18,Green,336.0
78,19,Green,330.0
79,20,Green,336.0
80,21,Green,331.0
81,22,Green,332.0
82,23,Green,330.0
83,24,Green,329.0
84,25,Green,330.0
85,26,Green,331.0
86,27,Green,330.0
87,28,Green,331.0
88,29,Green,330.0
89,30,Green,334.0
90,1,Blue,212.0
91,2,Blue,212.0
92,3,Blue,210.0
93,4,Blue,213.0
94,5,Blue,214.0
95,6,Blue,209.0
96,7,Blue,209.0
97,8,Blue,213.0
98,9,Blue,214.0
99,10,Blue,213.0
