No.,Order,Color,Intensity
1,1,White,826.0
2,2,White,821.0
3,3,White,819.0
4,4,White,823.0
5,5,White,823.0
6,6,White,829.0
7,7,White,834.0
8,8,White,833.0
9,9,White,826.0
10,10,White,829.0
11,11,White,821.0
12,12,White,824.0
13,13,White,820.0
14,14,White,822.0
15,15,White,817.0
16,16,White,829.0
17,17,White,823.0
18,18,White,827.0
19,19,White,820.0
20,20,White,825.0
21,21,White,824.0
22,22,White,828.0
23,23,White,825.0
24,24,White,827.0
25,25,White,826.0
26,26,White,829.0
27,27,White,822.0
28,28,White,826.0
29,29,White,826.0
30,1,Red,325.0
31,2,Red,323.0
32,3,Red,325.0
33,4,Red,325.0
34,5,Red,328.0
35,6,Red,326.0
36,7,Red,325.0
37,8,Red,329.0
38,9,Red,324.0
39,10,Red,329.0
40,11,Red,325.0
41,12,Red,324.0
42,13,Red,330.0
43,14,Red,327.0
44,15,Red,325.0
45,16,Red,324.0
46,17,Red,329.0
47,18,Red,325.0
48,19,Red,326.0
49,20,Red,325.0
50,21,Red,330.0
51,22,Red,326.0
52,23,Red,319.0
53,24,Red,329.0
54,25,Red,325.0
55,26,Red,324.0
56,27,Red,324.0
57,28,Red,326.0
58,29,Red,329.0
59,30,Red,328.0
60,1,Green,336.0
61,2,Green,333.0
62,3,Green,336.0
63,4,Green,339.0
64,5,Green,339.0
65,6,Green,341.0
66,7,Green,335.0
67,8,Green,340.0
68,9,Green,336.0
69,10,Green,336.0
70,11,Green,341.0
71,12,Green,336.0
72,13,Green,342.0
73,14,Green,335.0
74,15,Green,337.0
75,16,Green,344.0
76,17,Green,344.0
77,18,Green,338.0
78,19,Green,340.0
79,20,Green,337.0
80,21,Green,339.0
81,22,Green,332.0
82,23,Green,336.0
83,24,Green,338.0
84,25,Green,338.0
85,26,Green,339.0
86,27,Green,344.0
87,28,Green,345.0
88,29,Green,345.0
89,1,Blue,208.0
90,2,Blue,209.0
91,3,Blue,205.0
92,4,Blue,209.0
93,5,Blue,207.0
94,6,Blue,205.0
95,7,Blue,210.0
96,8,Blue,208.0
97,9,Blue,209.0
98,10,Blue,211.0
99,11,Blue,210.0
100,12,Blue,211.0
101,13,Blue,206.0
102,14,Blue,209.0
103,15,Blue,211.0
104,16,Blue,206.0
105,17,Blue,206.0
106,18,Blue,209.0
107,19,Blue,213.0
108,20,Blue,208.0
109,21,Blue,210.0
110,22,Blue,206.0
111,23,Blue,205.0
112,24,Blue,209.0
113,25,Blue,206.0
114,26,Blue,206.0
115,27,Blue,204.0
116,28,Blue,211.0
117,29,Blue,207.0
118,30,Blue,208.0
119,1,Black,4.0
120,2,Black,4.0
121,3,Black,4.0
122,4,Black,4.0
123,5,Black,4.0
124,6,Black,4.0
125,7,Black,4.0
126,8,Black,4.0
127,9,Black,4.0
128,10,Black,4.0
129,11,Black,5.0
130,12,Black,5.0
131,13,Black,4.0
132,14,Black,4.0
133,15,Black,4.0
134,16,Black,5.0
135,17,Black,4.0
136,18,Black,4.0
137,19,Black,4.0
138,20,Black,4.0
139,21,Black,4.0
140,22,Black,4.0
141,23,Black,5.0
142,24,Black,5.0
143,25,Black,4.0
144,26,Black,4.0
145,27,Black,4.0
146,28,Black,4.0
147,29,Black,4.0
178,1,White,823.0
179,2,White,825.0
180,3,White,829.0
181,4,White,826.0
182,5,White,827.0
183,6,White,825.0
184,7,White,831.0
185,8,White,824.0
186,9,White,823.0
187,10,White,820.0
188,11,White,825.0
189,12,White,830.0
190,13,White,830.0
191,14,White,823.0
192,15,White,833.0
193,16,White,828.0
194,17,White,825.0
195,18,White,828.0
196,19,White,821.0
