No.,Order,Color,Intensity
1,1,White,482.0
2,2,White,481.0
3,3,White,478.0
4,4,White,480.0
5,5,White,486.0
6,6,White,490.0
7,7,White,482.0
8,8,White,481.0
9,9,White,480.0
10,10,White,484.0
11,11,White,486.0
12,12,White,488.0
13,13,White,489.0
14,14,White,486.0
15,15,White,481.0
16,16,White,480.0
17,17,White,482.0
18,18,White,485.0
19,19,White,482.0
20,20,White,485.0
21,21,White,481.0
22,22,White,484.0
23,23,White,488.0
24,24,White,476.0
25,25,White,478.0
26,26,White,485.0
27,27,White,481.0
28,28,White,485.0
29,29,White,479.0
30,1,Red,266.0
31,2,Red,270.0
32,3,Red,267.0
33,4,Red,266.0
34,5,Red,268.0
35,6,Red,268.0
36,7,Red,265.0
37,8,Red,271.0
38,9,Red,269.0
39,10,Red,266.0
40,11,Red,266.0
41,12,Red,265.0
42,13,Red,268.0
43,14,Red,267.0
44,15,Red,269.0
45,16,Red,267.0
46,17,Red,268.0
47,18,Red,266.0
48,19,Red,269.0
49,20,Red,268.0
50,21,Red,267.0
51,22,Red,273.0
52,23,Red,266.0
53,24,Red,269.0
54,25,Red,272.0
55,26,Red,272.0
56,27,Red,268.0
57,28,Red,270.0
58,29,Red,269.0
59,1,Green,177.0
60,2,Green,180.0
61,3,Green,175.0
62,4,Green,181.0
63,5,Green,177.0
64,6,Green,175.0
65,7,Green,181.0
66,8,Green,176.0
67,9,Green,179.0
68,10,Green,174.0
69,11,Green,180.0
70,12,Green,181.0
71,13,Green,178.0
72,14,Green,182.0
73,15,Green,178.0
74,16,Green,177.0
75,17,Green,180.0
76,18,Green,179.0
77,19,Green,179.0
78,20,Green,177.0
79,21,Green,176.0
80,22,Green,182.0
81,23,Green,178.0
82,24,Green,176.0
83,25,Green,179.0
84,26,Green,181.0
85,27,Green,174.0
86,28,Green,179.0
87,29,Green,175.0
88,30,Green,179.0
89,1,Blue,55.0
90,2,Blue,55.0
91,3,Blue,53.0
92,4,Blue,58.0
93,5,Blue,56.0
94,6,Blue,53.0
95,7,Blue,58.0
96,8,Blue,55.0
97,9,Blue,53.0
98,10,Blue,53.0
99,11,Blue,56.0
100,12,Blue,54.0
101,13,Blue,58.0
102,14,Blue,55.0
103,15,Blue,53.0
104,16,Blue,58.0
105,17,Blue,52.0
106,18,Blue,56.0
107,19,Blue,54.0
108,20,Blue,54.0
109,21,Blue,54.0
110,22,Blue,58.0
111,23,Blue,54.0
112,24,Blue,57.0
113,25,Blue,58.0
114,26,Blue,57.0
115,27,Blue,58.0
116,28,Blue,53.0
117,29,Blue,52.0
118,1,Black,4.0
119,2,Black,4.0
120,3,Black,5.0
121,4,Black,4.0
122,5,Black,5.0
123,6,Black,4.0
124,7,Black,4.0
125,8,Black,5.0
126,9,Black,5.0
127,10,Black,5.0
128,11,Black,4.0
129,12,Black,4.0
130,13,Black,4.0
131,14,Black,5.0
132,15,Black,4.0
133,16,Black,4.0
134,17,Black,4.0
135,18,Black,4.0
136,19,Black,5.0
137,20,Black,5.0
138,21,Black,5.0
139,22,Black,4.0
140,23,Black,5.0
141,24,Black,4.0
142,25,Black,4.0
143,26,Black,5.0
144,27,Black,4.0
145,28,Black,5.0
146,29,Black,4.0
176,1,White,480.0
177,2,White,489.0
178,3,White,484.0
179,4,White,487.0
180,5,White,489.0
181,6,White,480.0
182,7,White,483.0
183,8,White,488.0
184,9,White,484.0
185,10,White,483.0
186,11,White,483.0
187,12,White,482.0
188,13,White,484.0
189,14,White,476.0
190,15,White,487.0
191,16,White,482.0
192,17,White,483.0
193,18,White,484.0
194,19,White,483.0
195,20,White,477.0
196,21,White,487.0
197,22,White,485.0
198,23,White,483.0
199,24,White,483.0
200,25,White,483.0
201,26,White,485.0
202,27,White,477.0
203,28,White,489.0
204,29,White,486.0
205,30,White,485.0
206,1,Red,268.0
207,2,Red,269.0
208,3,Red,269.0
209,4,Red,269.0
210,5,Red,267.0
211,6,Red,274.0
212,7,Red,269.0
213,8,Red,266.0
214,9,Red,267.0
215,10,Red,267.0
216,11,Red,267.0
217,12,Red,274.0
218,13,Red,270.0
219,14,Red,270.0
220,15,Red,269.0
221,16,Red,270.0
222,17,Red,266.0
223,18,Red,271.0
224,19,Red,270.0
225,20,Red,267.0
226,21,Red,267.0
227,22,Red,267.0
228,23,Red,266.0
229,24,Red,272.0
230,25,Red,268.0
231,26,Red,266.0
232,27,Red,267.0
233,28,Red,272.0
234,29,Red,270.0
235,1,Green,179.0
236,2,Green,183.0
237,3,Green,178.0
238,4,Green,182.0
239,5,Green,182.0
240,6,Green,180.0
241,7,Green,180.0
242,8,Green,181.0
243,9,Green,177.0
244,10,Green,181.0
245,11,Green,175.0
246,12,Green,182.0
247,13,Green,177.0
248,14,Green,183.0
249,15,Green,175.0
250,16,Green,182.0
251,17,Green,183.0
252,18,Green,179.0
253,19,Green,176.0
254,20,Green,175.0
255,21,Green,179.0
256,22,Green,178.0
257,23,Green,179.0
258,24,Green,179.0
259,25,Green,175.0
260,26,Green,181.0
261,27,Green,181.0
262,28,Green,176.0
263,29,Green,178.0
264,1,Blue,54.0
265,2,Blue,53.0
266,3,Blue,56.0
267,4,Blue,55.0
268,5,Blue,57.0
269,6,Blue,57.0
270,7,Blue,56.0
271,8,Blue,52.0
272,9,Blue,58.0
273,10,Blue,53.0
274,11,Blue,53.0
275,12,Blue,54.0
276,13,Blue,53.0
277,14,Blue,54.0
278,15,Blue,55.0
279,16,Blue,56.0
280,17,Blue,51.0
281,18,Blue,56.0
282,19,Blue,56.0
283,20,Blue,53.0
284,21,Blue,57.0
285,22,Blue,54.0
286,23,Blue,56.0
287,24,Blue,54.0
288,25,Blue,57.0
289,26,Blue,55.0
290,27,Blue,53.0
291,28,Blue,56.0
292,29,Blue,59.0
293,1,Black,4.0
294,2,Black,4.0
295,3,Black,5.0
296,4,Black,4.0
297,5,Black,4.0
298,6,Black,4.0
299,7,Black,4.0
300,8,Black,5.0
301,9,Black,4.0
302,10,Black,4.0
303,11,Black,3.0
304,12,Black,4.0
305,13,Black,4.0
306,14,Black,5.0
307,15,Black,4.0
308,16,Black,4.0
309,17,Black,4.0
310,18,Black,4.0
311,19,Black,4.0
312,20,Black,4.0
313,21,Black,4.0
314,22,Black,5.0
315,23,Black,3.0
316,24,Black,5.0
317,25,Black,4.0
318,26,Black,4.0
319,27,Black,4.0
320,28,Black,5.0
321,29,Black,4.0
322,30,Black,5.0
352,1,White,487.0
353,2,White,487.0
354,3,White,483.0
355,4,White,489.0
356,5,White,487.0
357,6,White,490.0
358,7,White,482.0
359,8,White,487.0
360,9,White,487.0
361,10,White,484.0
362,11,White,484.0
363,12,White,485.0
364,13,White,483.0
365,14,White,484.0
366,15,White,483.0
367,16,White,483.0
368,17,White,484.0
369,18,White,488.0
370,19,White,483.0
371,20,White,483.0
372,21,White,486.0
373,22,White,489.0
374,23,White,491.0
375,24,White,482.0
376,25,White,489.0
377,26,White,484.0
378,27,White,488.0
379,28,White,483.0
380,29,White,485.0
381,1,Red,270.0
382,2,Red,267.0
383,3,Red,273.0
384,4,Red,274.0
385,5,Red,273.0
386,6,Red,266.0
387,7,Red,272.0
388,8,Red,269.0
389,9,Red,266.0
390,10,Red,275.0
391,11,Red,268.0
392,12,Red,271.0
393,13,Red,270.0
394,14,Red,270.0
395,15,Red,270.0
396,16,Red,267.0
397,17,Red,273.0
398,18,Red,264.0
399,19,Red,271.0
400,20,Red,273.0
401,21,Red,267.0
402,22,Red,267.0
403,23,Red,268.0
404,24,Red,268.0
405,25,Red,272.0
406,26,Red,266.0
407,27,Red,268.0
408,28,Red,267.0
409,29,Red,271.0
410,1,Green,175.0
411,2,Green,174.0
