No.,Order,Color,Intensity
6,6,White,868
7,7,White,869
8,8,White,873
9,9,White,870
10,10,White,868
11,11,White,871
12,12,White,862
13,13,White,867
14,14,White,868
15,15,White,864
16,16,White,867
17,17,White,866
18,18,White,859
19,19,White,861
20,20,White,865
21,21,White,868
22,22,White,867
23,23,White,867
24,24,White,862
36,6,Red,315
37,7,Red,309
38,8,Red,308
39,9,Red,311
40,10,Red,315
41,11,Red,312
42,12,Red,312
43,13,Red,312
44,14,Red,310
45,15,Red,316
46,16,Red,314
47,17,Red,310
48,18,Red,315
49,19,Red,310
50,20,Red,315
51,21,Red,312
52,22,Red,313
53,23,Red,311
54,24,Red,313
65,6,Green,375
66,7,Green,375
67,8,Green,370
68,9,Green,376
69,10,Green,372
70,11,Green,369
71,12,Green,374
72,13,Green,374
73,14,Green,369
74,15,Green,372
75,16,Green,372
76,17,Green,375
77,18,Green,367
78,19,Green,370
79,20,Green,373
80,21,Green,369
81,22,Green,371
82,23,Green,371
83,24,Green,378
95,6,Blue,238
96,7,Blue,238
97,8,Blue,236
98,9,Blue,237
99,10,Blue,238
100,11,Blue,242
101,12,Blue,239
102,13,Blue,241
103,14,Blue,237
104,15,Blue,236
105,16,Blue,236
106,17,Blue,238
107,18,Blue,237
108,19,Blue,235
109,20,Blue,240
110,21,Blue,239
111,22,Blue,237
112,23,Blue,242
113,24,Blue,238
125,6,Black,6
126,7,Black,6
127,8,Black,5
128,9,Black,5
129,10,Black,7
130,11,Black,5
131,12,Black,6
132,13,Black,5
133,14,Black,5
134,15,Black,5
135,16,Black,6
136,17,Black,5
137,18,Black,6
138,19,Black,7
139,20,Black,6
140,21,Black,6
141,22,Black,5
142,23,Black,6
143,24,Black,6
185,6,White,865
186,7,White,868
187,8,White,869
188,9,White,865
189,10,White,871
190,11,White,868
191,12,White,864
192,13,White,862
193,14,White,866
194,15,White,868
195,16,White,866
196,17,White,870
197,18,White,870
198,19,White,868
199,20,White,869
200,21,White,858
201,22,White,870
202,23,White,870
203,24,White,864
214,6,Red,308
215,7,Red,313
216,8,Red,316
217,9,Red,311
218,10,Red,306
219,11,Red,308
220,12,Red,310
221,13,Red,311
222,14,Red,312
223,15,Red,313
224,16,Red,307
225,17,Red,307
226,18,Red,316
227,19,Red,312
228,20,Red,308
229,21,Red,312
230,22,Red,312
231,23,Red,309
232,24,Red,313
244,6,Green,365
245,7,Green,376
246,8,Green,373
247,9,Green,367
248,10,Green,370
249,11,Green,377
250,12,Green,370
251,13,Green,374
252,14,Green,369
253,15,Green,369
254,16,Green,370
255,17,Green,370
256,18,Green,368
257,19,Green,368
258,20,Green,373
259,21,Green,366
260,22,Green,374
261,23,Green,369
262,24,Green,367
274,6,Blue,241
275,7,Blue,240
276,8,Blue,238
277,9,Blue,240
278,10,Blue,240
279,11,Blue,237
280,12,Blue,236
281,13,Blue,237
282,14,Blue,234
283,15,Blue,240
284,16,Blue,237
285,17,Blue,240
286,18,Blue,235
287,19,Blue,241
288,20,Blue,234
289,21,Blue,239
290,22,Blue,242
291,23,Blue,236
292,24,Blue,236
304,6,Black,5
305,7,Black,5
306,8,Black,5
307,9,Black,6
308,10,Black,5
309,11,Black,6
310,12,Black,5
311,13,Black,6
312,14,Black,6
313,15,Black,5
314,16,Black,5
315,17,Black,5
316,18,Black,5
317,19,Black,5
318,20,Black,6
319,21,Black,5
320,22,Black,5
321,23,Black,6
322,24,Black,5
363,6,White,861
364,7,White,865
365,8,White,862
366,9,White,866
367,10,White,869
368,11,White,863
369,12,White,867
370,13,White,864
371,14,White,860
372,15,White,859
373,16,White,862
374,17,White,865
375,18,White,859
376,19,White,866
377,20,White,861
378,21,White,871
379,22,White,872
380,23,White,870
381,24,White,865
393,6,Red,315
394,7,Red,312
395,8,Red,306
396,9,Red,309
397,10,Red,311
398,11,Red,310
399,12,Red,315
400,13,Red,313
401,14,Red,311
402,15,Red,311
403,16,Red,312
404,17,Red,315
405,18,Red,305
406,19,Red,315
407,20,Red,310
408,21,Red,313
409,22,Red,313
410,23,Red,309
411,24,Red,310
423,6,Green,366
424,7,Green,376
425,8,Green,368
426,9,Green,372
427,10,Green,371
428,11,Green,372
429,12,Green,367
430,13,Green,373
431,14,Green,370
432,15,Green,370
433,16,Green,374
434,17,Green,376
435,18,Green,370
436,19,Green,368
437,20,Green,369
438,21,Green,369
439,22,Green,369
440,23,Green,364
441,24,Green,376
453,6,Blue,238
454,7,Blue,237
455,8,Blue,236
456,9,Blue,241
457,10,Blue,238
458,11,Blue,236
459,12,Blue,232
460,13,Blue,240
461,14,Blue,239
462,15,Blue,242
463,16,Blue,239
464,17,Blue,243
465,18,Blue,235
466,19,Blue,234
467,20,Blue,242
468,21,Blue,237
469,22,Blue,237
470,23,Blue,236
471,24,Blue,236
483,6,Black,6
484,7,Black,5
485,8,Black,6
486,9,Black,6
487,10,Black,5
488,11,Black,4
489,12,Black,5
490,13,Black,6
491,14,Black,5
492,15,Black,5
493,16,Black,5
494,17,Black,5
495,18,Black,6
496,19,Black,5
497,20,Black,5
498,21,Black,5
499,22,Black,6
500,23,Black,5
501,24,Black,5
542,6,White,868
543,7,White,859
544,8,White,867
545,9,White,865
546,10,White,866
547,11,White,869
548,12,White,868
549,13,White,862
550,14,White,866
551,15,White,871
552,16,White,867
