No.,Order,Color,Intensity
6,6,White,372
7,7,White,377
8,8,White,377
9,9,White,379
10,10,White,377
11,11,White,375
12,12,White,372
13,13,White,381
14,14,White,376
15,15,White,379
16,16,White,379
17,17,White,382
18,18,White,379
19,19,White,378
20,20,White,380
21,21,White,375
22,22,White,381
23,23,White,384
24,24,White,374
32,6,Red,236
33,7,Red,237
34,8,Red,236
35,9,Red,239
36,10,Red,237
37,11,Red,239
38,12,Red,242
39,13,Red,235
40,14,Red,233
41,15,Red,241
42,16,Red,243
43,17,Red,241
44,18,Red,241
45,19,Red,239
46,20,Red,239
47,21,Red,236
48,22,Red,239
49,23,Red,235
50,24,Red,243
61,6,Green,120
62,7,Green,121
63,8,Green,121
64,9,Green,121
65,10,Green,126
66,11,Green,123
67,12,Green,124
68,13,Green,122
69,14,Green,122
70,15,Green,126
71,16,Green,121
72,17,Green,122
73,18,Green,120
74,19,Green,119
75,20,Green,124
76,21,Green,126
77,22,Green,122
78,23,Green,128
79,24,Green,122
91,6,Blue,28
92,7,Blue,29
93,8,Blue,32
94,9,Blue,28
95,10,Blue,31
96,11,Blue,32
97,12,Blue,30
98,13,Blue,29
99,14,Blue,29
100,15,Blue,30
101,16,Blue,27
102,17,Blue,33
103,18,Blue,29
104,19,Blue,31
105,20,Blue,29
106,21,Blue,31
107,22,Blue,30
108,23,Blue,30
109,24,Blue,29
120,6,Black,5
121,7,Black,4
122,8,Black,4
123,9,Black,3
124,10,Black,5
125,11,Black,4
126,12,Black,4
127,13,Black,4
128,14,Black,4
129,15,Black,4
130,16,Black,4
131,17,Black,5
132,18,Black,5
133,19,Black,4
134,20,Black,4
135,21,Black,4
136,22,Black,4
137,23,Black,4
138,24,Black,4
178,6,White,376
179,7,White,381
180,8,White,377
181,9,White,378
182,10,White,374
183,11,White,381
184,12,White,376
185,13,White,372
186,14,White,377
187,15,White,372
188,16,White,379
189,17,White,381
190,18,White,384
191,19,White,378
192,20,White,377
193,21,White,379
194,22,White,377
195,23,White,381
196,24,White,378
208,6,Red,233
209,7,Red,243
210,8,Red,236
211,9,Red,239
212,10,Red,239
213,11,Red,241
214,12,Red,244
215,13,Red,238
216,14,Red,243
217,15,Red,240
218,16,Red,240
219,17,Red,235
220,18,Red,237
221,19,Red,238
222,20,Red,238
223,21,Red,238
224,22,Red,240
225,23,Red,232
226,24,Red,239
237,6,Green,125
238,7,Green,125
239,8,Green,120
240,9,Green,122
241,10,Green,123
242,11,Green,124
243,12,Green,119
244,13,Green,124
245,14,Green,120
246,15,Green,123
247,16,Green,124
248,17,Green,121
249,18,Green,124
250,19,Green,122
251,20,Green,120
252,21,Green,119
253,22,Green,118
254,23,Green,126
255,24,Green,125
266,6,Blue,32
267,7,Blue,29
268,8,Blue,29
269,9,Blue,32
270,10,Blue,30
271,11,Blue,29
272,12,Blue,30
273,13,Blue,31
274,14,Blue,28
275,15,Blue,32
276,16,Blue,29
277,17,Blue,30
278,18,Blue,31
279,19,Blue,30
280,20,Blue,28
281,21,Blue,31
282,22,Blue,29
283,23,Blue,28
284,24,Blue,28
295,6,Black,4
296,7,Black,5
297,8,Black,5
298,9,Black,4
299,10,Black,4
300,11,Black,5
301,12,Black,5
302,13,Black,4
303,14,Black,3
304,15,Black,4
305,16,Black,5
306,17,Black,4
307,18,Black,5
308,19,Black,5
309,20,Black,3
310,21,Black,4
311,22,Black,4
312,23,Black,4
313,24,Black,4
354,6,White,378
355,7,White,376
356,8,White,372
357,9,White,375
358,10,White,374
359,11,White,377
360,12,White,372
361,13,White,380
362,14,White,372
363,15,White,376
364,16,White,377
365,17,White,381
366,18,White,374
367,19,White,375
368,20,White,376
369,21,White,377
370,22,White,371
371,23,White,374
372,24,White,370
383,6,Red,244
384,7,Red,238
385,8,Red,236
386,9,Red,240
387,10,Red,239
388,11,Red,240
389,12,Red,240
390,13,Red,240
391,14,Red,243
392,15,Red,241
393,16,Red,237
394,17,Red,242
395,18,Red,237
396,19,Red,239
397,20,Red,240
398,21,Red,237
399,22,Red,241
400,23,Red,236
401,24,Red,239
412,6,Green,122
413,7,Green,115
414,8,Green,116
415,9,Green,120
416,10,Green,118
417,11,Green,116
418,12,Green,121
419,13,Green,119
420,14,Green,117
421,15,Green,115
422,16,Green,118
423,17,Green,119
424,18,Green,116
425,19,Green,117
426,20,Green,117
427,21,Green,120
428,22,Green,116
429,23,Green,119
430,24,Green,121
442,6,Blue,32
443,7,Blue,30
444,8,Blue,30
445,9,Blue,30
446,10,Blue,29
447,11,Blue,32
448,12,Blue,30
449,13,Blue,31
450,14,Blue,31
451,15,Blue,29
452,16,Blue,31
453,17,Blue,27
454,18,Blue,31
455,19,Blue,31
456,20,Blue,31
457,21,Blue,32
458,22,Blue,27
459,23,Blue,29
460,24,Blue,30
471,6,Black,4
472,7,Black,5
473,8,Black,4
474,9,Black,4
475,10,Black,4
476,11,Black,4
477,12,Black,5
478,13,Black,4
479,14,Black,4
480,15,Black,4
481,16,Black,5
482,17,Black,4
483,18,Black,4
484,19,Black,4
485,20,Black,5
486,21,Black,4
487,22,Black,4
488,23,Black,4
489,24,Black,4
529,6,White,374
530,7,White,368
531,8,White,374
532,9,White,379
533,10,White,374
534,11,White,375
535,12,White,376
536,13,White,374
537,14,White,376
538,15,White,381
539,16,White,372
540,17,White,372
541,18,White,373
542,19,White,381
543,20,White,374
544,21,White,372
545,22,White,379
546,23,White,379
547,24,White,375
559,6,Red,237
560,7,Red,236
561,8,Red,244
562,9,Red,237
563,10,Red,241
564,11,Red,238
565,12,Red,240
566,13,Red,242
567,14,Red,238
568,15,Red,240
569,16,Red,237
570,17,Red,240
571,18,Red,240
572,19,Red,242
573,20,Red,239
574,21,Red,237
575,22,Red,241
576,23,Red,236
577,24,Red,232
588,6,Green,118
589,7,Green,118
590,8,Green,123
591,9,Green,118
592,10,Green,120
593,11,Green,122
594,12,Green,120
595,13,Green,119
596,14,Green,118
597,15,Green,118
598,16,Green,115
599,17,Green,120
600,18,Green,121
601,19,Green,118
602,20,Green,118
603,21,Green,122
604,22,Green,121
605,23,Green,122
606,24,Green,120
617,6,Blue,29
618,7,Blue,31
619,8,Blue,30
620,9,Blue,29
621,10,Blue,28
622,11,Blue,29
623,12,Blue,29
624,13,Blue,29
625,14,Blue,28
626,15,Blue,29
627,16,Blue,28
628,17,Blue,29
629,18,Blue,29
630,19,Blue,28
631,20,Blue,31
632,21,Blue,32
633,22,Blue,31
634,23,Blue,31
635,24,Blue,30
647,6,Black,4
648,7,Black,4
649,8,Black,4
650,9,Black,4
651,10,Black,5
652,11,Black,4
653,12,Black,4
654,13,Black,5
655,14,Black,4
656,15,Black,3
657,16,Black,4
658,17,Black,3
659,18,Black,5
660,19,Black,4
661,20,Black,5
662,21,Black,5
663,22,Black,4
664,23,Black,4
665,24,Black,4
