No.,Order,Color,Intensity
6,6,White,376
7,7,White,381
8,8,White,379
9,9,White,378
10,10,White,376
11,11,White,380
12,12,White,372
13,13,White,375
14,14,White,377
15,15,White,373
16,16,White,374
17,17,White,380
18,18,White,374
19,19,White,370
20,20,White,374
21,21,White,369
22,22,White,371
23,23,White,375
24,24,White,370
35,6,Red,230
36,7,Red,234
37,8,Red,230
38,9,Red,231
39,10,Red,229
40,11,Red,233
41,12,Red,230
42,13,Red,234
43,14,Red,227
44,15,Red,230
45,16,Red,227
46,17,Red,222
47,18,Red,230
48,19,Red,228
49,20,Red,231
50,21,Red,229
51,22,Red,231
52,23,Red,224
53,24,Red,231
64,6,Green,121
65,7,Green,124
66,8,Green,124
67,9,Green,119
68,10,Green,117
69,11,Green,120
70,12,Green,117
71,13,Green,117
72,14,Green,120
73,15,Green,117
74,16,Green,118
75,17,Green,118
76,18,Green,121
77,19,Green,123
78,20,Green,120
79,21,Green,118
80,22,Green,117
81,23,Green,116
82,24,Green,118
93,6,Blue,36
94,7,Blue,36
95,8,Blue,34
96,9,Blue,37
97,10,Blue,33
98,11,Blue,33
99,12,Blue,34
100,13,Blue,33
101,14,Blue,36
102,15,Blue,37
103,16,Blue,33
104,17,Blue,33
105,18,Blue,33
106,19,Blue,34
107,20,Blue,33
108,21,Blue,35
109,22,Blue,33
110,23,Blue,34
111,24,Blue,37
122,6,Black,3
123,7,Black,4
124,8,Black,4
125,9,Black,3
126,10,Black,4
127,11,Black,4
128,12,Black,4
129,13,Black,4
130,14,Black,3
131,15,Black,5
132,16,Black,5
133,17,Black,5
134,18,Black,4
135,19,Black,4
136,20,Black,4
137,21,Black,4
138,22,Black,4
139,23,Black,4
140,24,Black,4
180,6,White,377
181,7,White,372
182,8,White,380
183,9,White,377
184,10,White,382
185,11,White,376
186,12,White,377
187,13,White,380
188,14,White,377
189,15,White,379
190,16,White,378
191,17,White,383
192,18,White,378
193,19,White,379
194,20,White,384
195,21,White,380
196,22,White,381
197,23,White,377
198,24,White,378
209,6,Red,231
210,7,Red,237
211,8,Red,228
212,9,Red,230
213,10,Red,231
214,11,Red,234
215,12,Red,233
216,13,Red,231
217,14,Red,231
218,15,Red,233
219,16,Red,232
220,17,Red,233
221,18,Red,234
222,19,Red,228
223,20,Red,232
224,21,Red,231
225,22,Red,232
226,23,Red,236
227,24,Red,228
238,6,Green,122
239,7,Green,124
240,8,Green,129
241,9,Green,122
242,10,Green,123
243,11,Green,129
244,12,Green,124
245,13,Green,128
246,14,Green,123
247,15,Green,123
248,16,Green,119
249,17,Green,120
250,18,Green,122
251,19,Green,121
252,20,Green,122
253,21,Green,125
254,22,Green,129
255,23,Green,121
256,24,Green,123
267,6,Blue,33
268,7,Blue,34
269,8,Blue,36
270,9,Blue,36
271,10,Blue,35
272,11,Blue,34
273,12,Blue,37
274,13,Blue,36
275,14,Blue,36
276,15,Blue,34
277,16,Blue,35
278,17,Blue,33
279,18,Blue,33
280,19,Blue,34
281,20,Blue,36
282,21,Blue,34
283,22,Blue,35
284,23,Blue,38
285,24,Blue,33
296,6,Black,3
297,7,Black,4
298,8,Black,4
299,9,Black,4
300,10,Black,5
301,11,Black,5
302,12,Black,4
303,13,Black,4
304,14,Black,4
305,15,Black,4
306,16,Black,4
307,17,Black,4
308,18,Black,4
309,19,Black,4
310,20,Black,4
311,21,Black,5
312,22,Black,4
313,23,Black,4
314,24,Black,5
354,6,White,381
355,7,White,378
356,8,White,380
357,9,White,380
358,10,White,384
359,11,White,383
360,12,White,380
361,13,White,384
362,14,White,382
363,15,White,386
364,16,White,378
365,17,White,376
366,18,White,376
367,19,White,385
368,20,White,386
369,21,White,380
370,22,White,386
371,23,White,381
372,24,White,386
383,6,Red,231
384,7,Red,232
385,8,Red,236
386,9,Red,231
387,10,Red,231
388,11,Red,234
389,12,Red,232
390,13,Red,233
391,14,Red,234
392,15,Red,232
393,16,Red,230
394,17,Red,227
395,18,Red,227
396,19,Red,229
397,20,Red,232
398,21,Red,229
399,22,Red,230
400,23,Red,230
401,24,Red,234
412,6,Green,123
413,7,Green,127
414,8,Green,124
415,9,Green,125
416,10,Green,122
417,11,Green,125
418,12,Green,129
419,13,Green,131
420,14,Green,126
421,15,Green,128
422,16,Green,123
423,17,Green,126
424,18,Green,125
425,19,Green,127
426,20,Green,123
427,21,Green,127
428,22,Green,126
429,23,Green,130
430,24,Green,123
441,6,Blue,36
442,7,Blue,35
443,8,Blue,36
444,9,Blue,38
445,10,Blue,39
446,11,Blue,37
447,12,Blue,39
448,13,Blue,37
449,14,Blue,35
450,15,Blue,34
451,16,Blue,38
452,17,Blue,34
453,18,Blue,35
454,19,Blue,36
455,20,Blue,38
456,21,Blue,35
457,22,Blue,34
458,23,Blue,37
459,24,Blue,38
470,6,Black,4
471,7,Black,5
472,8,Black,3
473,9,Black,4
474,10,Black,4
475,11,Black,3
476,12,Black,5
477,13,Black,4
478,14,Black,5
479,15,Black,5
480,16,Black,5
481,17,Black,5
482,18,Black,5
483,19,Black,4
484,20,Black,4
485,21,Black,4
486,22,Black,4
487,23,Black,5
488,24,Black,3
528,6,White,385
529,7,White,384
530,8,White,381
531,9,White,386
532,10,White,382
533,11,White,386
534,12,White,380
535,13,White,380
536,14,White,380
537,15,White,381
538,16,White,381
539,17,White,382
540,18,White,385
541,19,White,379
542,20,White,388
543,21,White,382
544,22,White,379
545,23,White,385
546,24,White,381
557,6,Red,234
558,7,Red,231
559,8,Red,231
560,9,Red,230
561,10,Red,230
562,11,Red,233
563,12,Red,231
564,13,Red,233
565,14,Red,231
566,15,Red,229
567,16,Red,231
568,17,Red,232
569,18,Red,233
570,19,Red,232
571,20,Red,233
572,21,Red,232
573,22,Red,234
574,23,Red,234
575,24,Red,233
585,6,Green,126
586,7,Green,126
587,8,Green,127
588,9,Green,131
589,10,Green,123
590,11,Green,132
591,12,Green,124
592,13,Green,126
593,14,Green,131
594,15,Green,128
595,16,Green,128
596,17,Green,125
597,18,Green,130
598,19,Green,127
599,20,Green,131
600,21,Green,126
601,22,Green,130
602,23,Green,130
603,24,Green,128
614,6,Blue,39
615,7,Blue,35
616,8,Blue,35
617,9,Blue,36
618,10,Blue,36
619,11,Blue,36
620,12,Blue,35
621,13,Blue,36
622,14,Blue,34
623,15,Blue,36
624,16,Blue,37
625,17,Blue,37
626,18,Blue,38
627,19,Blue,34
628,20,Blue,39
629,21,Blue,34
630,22,Blue,36
631,23,Blue,37
632,24,Blue,38
643,6,Black,4
644,7,Black,4
645,8,Black,4
646,9,Black,4
647,10,Black,5
648,11,Black,3
649,12,Black,4
650,13,Black,3
651,14,Black,4
652,15,Black,4
653,16,Black,4
654,17,Black,5
655,18,Black,4
656,19,Black,4
657,20,Black,5
658,21,Black,4
659,22,Black,4
660,23,Black,5
661,24,Black,4
