No.,Order,Color,Intensity
6,6,White,933
7,7,White,935
8,8,White,931
9,9,White,936
10,10,White,932
11,11,White,932
12,12,White,927
13,13,White,926
14,14,White,931
15,15,White,935
16,16,White,926
17,17,White,929
18,18,White,929
19,19,White,934
20,20,White,930
21,21,White,932
22,22,White,930
23,23,White,931
24,24,White,930
36,6,Red,335
37,7,Red,337
38,8,Red,337
39,9,Red,342
40,10,Red,333
41,11,Red,335
42,12,Red,330
43,13,Red,333
44,14,Red,336
45,15,Red,338
46,16,Red,341
47,17,Red,340
48,18,Red,340
49,19,Red,335
50,20,Red,336
51,21,Red,337
52,22,Red,339
53,23,Red,337
54,24,Red,338
65,6,Green,412
66,7,Green,410
67,8,Green,417
68,9,Green,408
69,10,Green,414
70,11,Green,412
71,12,Green,415
72,13,Green,414
73,14,Green,413
74,15,Green,410
75,16,Green,411
76,17,Green,409
77,18,Green,412
78,19,Green,412
79,20,Green,416
80,21,Green,411
81,22,Green,413
82,23,Green,413
83,24,Green,411
95,6,Blue,250
96,7,Blue,254
97,8,Blue,248
98,9,Blue,256
99,10,Blue,252
100,11,Blue,257
101,12,Blue,251
102,13,Blue,251
103,14,Blue,251
104,15,Blue,253
105,16,Blue,257
106,17,Blue,257
107,18,Blue,256
108,19,Blue,253
109,20,Blue,251
110,21,Blue,254
111,22,Blue,256
112,23,Blue,258
113,24,Blue,250
125,6,Black,6
126,7,Black,5
127,8,Black,6
128,9,Black,5
129,10,Black,6
130,11,Black,5
131,12,Black,5
132,13,Black,6
133,14,Black,5
134,15,Black,4
135,16,Black,5
136,17,Black,5
137,18,Black,5
138,19,Black,5
139,20,Black,6
140,21,Black,5
141,22,Black,6
142,23,Black,6
143,24,Black,5
185,6,White,937
186,7,White,933
187,8,White,930
188,9,White,931
189,10,White,930
190,11,White,936
191,12,White,929
192,13,White,931
193,14,White,929
194,15,White,932
195,16,White,933
196,17,White,931
197,18,White,933
198,19,White,935
199,20,White,935
200,21,White,930
201,22,White,931
202,23,White,931
203,24,White,931
214,6,Red,336
215,7,Red,336
216,8,Red,336
217,9,Red,334
218,10,Red,335
219,11,Red,342
220,12,Red,338
221,13,Red,338
222,14,Red,336
223,15,Red,341
224,16,Red,336
225,17,Red,340
226,18,Red,342
227,19,Red,340
228,20,Red,340
229,21,Red,338
230,22,Red,338
231,23,Red,343
232,24,Red,334
244,6,Green,411
245,7,Green,413
246,8,Green,408
247,9,Green,410
248,10,Green,416
249,11,Green,409
250,12,Green,414
251,13,Green,413
252,14,Green,411
253,15,Green,414
254,16,Green,409
255,17,Green,410
256,18,Green,417
257,19,Green,407
258,20,Green,411
259,21,Green,409
260,22,Green,409
261,23,Green,408
262,24,Green,415
274,6,Blue,251
275,7,Blue,253
276,8,Blue,258
277,9,Blue,252
278,10,Blue,253
279,11,Blue,250
280,12,Blue,250
281,13,Blue,249
282,14,Blue,254
283,15,Blue,253
284,16,Blue,253
285,17,Blue,258
286,18,Blue,254
287,19,Blue,257
288,20,Blue,251
289,21,Blue,249
290,22,Blue,252
291,23,Blue,254
292,24,Blue,248
304,6,Black,5
305,7,Black,6
306,8,Black,6
307,9,Black,5
308,10,Black,5
309,11,Black,5
310,12,Black,5
311,13,Black,6
312,14,Black,5
313,15,Black,6
314,16,Black,5
315,17,Black,5
316,18,Black,5
317,19,Black,5
318,20,Black,6
319,21,Black,5
320,22,Black,5
321,23,Black,6
322,24,Black,6
363,6,White,933
364,7,White,932
365,8,White,933
366,9,White,929
367,10,White,929
368,11,White,931
369,12,White,928
370,13,White,934
371,14,White,931
372,15,White,933
373,16,White,932
374,17,White,929
375,18,White,934
376,19,White,928
377,20,White,935
378,21,White,929
379,22,White,923
380,23,White,930
381,24,White,928
393,6,Red,335
394,7,Red,335
395,8,Red,335
396,9,Red,333
397,10,Red,339
398,11,Red,340
399,12,Red,341
400,13,Red,334
401,14,Red,338
402,15,Red,337
403,16,Red,336
404,17,Red,333
405,18,Red,337
406,19,Red,337
407,20,Red,335
408,21,Red,335
409,22,Red,336
410,23,Red,331
411,24,Red,335
423,6,Green,405
424,7,Green,409
425,8,Green,417
426,9,Green,410
427,10,Green,407
428,11,Green,414
429,12,Green,415
430,13,Green,415
431,14,Green,411
432,15,Green,411
433,16,Green,409
434,17,Green,410
435,18,Green,411
436,19,Green,406
437,20,Green,409
438,21,Green,411
439,22,Green,412
440,23,Green,408
441,24,Green,404
453,6,Blue,251
454,7,Blue,250
455,8,Blue,249
456,9,Blue,255
457,10,Blue,249
458,11,Blue,253
459,12,Blue,248
460,13,Blue,253
461,14,Blue,257
462,15,Blue,251
463,16,Blue,252
464,17,Blue,252
465,18,Blue,252
466,19,Blue,253
467,20,Blue,251
468,21,Blue,255
469,22,Blue,250
470,23,Blue,252
471,24,Blue,254
483,6,Black,5
484,7,Black,5
485,8,Black,5
486,9,Black,6
487,10,Black,5
488,11,Black,5
489,12,Black,5
490,13,Black,6
