No.,Order,Color,Intensity
6,6,White,731
7,7,White,733
8,8,White,726
9,9,White,720
10,10,White,724
11,11,White,723
12,12,White,726
13,13,White,733
14,14,White,720
15,15,White,731
16,16,White,733
17,17,White,733
18,18,White,734
19,19,White,723
20,20,White,730
21,21,White,731
22,22,White,737
23,23,White,730
24,24,White,728
35,6,Red,305
36,7,Red,301
37,8,Red,301
38,9,Red,306
39,10,Red,301
40,11,Red,301
41,12,Red,299
42,13,Red,298
43,14,Red,299
44,15,Red,303
45,16,Red,298
46,17,Red,300
47,18,Red,297
48,19,Red,298
49,20,Red,301
50,21,Red,300
51,22,Red,300
52,23,Red,299
53,24,Red,297
64,6,Green,320
65,7,Green,314
66,8,Green,319
67,9,Green,314
68,10,Green,312
69,11,Green,315
70,12,Green,318
71,13,Green,312
72,14,Green,320
73,15,Green,316
74,16,Green,314
75,17,Green,321
76,18,Green,318
77,19,Green,314
78,20,Green,312
79,21,Green,316
80,22,Green,310
81,23,Green,317
82,24,Green,322
93,6,Blue,148
94,7,Blue,148
95,8,Blue,147
96,9,Blue,152
97,10,Blue,145
98,11,Blue,150
99,12,Blue,145
100,13,Blue,154
101,14,Blue,151
102,15,Blue,149
103,16,Blue,149
104,17,Blue,147
105,18,Blue,150
106,19,Blue,153
107,20,Blue,153
108,21,Blue,147
109,22,Blue,151
110,23,Blue,149
111,24,Blue,147
122,6,Black,4
123,7,Black,5
124,8,Black,5
125,9,Black,4
126,10,Black,5
127,11,Black,4
128,12,Black,4
129,13,Black,5
130,14,Black,5
131,15,Black,4
132,16,Black,5
133,17,Black,4
134,18,Black,4
135,19,Black,5
136,20,Black,5
137,21,Black,5
138,22,Black,4
139,23,Black,4
140,24,Black,5
180,6,White,727
181,7,White,723
182,8,White,726
183,9,White,719
184,10,White,732
185,11,White,724
186,12,White,725
187,13,White,727
188,14,White,730
189,15,White,734
190,16,White,730
191,17,White,722
192,18,White,723
193,19,White,723
194,20,White,724
195,21,White,722
196,22,White,725
197,23,White,732
198,24,White,725
209,6,Red,297
210,7,Red,302
211,8,Red,299
212,9,Red,300
213,10,Red,299
214,11,Red,299
215,12,Red,305
216,13,Red,304
217,14,Red,300
218,15,Red,293
219,16,Red,295
220,17,Red,300
221,18,Red,304
222,19,Red,302
223,20,Red,301
224,21,Red,291
225,22,Red,303
226,23,Red,300
227,24,Red,297
238,6,Green,311
239,7,Green,315
240,8,Green,314
241,9,Green,310
242,10,Green,316
243,11,Green,313
244,12,Green,311
245,13,Green,314
246,14,Green,315
247,15,Green,311
248,16,Green,318
249,17,Green,312
250,18,Green,312
251,19,Green,315
252,20,Green,317
253,21,Green,314
254,22,Green,318
255,23,Green,316
256,24,Green,306
267,6,Blue,151
268,7,Blue,154
269,8,Blue,150
270,9,Blue,151
271,10,Blue,145
272,11,Blue,152
273,12,Blue,152
274,13,Blue,152
275,14,Blue,152
276,15,Blue,148
277,16,Blue,146
278,17,Blue,152
279,18,Blue,148
280,19,Blue,149
281,20,Blue,145
282,21,Blue,146
283,22,Blue,148
284,23,Blue,144
285,24,Blue,152
296,6,Black,4
297,7,Black,4
298,8,Black,5
299,9,Black,5
300,10,Black,4
301,11,Black,5
302,12,Black,5
303,13,Black,5
304,14,Black,4
305,15,Black,5
306,16,Black,5
307,17,Black,5
308,18,Black,5
309,19,Black,5
310,20,Black,4
311,21,Black,5
312,22,Black,5
313,23,Black,5
314,24,Black,5
354,6,White,727
355,7,White,725
356,8,White,727
357,9,White,726
358,10,White,725
359,11,White,725
360,12,White,723
361,13,White,732
362,14,White,724
363,15,White,728
364,16,White,724
365,17,White,728
366,18,White,724
367,19,White,729
368,20,White,721
369,21,White,721
370,22,White,724
371,23,White,718
372,24,White,721
383,6,Red,298
384,7,Red,302
385,8,Red,298
386,9,Red,301
387,10,Red,301
388,11,Red,300
389,12,Red,298
390,13,Red,301
391,14,Red,304
392,15,Red,300
393,16,Red,297
394,17,Red,300
395,18,Red,299
396,19,Red,294
397,20,Red,304
398,21,Red,302
399,22,Red,304
400,23,Red,299
401,24,Red,300
412,6,Green,317
413,7,Green,317
414,8,Green,310
415,9,Green,317
416,10,Green,311
417,11,Green,310
418,12,Green,316
419,13,Green,311
420,14,Green,310
421,15,Green,315
422,16,Green,315
423,17,Green,318
424,18,Green,317
425,19,Green,312
426,20,Green,314
427,21,Green,316
428,22,Green,311
429,23,Green,315
430,24,Green,311
