No.,Order,Color,Intensity
6,6,White,791
7,7,White,789
8,8,White,786
9,9,White,785
10,10,White,785
11,11,White,777
12,12,White,782
13,13,White,782
14,14,White,790
15,15,White,786
16,16,White,790
17,17,White,786
18,18,White,777
19,19,White,783
20,20,White,781
21,21,White,776
22,22,White,788
23,23,White,784
24,24,White,786
35,6,Red,306
36,7,Red,305
37,8,Red,306
38,9,Red,308
39,10,Red,312
40,11,Red,312
41,12,Red,309
42,13,Red,308
43,14,Red,307
44,15,Red,310
45,16,Red,308
46,17,Red,309
47,18,Red,305
48,19,Red,311
49,20,Red,312
50,21,Red,311
51,22,Red,308
52,23,Red,306
53,24,Red,311
64,6,Green,349
65,7,Green,349
66,8,Green,345
67,9,Green,346
68,10,Green,348
69,11,Green,344
70,12,Green,345
71,13,Green,345
72,14,Green,348
73,15,Green,349
74,16,Green,350
75,17,Green,344
76,18,Green,344
77,19,Green,344
78,20,Green,348
79,21,Green,349
80,22,Green,340
81,23,Green,349
82,24,Green,347
93,6,Blue,165
94,7,Blue,164
95,8,Blue,168
96,9,Blue,167
97,10,Blue,168
98,11,Blue,167
99,12,Blue,163
100,13,Blue,165
101,14,Blue,165
102,15,Blue,163
103,16,Blue,166
104,17,Blue,164
105,18,Blue,164
106,19,Blue,165
107,20,Blue,165
108,21,Blue,169
109,22,Blue,163
110,23,Blue,163
111,24,Blue,165
122,6,Black,5
123,7,Black,4
124,8,Black,6
125,9,Black,4
126,10,Black,5
127,11,Black,5
128,12,Black,5
129,13,Black,5
130,14,Black,6
131,15,Black,4
132,16,Black,5
133,17,Black,4
134,18,Black,4
135,19,Black,5
136,20,Black,4
137,21,Black,5
138,22,Black,5
139,23,Black,5
140,24,Black,4
181,6,White,776
182,7,White,773
183,8,White,769
184,9,White,763
185,10,White,762
186,11,White,764
187,12,White,753
188,13,White,762
189,14,White,765
190,15,White,765
191,16,White,759
192,17,White,765
193,18,White,763
194,19,White,766
195,20,White,761
196,21,White,762
197,22,White,766
198,23,White,765
199,24,White,759
210,6,Red,303
211,7,Red,304
212,8,Red,308
213,9,Red,304
214,10,Red,302
215,11,Red,302
216,12,Red,299
217,13,Red,302
218,14,Red,302
219,15,Red,303
220,16,Red,307
221,17,Red,307
222,18,Red,304
223,19,Red,307
224,20,Red,305
225,21,Red,307
226,22,Red,306
227,23,Red,302
228,24,Red,296
239,6,Green,337
240,7,Green,337
241,8,Green,336
242,9,Green,335
243,10,Green,332
244,11,Green,332
245,12,Green,338
246,13,Green,335
247,14,Green,332
248,15,Green,337
249,16,Green,334
250,17,Green,334
251,18,Green,335
252,19,Green,337
253,20,Green,334
254,21,Green,338
255,22,Green,339
256,23,Green,340
257,24,Green,329
268,6,Blue,158
269,7,Blue,163
270,8,Blue,164
271,9,Blue,161
272,10,Blue,161
273,11,Blue,165
274,12,Blue,164
275,13,Blue,160
276,14,Blue,159
277,15,Blue,163
278,16,Blue,160
279,17,Blue,158
280,18,Blue,160
281,19,Blue,162
282,20,Blue,157
283,21,Blue,157
284,22,Blue,157
285,23,Blue,158
286,24,Blue,156
297,6,Black,5
298,7,Black,5
299,8,Black,5
300,9,Black,6
301,10,Black,5
302,11,Black,5
303,12,Black,4
304,13,Black,4
305,14,Black,4
306,15,Black,5
307,16,Black,4
308,17,Black,5
309,18,Black,5
310,19,Black,5
311,20,Black,5
312,21,Black,4
313,22,Black,5
314,23,Black,5
315,24,Black,6
355,6,White,758
356,7,White,755
357,8,White,758
358,9,White,753
359,10,White,748
360,11,White,761
361,12,White,756
362,13,White,755
363,14,White,756
364,15,White,759
365,16,White,754
366,17,White,752
367,18,White,757
368,19,White,752
369,20,White,748
370,21,White,758
371,22,White,755
372,23,White,757
373,24,White,756
384,6,Red,305
385,7,Red,302
386,8,Red,300
387,9,Red,305
388,10,Red,305
389,11,Red,299
390,12,Red,307
391,13,Red,307
392,14,Red,303
393,15,Red,300
394,16,Red,301
395,17,Red,298
396,18,Red,301
397,19,Red,304
398,20,Red,301
399,21,Red,301
400,22,Red,301
401,23,Red,302
402,24,Red,305
413,6,Green,330
414,7,Green,335
415,8,Green,333
416,9,Green,329
417,10,Green,332
418,11,Green,331
419,12,Green,332
420,13,Green,331
421,14,Green,335
422,15,Green,331
423,16,Green,329
424,17,Green,331
425,18,Green,330
426,19,Green,331
427,20,Green,327
428,21,Green,336
429,22,Green,331
430,23,Green,332
431,24,Green,332
443,6,Blue,155
444,7,Blue,158
445,8,Blue,155
446,9,Blue,162
447,10,Blue,159
448,11,Blue,157
449,12,Blue,160
450,13,Blue,162
451,14,Blue,156
452,15,Blue,156
453,16,Blue,163
454,17,Blue,156
455,18,Blue,156
