No.,Order,Color,Intensity
6,6,White,948
7,7,White,947
8,8,White,943
9,9,White,944
10,10,White,945
11,11,White,945
12,12,White,941
13,13,White,942
14,14,White,943
15,15,White,939
16,16,White,944
17,17,White,942
18,18,White,942
19,19,White,942
20,20,White,940
21,21,White,942
22,22,White,947
23,23,White,948
24,24,White,941
35,6,Red,335
36,7,Red,330
37,8,Red,336
38,9,Red,335
39,10,Red,332
40,11,Red,333
41,12,Red,329
42,13,Red,336
43,14,Red,330
44,15,Red,333
45,16,Red,336
46,17,Red,332
47,18,Red,332
48,19,Red,340
49,20,Red,334
50,21,Red,334
51,22,Red,328
52,23,Red,333
53,24,Red,335
64,6,Green,428
65,7,Green,425
66,8,Green,424
67,9,Green,424
68,10,Green,432
69,11,Green,417
70,12,Green,431
71,13,Green,428
72,14,Green,423
73,15,Green,422
74,16,Green,426
75,17,Green,425
76,18,Green,422
77,19,Green,416
78,20,Green,426
79,21,Green,430
80,22,Green,427
81,23,Green,426
82,24,Green,430
93,6,Blue,267
94,7,Blue,268
95,8,Blue,271
96,9,Blue,268
97,10,Blue,270
98,11,Blue,270
99,12,Blue,269
100,13,Blue,269
101,14,Blue,271
102,15,Blue,270
103,16,Blue,268
104,17,Blue,273
105,18,Blue,272
106,19,Blue,268
107,20,Blue,271
108,21,Blue,271
109,22,Blue,270
110,23,Blue,267
111,24,Blue,274
122,6,Black,4
123,7,Black,6
124,8,Black,6
125,9,Black,5
126,10,Black,5
127,11,Black,4
128,12,Black,5
129,13,Black,6
130,14,Black,6
131,15,Black,5
132,16,Black,5
133,17,Black,5
134,18,Black,4
135,19,Black,5
136,20,Black,5
137,21,Black,6
138,22,Black,6
139,23,Black,6
140,24,Black,4
180,6,White,942
181,7,White,943
182,8,White,943
183,9,White,937
184,10,White,946
185,11,White,941
186,12,White,945
187,13,White,943
188,14,White,947
189,15,White,944
190,16,White,949
191,17,White,942
192,18,White,942
193,19,White,941
194,20,White,937
195,21,White,938
196,22,White,940
197,23,White,946
198,24,White,948
210,6,Red,333
211,7,Red,331
212,8,Red,335
213,9,Red,337
214,10,Red,333
215,11,Red,332
216,12,Red,338
217,13,Red,331
218,14,Red,334
219,15,Red,327
220,16,Red,338
221,17,Red,338
222,18,Red,336
223,19,Red,334
224,20,Red,329
225,21,Red,332
226,22,Red,330
227,23,Red,332
228,24,Red,335
239,6,Green,429
240,7,Green,424
241,8,Green,431
242,9,Green,428
243,10,Green,425
244,11,Green,428
245,12,Green,417
246,13,Green,421
247,14,Green,429
248,15,Green,429
249,16,Green,432
250,17,Green,430
251,18,Green,432
252,19,Green,427
253,20,Green,429
254,21,Green,427
255,22,Green,428
256,23,Green,429
257,24,Green,429
268,6,Blue,267
269,7,Blue,271
270,8,Blue,271
271,9,Blue,267
272,10,Blue,273
273,11,Blue,272
274,12,Blue,270
275,13,Blue,266
276,14,Blue,268
277,15,Blue,271
278,16,Blue,271
279,17,Blue,274
280,18,Blue,263
281,19,Blue,267
282,20,Blue,269
283,21,Blue,267
284,22,Blue,271
285,23,Blue,267
286,24,Blue,267
297,6,Black,6
298,7,Black,6
299,8,Black,4
300,9,Black,5
