No.,Order,Color,Intensity
6,6,White,926
7,7,White,928
8,8,White,931
9,9,White,923
10,10,White,922
11,11,White,923
12,12,White,923
13,13,White,927
14,14,White,932
15,15,White,929
16,16,White,927
17,17,White,929
18,18,White,933
19,19,White,930
20,20,White,934
21,21,White,928
22,22,White,932
23,23,White,927
24,24,White,927
35,6,Red,329
36,7,Red,333
37,8,Red,326
38,9,Red,324
39,10,Red,329
40,11,Red,324
41,12,Red,330
42,13,Red,327
43,14,Red,323
44,15,Red,325
45,16,Red,324
46,17,Red,325
47,18,Red,328
48,19,Red,324
49,20,Red,329
50,21,Red,328
51,22,Red,324
52,23,Red,327
53,24,Red,327
64,6,Green,415
65,7,Green,417
66,8,Green,418
67,9,Green,415
68,10,Green,413
69,11,Green,417
70,12,Green,414
71,13,Green,411
72,14,Green,416
73,15,Green,422
74,16,Green,413
75,17,Green,417
76,18,Green,415
77,19,Green,413
78,20,Green,422
79,21,Green,416
80,22,Green,414
81,23,Green,414
82,24,Green,419
93,6,Blue,243
94,7,Blue,246
95,8,Blue,245
96,9,Blue,242
97,10,Blue,250
98,11,Blue,242
99,12,Blue,243
100,13,Blue,244
101,14,Blue,245
102,15,Blue,245
103,16,Blue,243
104,17,Blue,245
105,18,Blue,245
106,19,Blue,247
107,20,Blue,249
108,21,Blue,244
109,22,Blue,244
110,23,Blue,246
111,24,Blue,245
122,6,Black,5
123,7,Black,4
124,8,Black,5
125,9,Black,6
126,10,Black,4
127,11,Black,5
128,12,Black,4
129,13,Black,4
130,14,Black,5
131,15,Black,4
132,16,Black,4
133,17,Black,5
134,18,Black,4
135,19,Black,5
136,20,Black,5
137,21,Black,4
138,22,Black,5
139,23,Black,6
140,24,Black,5
180,6,White,927
181,7,White,926
182,8,White,925
183,9,White,924
184,10,White,916
185,11,White,914
186,12,White,925
187,13,White,918
188,14,White,921
189,15,White,924
190,16,White,923
191,17,White,925
192,18,White,921
193,19,White,922
194,20,White,925
195,21,White,922
196,22,White,924
197,23,White,927
198,24,White,924
210,6,Red,323
211,7,Red,322
212,8,Red,324
213,9,Red,327
214,10,Red,323
215,11,Red,327
216,12,Red,327
217,13,Red,326
218,14,Red,325
219,15,Red,326
220,16,Red,328
221,17,Red,326
222,18,Red,326
223,19,Red,325
224,20,Red,325
225,21,Red,324
226,22,Red,318
227,23,Red,322
228,24,Red,326
239,6,Green,418
240,7,Green,421
241,8,Green,415
242,9,Green,414
243,10,Green,419
244,11,Green,414
245,12,Green,411
246,13,Green,414
247,14,Green,414
248,15,Green,414
249,16,Green,415
250,17,Green,420
251,18,Green,413
252,19,Green,417
253,20,Green,417
254,21,Green,417
255,22,Green,413
256,23,Green,416
257,24,Green,415
268,6,Blue,243
269,7,Blue,242
270,8,Blue,247
271,9,Blue,242
272,10,Blue,245
273,11,Blue,243
274,12,Blue,244
275,13,Blue,247
276,14,Blue,243
277,15,Blue,249
278,16,Blue,246
279,17,Blue,240
280,18,Blue,249
281,19,Blue,244
282,20,Blue,245
283,21,Blue,247
284,22,Blue,244
285,23,Blue,245
286,24,Blue,248
297,6,Black,4
298,7,Black,5
299,8,Black,5
300,9,Black,4
301,10,Black,4
302,11,Black,5
303,12,Black,5
304,13,Black,5
305,14,Black,4
306,15,Black,5
307,16,Black,5
308,17,Black,4
309,18,Black,4
310,19,Black,5
311,20,Black,4
312,21,Black,5
313,22,Black,5
314,23,Black,5
315,24,Black,4
355,6,White,914
356,7,White,916
357,8,White,917
358,9,White,919
359,10,White,915
360,11,White,921
361,12,White,918
362,13,White,919
363,14,White,921
364,15,White,918
365,16,White,922
366,17,White,916
367,18,White,917
368,19,White,916
369,20,White,916
370,21,White,921
371,22,White,919
372,23,White,916
373,24,White,918
384,6,Red,324
385,7,Red,328
386,8,Red,324
387,9,Red,323
388,10,Red,319
389,11,Red,323
390,12,Red,325
391,13,Red,326
392,14,Red,323
393,15,Red,319
394,16,Red,319
395,17,Red,329
396,18,Red,329
397,19,Red,329
398,20,Red,321
399,21,Red,327
400,22,Red,323
401,23,Red,320
402,24,Red,327
413,6,Green,415
414,7,Green,415
415,8,Green,412
416,9,Green,414
417,10,Green,413
418,11,Green,414
419,12,Green,417
420,13,Green,416
421,14,Green,414
422,15,Green,412
423,16,Green,417
424,17,Green,414
425,18,Green,417
426,19,Green,411
427,20,Green,407
428,21,Green,412
429,22,Green,412
430,23,Green,411
431,24,Green,415
442,6,Blue,250
443,7,Blue,249
444,8,Blue,247
445,9,Blue,242
446,10,Blue,243
447,11,Blue,241
448,12,Blue,243
449,13,Blue,244
450,14,Blue,240
451,15,Blue,245
452,16,Blue,244
453,17,Blue,244
