No.,Order,Color,Intensity
6,6,White,775
7,7,White,766
8,8,White,777
9,9,White,772
10,10,White,773
11,11,White,776
12,12,White,773
13,13,White,773
14,14,White,772
15,15,White,775
16,16,White,772
17,17,White,766
18,18,White,775
19,19,White,772
20,20,White,773
21,21,White,774
22,22,White,769
23,23,White,775
24,24,White,776
35,6,Red,272
36,7,Red,275
37,8,Red,273
38,9,Red,273
39,10,Red,275
40,11,Red,277
41,12,Red,279
42,13,Red,277
43,14,Red,274
44,15,Red,278
45,16,Red,273
46,17,Red,271
47,18,Red,274
48,19,Red,277
49,20,Red,276
50,21,Red,277
51,22,Red,279
52,23,Red,278
53,24,Red,275
64,6,Green,326
65,7,Green,326
66,8,Green,323
67,9,Green,330
68,10,Green,325
69,11,Green,331
70,12,Green,327
71,13,Green,329
72,14,Green,329
73,15,Green,323
74,16,Green,331
75,17,Green,322
76,18,Green,329
77,19,Green,324
78,20,Green,328
79,21,Green,322
80,22,Green,328
81,23,Green,326
82,24,Green,333
94,6,Blue,212
95,7,Blue,212
96,8,Blue,209
97,9,Blue,207
98,10,Blue,209
99,11,Blue,214
100,12,Blue,208
101,13,Blue,211
102,14,Blue,210
103,15,Blue,213
104,16,Blue,208
105,17,Blue,209
106,18,Blue,210
107,19,Blue,207
108,20,Blue,212
109,21,Blue,213
110,22,Blue,211
111,23,Blue,208
112,24,Blue,212
123,6,Black,6
124,7,Black,6
125,8,Black,5
126,9,Black,5
127,10,Black,5
128,11,Black,6
129,12,Black,5
130,13,Black,5
131,14,Black,5
132,15,Black,5
133,16,Black,6
134,17,Black,6
135,18,Black,5
136,19,Black,5
137,20,Black,5
138,21,Black,5
139,22,Black,6
140,23,Black,5
141,24,Black,5
181,6,White,768
182,7,White,771
183,8,White,763
184,9,White,766
185,10,White,761
186,11,White,770
187,12,White,761
188,13,White,773
189,14,White,765
190,15,White,764
191,16,White,770
192,17,White,766
193,18,White,762
194,19,White,765
195,20,White,765
196,21,White,771
197,22,White,766
198,23,White,762
199,24,White,769
210,6,Red,269
211,7,Red,271
212,8,Red,270
213,9,Red,271
214,10,Red,270
215,11,Red,276
216,12,Red,270
217,13,Red,272
218,14,Red,270
219,15,Red,268
220,16,Red,266
221,17,Red,274
222,18,Red,276
223,19,Red,277
224,20,Red,268
225,21,Red,271
226,22,Red,276
227,23,Red,276
228,24,Red,275
240,6,Green,326
241,7,Green,328
242,8,Green,326
243,9,Green,326
244,10,Green,328
245,11,Green,332
246,12,Green,324
247,13,Green,330
248,14,Green,325
249,15,Green,328
250,16,Green,325
251,17,Green,329
252,18,Green,326
253,19,Green,327
254,20,Green,324
255,21,Green,329
256,22,Green,328
257,23,Green,325
258,24,Green,323
269,6,Blue,210
270,7,Blue,214
271,8,Blue,210
272,9,Blue,212
273,10,Blue,211
274,11,Blue,208
275,12,Blue,211
276,13,Blue,210
277,14,Blue,206
278,15,Blue,207
279,16,Blue,209
280,17,Blue,209
281,18,Blue,206
282,19,Blue,209
283,20,Blue,209
284,21,Blue,214
285,22,Blue,209
286,23,Blue,208
287,24,Blue,207
298,6,Black,5
299,7,Black,5
300,8,Black,5
301,9,Black,6
302,10,Black,6
303,11,Black,5
304,12,Black,5
305,13,Black,5
306,14,Black,4
307,15,Black,5
308,16,Black,5
309,17,Black,5
310,18,Black,6
311,19,Black,5
312,20,Black,4
313,21,Black,5
314,22,Black,5
315,23,Black,5
316,24,Black,5
357,6,White,770
358,7,White,772
359,8,White,771
360,9,White,769
361,10,White,772
362,11,White,768
363,12,White,762
364,13,White,763
365,14,White,753
366,15,White,763
367,16,White,769
368,17,White,755
369,18,White,765
370,19,White,765
371,20,White,769
372,21,White,765
373,22,White,760
374,23,White,756
375,24,White,770
386,6,Red,271
387,7,Red,265
388,8,Red,275
389,9,Red,274
390,10,Red,267
391,11,Red,271
392,12,Red,269
393,13,Red,272
394,14,Red,272
395,15,Red,275
396,16,Red,268
397,17,Red,275
398,18,Red,271
399,19,Red,270
400,20,Red,275
401,21,Red,276
402,22,Red,272
403,23,Red,271
404,24,Red,276
415,6,Green,323
416,7,Green,326
417,8,Green,330
418,9,Green,326
419,10,Green,324
420,11,Green,321
421,12,Green,324
422,13,Green,324
423,14,Green,324
424,15,Green,328
425,16,Green,321
426,17,Green,326
427,18,Green,326
428,19,Green,325
429,20,Green,324
430,21,Green,322
431,22,Green,319
432,23,Green,325
433,24,Green,325
444,6,Blue,210
445,7,Blue,208
446,8,Blue,208
447,9,Blue,209
448,10,Blue,210
449,11,Blue,206
450,12,Blue,208
451,13,Blue,207
452,14,Blue,207
453,15,Blue,209
454,16,Blue,206
455,17,Blue,205
456,18,Blue,214
457,19,Blue,214
