No.,Order,Color,Intensity
6,6,White,762
7,7,White,759
8,8,White,763
9,9,White,766
10,10,White,762
11,11,White,764
12,12,White,765
13,13,White,761
14,14,White,758
15,15,White,761
16,16,White,765
17,17,White,761
18,18,White,752
19,19,White,754
20,20,White,760
21,21,White,766
22,22,White,762
23,23,White,754
24,24,White,759
35,6,Red,317
36,7,Red,328
37,8,Red,327
38,9,Red,326
39,10,Red,323
40,11,Red,328
41,12,Red,326
42,13,Red,323
43,14,Red,326
44,15,Red,328
45,16,Red,326
46,17,Red,324
47,18,Red,329
48,19,Red,325
49,20,Red,323
50,21,Red,326
51,22,Red,323
52,23,Red,322
53,24,Red,324
65,6,Green,342
66,7,Green,334
67,8,Green,341
68,9,Green,339
69,10,Green,337
70,11,Green,343
71,12,Green,340
72,13,Green,342
73,14,Green,339
74,15,Green,338
75,16,Green,334
76,17,Green,338
77,18,Green,334
78,19,Green,338
79,20,Green,341
80,21,Green,342
81,22,Green,336
82,23,Green,339
83,24,Green,336
95,6,Blue,125
96,7,Blue,126
97,8,Blue,124
98,9,Blue,126
99,10,Blue,124
100,11,Blue,126
101,12,Blue,124
102,13,Blue,123
103,14,Blue,127
104,15,Blue,124
105,16,Blue,132
106,17,Blue,129
107,18,Blue,123
108,19,Blue,126
109,20,Blue,124
110,21,Blue,127
111,22,Blue,128
112,23,Blue,126
113,24,Blue,131
124,6,Black,4
125,7,Black,4
126,8,Black,4
127,9,Black,3
128,10,Black,4
129,11,Black,4
130,12,Black,4
131,13,Black,4
132,14,Black,4
133,15,Black,5
134,16,Black,4
135,17,Black,4
136,18,Black,5
137,19,Black,4
138,20,Black,4
139,21,Black,4
140,22,Black,4
141,23,Black,5
142,24,Black,5
184,6,White,738
185,7,White,743
186,8,White,740
187,9,White,733
188,10,White,747
189,11,White,747
190,12,White,746
191,13,White,740
192,14,White,731
193,15,White,746
194,16,White,742
195,17,White,743
196,18,White,745
197,19,White,742
198,20,White,740
199,21,White,745
200,22,White,735
201,23,White,746
202,24,White,742
213,6,Red,324
214,7,Red,318
215,8,Red,320
216,9,Red,326
217,10,Red,323
218,11,Red,316
219,12,Red,314
220,13,Red,325
221,14,Red,324
222,15,Red,324
223,16,Red,321
224,17,Red,322
225,18,Red,321
226,19,Red,321
227,20,Red,322
228,21,Red,315
229,22,Red,324
230,23,Red,323
231,24,Red,322
243,6,Green,334
244,7,Green,333
245,8,Green,335
246,9,Green,331
247,10,Green,331
248,11,Green,333
249,12,Green,331
250,13,Green,337
251,14,Green,334
252,15,Green,337
253,16,Green,330
254,17,Green,328
255,18,Green,329
256,19,Green,329
257,20,Green,330
258,21,Green,331
259,22,Green,330
260,23,Green,336
261,24,Green,335
273,6,Blue,121
274,7,Blue,127
275,8,Blue,124
276,9,Blue,126
277,10,Blue,123
278,11,Blue,122
279,12,Blue,121
280,13,Blue,121
281,14,Blue,122
282,15,Blue,122
283,16,Blue,125
284,17,Blue,120
285,18,Blue,124
286,19,Blue,126
287,20,Blue,124
288,21,Blue,126
289,22,Blue,123
290,23,Blue,124
291,24,Blue,124
302,6,Black,4
303,7,Black,5
304,8,Black,4
305,9,Black,4
306,10,Black,5
307,11,Black,5
308,12,Black,4
309,13,Black,4
310,14,Black,4
311,15,Black,4
312,16,Black,4
313,17,Black,4
314,18,Black,4
315,19,Black,5
316,20,Black,4
317,21,Black,5
318,22,Black,5
319,23,Black,4
320,24,Black,4
362,6,White,738
363,7,White,738
364,8,White,740
365,9,White,732
366,10,White,736
367,11,White,739
368,12,White,740
369,13,White,739
370,14,White,737
371,15,White,734
372,16,White,733
373,17,White,732
374,18,White,737
375,19,White,734
376,20,White,735
377,21,White,736
378,22,White,728
379,23,White,738
380,24,White,731
391,6,Red,322
392,7,Red,322
393,8,Red,318
394,9,Red,322
395,10,Red,324
396,11,Red,320
397,12,Red,318
398,13,Red,318
399,14,Red,321
400,15,Red,318
401,16,Red,316
402,17,Red,320
403,18,Red,318
404,19,Red,320
405,20,Red,319
406,21,Red,313
407,22,Red,323
408,23,Red,316
409,24,Red,322
421,6,Green,332
422,7,Green,327
423,8,Green,326
424,9,Green,331
425,10,Green,329
426,11,Green,331
427,12,Green,326
428,13,Green,329
429,14,Green,333
430,15,Green,327
431,16,Green,331
432,17,Green,322
433,18,Green,321
434,19,Green,325
435,20,Green,327
436,21,Green,329
437,22,Green,327
438,23,Green,322
439,24,Green,328
451,6,Blue,121
452,7,Blue,120
453,8,Blue,121
454,9,Blue,120
455,10,Blue,120
456,11,Blue,120
457,12,Blue,121
458,13,Blue,120
459,14,Blue,121
460,15,Blue,120
461,16,Blue,125
462,17,Blue,119
463,18,Blue,123
