No.,Order,Color,Intensity
6,6,White,954
7,7,White,950
8,8,White,953
9,9,White,950
10,10,White,950
11,11,White,953
12,12,White,952
13,13,White,957
14,14,White,950
15,15,White,956
16,16,White,953
17,17,White,947
18,18,White,951
19,19,White,953
20,20,White,954
21,21,White,953
22,22,White,951
23,23,White,952
24,24,White,954
35,6,Red,358
36,7,Red,364
37,8,Red,358
38,9,Red,360
39,10,Red,362
40,11,Red,355
41,12,Red,360
42,13,Red,354
43,14,Red,361
44,15,Red,353
45,16,Red,356
46,17,Red,356
47,18,Red,356
48,19,Red,356
49,20,Red,354
50,21,Red,351
51,22,Red,365
52,23,Red,362
53,24,Red,362
65,6,Green,442
66,7,Green,445
67,8,Green,445
68,9,Green,446
69,10,Green,443
70,11,Green,444
71,12,Green,440
72,13,Green,445
73,14,Green,449
74,15,Green,450
75,16,Green,441
76,17,Green,448
77,18,Green,444
78,19,Green,441
79,20,Green,443
80,21,Green,449
81,22,Green,440
82,23,Green,442
83,24,Green,447
94,6,Blue,286
95,7,Blue,283
96,8,Blue,283
97,9,Blue,286
98,10,Blue,288
99,11,Blue,287
100,12,Blue,290
101,13,Blue,280
102,14,Blue,284
103,15,Blue,283
104,16,Blue,282
105,17,Blue,289
106,18,Blue,278
107,19,Blue,290
108,20,Blue,287
109,21,Blue,290
110,22,Blue,283
111,23,Blue,279
112,24,Blue,281
124,6,Black,4
125,7,Black,5
126,8,Black,4
127,9,Black,5
128,10,Black,5
129,11,Black,4
130,12,Black,4
131,13,Black,4
132,14,Black,5
133,15,Black,4
134,16,Black,4
135,17,Black,4
136,18,Black,5
137,19,Black,4
138,20,Black,5
139,21,Black,4
140,22,Black,5
141,23,Black,4
142,24,Black,4
183,6,White,953
184,7,White,954
185,8,White,953
186,9,White,951
187,10,White,950
188,11,White,951
189,12,White,957
190,13,White,953
191,14,White,954
192,15,White,950
193,16,White,951
194,17,White,953
195,18,White,952
196,19,White,958
197,20,White,952
198,21,White,952
199,22,White,950
200,23,White,955
201,24,White,954
212,6,Red,354
213,7,Red,364
214,8,Red,364
215,9,Red,362
216,10,Red,356
217,11,Red,364
218,12,Red,364
219,13,Red,358
220,14,Red,361
221,15,Red,365
222,16,Red,358
223,17,Red,363
224,18,Red,359
225,19,Red,361
226,20,Red,363
227,21,Red,361
228,22,Red,365
229,23,Red,364
230,24,Red,354
242,6,Green,446
243,7,Green,446
244,8,Green,447
245,9,Green,445
246,10,Green,448
247,11,Green,449
248,12,Green,443
249,13,Green,442
250,14,Green,449
251,15,Green,447
252,16,Green,450
253,17,Green,444
254,18,Green,444
255,19,Green,445
256,20,Green,449
257,21,Green,446
258,22,Green,442
259,23,Green,443
260,24,Green,444
271,6,Blue,277
272,7,Blue,289
273,8,Blue,284
274,9,Blue,288
275,10,Blue,285
276,11,Blue,285
277,12,Blue,283
278,13,Blue,287
279,14,Blue,281
280,15,Blue,283
281,16,Blue,281
282,17,Blue,285
283,18,Blue,283
284,19,Blue,285
285,20,Blue,285
286,21,Blue,281
287,22,Blue,284
288,23,Blue,286
289,24,Blue,279
301,6,Black,4
302,7,Black,5
303,8,Black,4
304,9,Black,4
305,10,Black,5
306,11,Black,4
307,12,Black,5
308,13,Black,4
309,14,Black,4
310,15,Black,6
311,16,Black,4
312,17,Black,4
313,18,Black,5
314,19,Black,4
315,20,Black,4
316,21,Black,5
317,22,Black,5
318,23,Black,5
319,24,Black,4
360,6,White,953
361,7,White,954
362,8,White,951
363,9,White,956
364,10,White,952
365,11,White,952
366,12,White,955
367,13,White,951
368,14,White,952
369,15,White,956
370,16,White,952
371,17,White,950
372,18,White,955
373,19,White,958
374,20,White,953
375,21,White,954
376,22,White,953
377,23,White,951
378,24,White,957
389,6,Red,358
390,7,Red,359
391,8,Red,361
392,9,Red,358
393,10,Red,353
394,11,Red,363
395,12,Red,357
396,13,Red,360
397,14,Red,351
398,15,Red,363
399,16,Red,358
400,17,Red,363
401,18,Red,357
402,19,Red,355
403,20,Red,357
404,21,Red,362
405,22,Red,363
406,23,Red,359
407,24,Red,358
419,6,Green,448
420,7,Green,448
421,8,Green,445
422,9,Green,442
423,10,Green,444
424,11,Green,447
425,12,Green,449
426,13,Green,442
427,14,Green,447
428,15,Green,447
429,16,Green,445
430,17,Green,442
431,18,Green,448
