No.,Order,Color,Intensity
6,6,White,765
7,7,White,762
8,8,White,770
9,9,White,764
10,10,White,763
11,11,White,765
12,12,White,768
13,13,White,772
14,14,White,765
15,15,White,770
16,16,White,760
17,17,White,765
18,18,White,754
19,19,White,762
20,20,White,768
21,21,White,763
22,22,White,773
23,23,White,772
24,24,White,764
35,6,Red,285
36,7,Red,278
37,8,Red,280
38,9,Red,278
39,10,Red,281
40,11,Red,283
41,12,Red,280
42,13,Red,280
43,14,Red,279
44,15,Red,279
45,16,Red,279
46,17,Red,278
47,18,Red,286
48,19,Red,275
49,20,Red,279
50,21,Red,278
51,22,Red,280
52,23,Red,278
53,24,Red,282
65,6,Green,311
66,7,Green,312
67,8,Green,310
68,9,Green,310
69,10,Green,314
70,11,Green,310
71,12,Green,309
72,13,Green,308
73,14,Green,315
74,15,Green,310
75,16,Green,316
76,17,Green,309
77,18,Green,310
78,19,Green,312
79,20,Green,317
80,21,Green,314
81,22,Green,311
82,23,Green,315
83,24,Green,306
95,6,Blue,209
96,7,Blue,205
97,8,Blue,209
98,9,Blue,208
99,10,Blue,211
100,11,Blue,213
101,12,Blue,211
102,13,Blue,211
103,14,Blue,214
104,15,Blue,212
105,16,Blue,212
106,17,Blue,209
107,18,Blue,211
108,19,Blue,208
109,20,Blue,209
110,21,Blue,208
111,22,Blue,209
112,23,Blue,210
113,24,Blue,211
125,6,Black,4
126,7,Black,4
127,8,Black,3
128,9,Black,5
129,10,Black,4
130,11,Black,4
131,12,Black,4
132,13,Black,4
133,14,Black,4
134,15,Black,4
135,16,Black,4
136,17,Black,4
137,18,Black,4
138,19,Black,4
139,20,Black,4
140,21,Black,4
141,22,Black,4
142,23,Black,4
143,24,Black,4
184,6,White,761
185,7,White,765
186,8,White,761
187,9,White,766
188,10,White,763
189,11,White,762
190,12,White,764
191,13,White,772
192,14,White,765
193,15,White,763
194,16,White,769
195,17,White,760
196,18,White,766
197,19,White,772
198,20,White,764
199,21,White,772
200,22,White,755
201,23,White,771
202,24,White,766
213,6,Red,284
214,7,Red,283
215,8,Red,286
216,9,Red,284
217,10,Red,275
218,11,Red,285
219,12,Red,280
220,13,Red,276
221,14,Red,282
222,15,Red,279
223,16,Red,284
224,17,Red,277
225,18,Red,285
226,19,Red,278
227,20,Red,278
228,21,Red,279
229,22,Red,278
230,23,Red,279
231,24,Red,284
243,6,Green,309
244,7,Green,315
245,8,Green,309
246,9,Green,306
247,10,Green,311
248,11,Green,313
249,12,Green,311
250,13,Green,315
251,14,Green,310
252,15,Green,311
253,16,Green,316
254,17,Green,317
255,18,Green,313
256,19,Green,315
257,20,Green,310
258,21,Green,311
259,22,Green,311
260,23,Green,315
261,24,Green,316
273,6,Blue,207
274,7,Blue,213
275,8,Blue,207
276,9,Blue,210
277,10,Blue,215
278,11,Blue,211
279,12,Blue,211
280,13,Blue,212
281,14,Blue,212
282,15,Blue,212
283,16,Blue,207
284,17,Blue,212
285,18,Blue,209
286,19,Blue,211
287,20,Blue,211
288,21,Blue,208
289,22,Blue,208
290,23,Blue,209
291,24,Blue,211
303,6,Black,5
304,7,Black,4
305,8,Black,4
306,9,Black,4
307,10,Black,5
308,11,Black,4
309,12,Black,4
310,13,Black,3
311,14,Black,4
312,15,Black,4
313,16,Black,3
314,17,Black,5
315,18,Black,4
316,19,Black,4
317,20,Black,4
318,21,Black,4
319,22,Black,4
320,23,Black,4
