No.,Order,Color,Intensity
6,6,White,822
7,7,White,827
8,8,White,828
9,9,White,829
10,10,White,832
11,11,White,826
12,12,White,818
13,13,White,826
14,14,White,822
15,15,White,817
16,16,White,826
17,17,White,825
18,18,White,829
19,19,White,824
20,20,White,824
21,21,White,827
22,22,White,824
23,23,White,824
24,24,White,826
35,6,Red,306
36,7,Red,302
37,8,Red,299
38,9,Red,300
39,10,Red,306
40,11,Red,300
41,12,Red,303
42,13,Red,299
43,14,Red,299
44,15,Red,305
45,16,Red,304
46,17,Red,300
47,18,Red,299
48,19,Red,303
49,20,Red,301
50,21,Red,305
51,22,Red,306
52,23,Red,302
53,24,Red,301
65,6,Green,357
66,7,Green,351
67,8,Green,352
68,9,Green,353
69,10,Green,352
70,11,Green,350
71,12,Green,355
72,13,Green,358
73,14,Green,353
74,15,Green,357
75,16,Green,349
76,17,Green,354
77,18,Green,356
78,19,Green,357
79,20,Green,350
80,21,Green,352
81,22,Green,351
82,23,Green,351
83,24,Green,352
94,6,Blue,220
95,7,Blue,225
96,8,Blue,218
97,9,Blue,221
98,10,Blue,219
99,11,Blue,218
100,12,Blue,221
101,13,Blue,221
102,14,Blue,224
103,15,Blue,219
104,16,Blue,218
105,17,Blue,224
106,18,Blue,218
107,19,Blue,224
108,20,Blue,217
109,21,Blue,221
110,22,Blue,223
111,23,Blue,227
112,24,Blue,223
123,6,Black,5
124,7,Black,4
125,8,Black,6
126,9,Black,5
127,10,Black,5
128,11,Black,4
129,12,Black,5
130,13,Black,5
131,14,Black,4
132,15,Black,6
133,16,Black,4
134,17,Black,4
135,18,Black,5
136,19,Black,5
137,20,Black,5
138,21,Black,5
139,22,Black,4
140,23,Black,4
141,24,Black,4
182,6,White,828
183,7,White,822
184,8,White,830
185,9,White,825
186,10,White,826
187,11,White,821
188,12,White,825
189,13,White,819
190,14,White,823
191,15,White,825
192,16,White,829
193,17,White,830
194,18,White,825
195,19,White,827
196,20,White,832
197,21,White,826
198,22,White,833
199,23,White,829
200,24,White,829
