Order,Color,N10_blank.csv,N10_NoR.csv,N4_blank.csv,N20_R.csv,N10_WR.csv,N2n_NoR.csv,N20_A.csv,N20_W.csv,N80_WR.csv,N100_blank.csv,N20_B.csv,N40_blank.csv,N2_blank.csv,N2_W.csv,N8_blank.csv,N40_R.csv,N80_R.csv,N60_W.csv,N2n_R.csv,N8_NoR.csv,N6_R.csv,N60_A.csv,N2_A.csv,N4_R.csv,N60_B.csv,N2_B.csv,N6_B.csv,N2n_blank.csv,N4_W.csv,N2n_B.csv,N4_A.csv,N80_B.csv,N100_WR.csv,N40_B.csv,N2n_WR.csv,N60_NoR.csv,N60_blank.csv,N2_R.csv,N40_W.csv,N20_WR.csv,N60_R.csv,N6_A.csv,N80_W.csv,N4_B.csv,N2n_W.csv,N6_W.csv,N80_A.csv,N40_A.csv,N8_B.csv,N6_WR.csv,N10_W.csv,N10_A.csv,N80_blank.csv,N8_A.csv,N10_B.csv,N8_W.csv,N6_blank.csv,N20_NoR.csv,N4_NoR.csv,N8_R.csv,N4_WR.csv,N80_NoR.csv,BG_1.csv,N8_WR.csv,N10_R.csv,N60_WR.csv,BG_0.csv,N40_NoR.csv,N6_NoR.csv,N100_R.csv,N40_WR.csv,N20_blank.csv,N100_NoR.csv,N100_W.csv,N2_WR.csv,N100_A.csv,N100_B.csv
6,Black,3.5,3.0,4.5,4.0,3.25,5.0,4.25,4.0,4.25,4.75,4.5,4.75,5.75,5.5,3.5,4.25,4.25,4.25,5.0,3.25,4.0,4.0,4.0,4.25,4.0,3.75,4.25,5.5,4.5,4.0,5.5,4.25,4.75,4.5,4.75,4.0,4.75,4.25,4.25,4.25,4.25,4.0,4.25,5.0,5.25,3.75,4.0,4.25,3.75,3.75,3.0,4.25,4.75,4.25,3.5,3.75,4.25,4.5,4.5,3.0,4.5,4.75,5.5,3.25,3.5,4.0,5.5,4.25,3.75,4.0,4.5,5.0,3.75,4.25,5.25,3.75,3.75
6,Blue,211.25,240.75,209.75,20.75,259.0,263.25,14.5,230.25,253.0,214.5,21.0,190.25,219.5,291.75,205.25,10.5,12.25,216.75,159.0,263.75,83.75,21.75,135.75,122.75,15.25,120.25,55.25,211.25,285.75,149.0,88.75,10.75,243.25,12.75,244.5,282.75,204.75,165.25,271.75,212.75,15.75,92.5,222.5,86.0,269.5,299.75,12.0,10.0,38.5,272.0,192.75,30.25,216.5,42.25,36.0,270.25,209.25,226.0,272.0,60.5,259.5,225.75,238.0,244.0,42.5,209.5,238.75,261.25,274.25,10.0,214.0,207.5,237.25,285.25,251.0,10.25,9.0
6,Green,326.75,378.5,329.0,120.5,405.0,428.5,67.0,347.5,375.25,317.0,79.0,313.75,344.25,456.5,319.0,40.0,15.25,335.5,338.75,415.75,253.0,55.75,295.25,333.25,41.25,285.75,177.25,325.0,415.0,315.25,230.75,16.0,377.5,38.25,414.25,444.25,334.0,371.25,368.75,345.5,25.5,230.25,353.75,234.5,427.75,414.25,18.75,19.5,150.25,392.0,294.25,121.25,310.0,168.25,123.0,419.0,311.0,350.25,399.0,245.5,399.75,336.5,373.75,394.75,167.25,338.25,370.0,375.5,387.25,13.75,298.25,330.75,354.0,435.75,409.75,14.0,14.5
6,Red,274.75,314.0,275.0,278.5,319.75,327.5,210.75,322.25,321.5,279.0,205.75,278.25,279.5,368.25,274.5,201.25,35.5,309.5,304.0,337.0,315.5,111.0,314.75,321.0,105.0,297.25,269.25,269.75,334.0,300.25,290.25,19.0,319.75,124.0,325.25,357.5,284.5,330.75,331.25,314.75,99.25,260.5,303.0,288.0,333.75,339.75,39.25,110.0,252.0,334.0,308.25,237.5,285.75,270.25,231.5,340.75,282.25,321.25,325.5,316.5,320.0,301.25,312.75,329.5,277.25,325.25,312.75,322.75,337.75,22.5,312.5,272.75,317.0,344.75,335.75,23.25,22.25
6,White,770.75,891.75,774.25,409.25,923.0,941.75,281.25,844.0,895.0,771.5,289.75,741.25,796.5,953.75,765.5,245.5,57.75,815.5,769.25,938.5,628.5,173.5,713.5,741.75,145.5,677.5,486.25,769.0,943.5,727.0,591.75,36.5,889.75,159.0,920.0,954.25,777.25,822.75,908.5,825.5,139.75,569.75,826.0,586.0,943.75,949.25,61.25,130.0,427.25,934.5,763.75,375.0,759.25,468.0,379.75,943.25,765.5,846.0,929.0,609.0,918.5,812.25,868.0,913.5,473.25,827.75,865.5,899.0,928.5,37.25,776.25,766.75,853.0,951.75,933.5,39.75,36.0
7,Black,3.25,3.5,4.0,4.5,3.25,5.0,4.25,4.25,5.0,4.25,4.5,4.75,5.5,5.75,3.0,4.25,4.25,4.25,5.0,3.5,3.25,3.75,4.5,4.5,4.25,4.5,4.25,5.25,4.25,5.0,5.0,4.5,4.5,4.0,4.75,4.5,4.25,4.0,4.25,4.25,4.5,4.5,5.0,4.5,5.75,4.0,4.25,4.25,4.25,4.0,3.0,4.5,4.5,4.5,4.25,3.75,4.25,4.25,4.5,3.0,4.0,4.5,5.0,3.5,3.25,4.0,5.0,4.5,3.5,4.0,4.5,5.25,4.25,4.5,5.25,4.0,4.0
7,Blue,213.0,239.75,211.75,20.0,258.0,262.75,15.5,226.5,255.0,214.0,22.75,190.5,220.0,292.5,205.5,11.0,13.0,218.5,159.5,262.5,84.75,21.25,137.0,123.0,14.75,120.75,55.75,211.75,284.25,148.75,89.75,10.25,245.5,13.5,245.0,285.75,202.0,165.0,271.0,214.0,15.25,94.75,223.5,88.0,270.5,298.0,12.25,9.5,37.0,272.0,193.5,29.75,214.0,43.5,35.0,270.5,208.75,228.75,273.0,61.5,257.25,225.0,237.5,246.25,41.25,206.25,237.75,262.25,272.75,10.25,216.75,208.25,235.25,282.5,252.0,10.0,9.75
7,Green,328.0,380.0,330.5,121.5,406.75,431.25,67.25,346.25,373.25,315.5,78.25,312.0,345.5,458.75,317.0,39.75,16.0,334.0,338.5,412.75,254.25,57.25,297.5,330.0,40.0,288.0,178.75,327.5,412.5,314.25,231.5,17.25,376.5,38.75,414.25,446.0,330.25,370.75,368.0,345.0,25.75,229.25,354.0,236.5,426.25,412.5,19.5,19.75,149.75,393.25,293.5,119.75,313.75,171.25,125.25,416.0,314.25,351.75,395.5,249.75,397.25,335.25,371.0,396.25,167.5,336.5,374.25,371.75,387.5,13.5,296.0,326.5,355.5,430.75,410.25,14.0,13.75
7,Red,272.25,313.75,273.0,281.25,317.0,328.75,211.75,318.75,321.5,281.5,206.5,279.0,277.75,369.25,276.25,202.0,35.5,309.0,303.5,336.5,316.5,110.0,311.25,321.75,106.25,301.5,268.25,269.75,335.5,302.0,289.0,19.0,322.25,121.5,327.0,362.5,281.75,330.25,332.0,315.0,98.5,264.5,300.75,286.25,330.5,339.25,39.0,109.75,256.25,336.0,309.25,238.5,283.5,270.5,233.5,339.25,280.5,322.0,327.0,319.5,319.75,302.5,312.25,329.75,278.25,327.5,310.75,318.5,336.25,22.25,310.75,273.25,315.25,339.0,335.75,23.5,22.0
7,White,775.25,889.5,775.5,413.0,927.25,940.0,280.75,842.75,893.75,771.5,288.5,740.0,797.25,956.5,767.25,244.75,54.75,815.5,768.25,939.25,629.5,171.75,706.75,744.5,147.5,674.5,480.75,766.75,943.0,726.0,587.5,36.5,887.25,157.75,922.0,952.25,775.75,824.75,910.75,826.5,139.5,565.5,825.5,587.25,943.5,947.0,60.5,130.0,428.25,932.75,760.5,375.5,765.0,466.5,378.75,941.0,765.25,850.0,929.25,613.25,915.25,817.5,866.25,912.25,472.25,829.25,865.25,899.0,931.75,37.75,775.75,771.25,854.25,952.25,932.0,38.25,35.5
