N10_blank.csv,N10_NoR.csv,N4_blank.csv,N10_WR.csv,N2_blank.csv,N2_W.csv,N8_blank.csv,N8_NoR.csv,N6_R.csv,N2_A.csv,N4_R.csv,N2_B.csv,N6_B.csv,N4_W.csv,N4_A.csv,N2_R.csv,N6_A.csv,N4_B.csv,N6_W.csv,N8_B.csv,N6_WR.csv,N10_W.csv,N10_A.csv,N8_A.csv,N10_B.csv,N8_W.csv,N6_blank.csv,N4_NoR.csv,N8_R.csv,N4_WR.csv,BG_1.csv,N8_WR.csv,N10_R.csv,BG_0.csv,N6_NoR.csv,N2_WR.csv
3.5,3.0,4.5,3.25,5.75,5.5,3.5,3.25,4.0,4.0,4.25,3.75,4.25,4.5,5.5,4.25,4.0,5.0,3.75,3.75,3.75,3.0,4.25,4.25,3.5,3.75,4.25,4.5,3.0,4.5,5.5,3.25,3.5,5.5,3.75,5.25
211.25,240.75,209.75,259.0,219.5,291.75,205.25,263.75,83.75,135.75,122.75,120.25,55.25,285.75,88.75,165.25,92.5,86.0,299.75,38.5,272.0,192.75,30.25,42.25,36.0,270.25,209.25,272.0,60.5,259.5,238.0,244.0,42.5,238.75,274.25,251.0
326.75,378.5,329.0,405.0,344.25,456.5,319.0,415.75,253.0,295.25,333.25,285.75,177.25,415.0,230.75,371.25,230.25,234.5,414.25,150.25,392.0,294.25,121.25,168.25,123.0,419.0,311.0,399.0,245.5,399.75,373.75,394.75,167.25,370.0,387.25,409.75
274.75,314.0,275.0,319.75,279.5,368.25,274.5,337.0,315.5,314.75,321.0,297.25,269.25,334.0,290.25,330.75,260.5,288.0,339.75,252.0,334.0,308.25,237.5,270.25,231.5,340.75,282.25,325.5,316.5,320.0,312.75,329.5,277.25,312.75,337.75,335.75
770.75,891.75,774.25,923.0,796.5,953.75,765.5,938.5,628.5,713.5,741.75,677.5,486.25,943.5,591.75,822.75,569.75,586.0,949.25,427.25,934.5,763.75,375.0,468.0,379.75,943.25,765.5,929.0,609.0,918.5,868.0,913.5,473.25,865.5,928.5,933.5
3.25,3.5,4.0,3.25,5.5,5.75,3.0,3.5,3.25,4.5,4.5,4.5,4.25,4.25,5.0,4.0,4.5,4.5,4.0,4.25,4.0,3.0,4.5,4.5,4.25,3.75,4.25,4.5,3.0,4.0,5.0,3.5,3.25,5.0,3.5,5.25
213.0,239.75,211.75,258.0,220.0,292.5,205.5,262.5,84.75,137.0,123.0,120.75,55.75,284.25,89.75,165.0,94.75,88.0,298.0,37.0,272.0,193.5,29.75,43.5,35.0,270.5,208.75,273.0,61.5,257.25,237.5,246.25,41.25,237.75,272.75,252.0
328.0,380.0,330.5,406.75,345.5,458.75,317.0,412.75,254.25,297.5,330.0,288.0,178.75,412.5,231.5,370.75,229.25,236.5,412.5,149.75,393.25,293.5,119.75,171.25,125.25,416.0,314.25,395.5,249.75,397.25,371.0,396.25,167.5,374.25,387.5,410.25
272.25,313.75,273.0,317.0,277.75,369.25,276.25,336.5,316.5,311.25,321.75,301.5,268.25,335.5,289.0,330.25,264.5,286.25,339.25,256.25,336.0,309.25,238.5,270.5,233.5,339.25,280.5,327.0,319.5,319.75,312.25,329.75,278.25,310.75,336.25,335.75
775.25,889.5,775.5,927.25,797.25,956.5,767.25,939.25,629.5,706.75,744.5,674.5,480.75,943.0,587.5,824.75,565.5,587.25,947.0,428.25,932.75,760.5,375.5,466.5,378.75,941.0,765.25,929.25,613.25,915.25,866.25,912.25,472.25,865.25,931.75,932.0
