Filename,avgN,avgB,avgG,avgR,avgC,sdB,sdG,sdR,sdC
A_360ms_1x.csv,11.00,1689.50,619.63,116.00,2366.63,0.61,0.46,0.00,0.65
BLACK_360ms_1x.csv,11.00,963.38,373.88,106.00,1426.38,0.46,0.22,0.00,0.46
B_360ms_1x.csv,11.00,2015.50,727.75,124.00,2792.63,0.00,0.25,0.00,0.22
C_360ms_1x.csv,11.00,2124.50,759.25,125.00,2928.75,0.87,0.25,0.00,0.75
D_360ms_1x.csv,11.00,1675.75,610.75,119.00,2349.00,0.94,0.25,0.00,1.11
E_360ms_1x.csv,11.00,1748.63,636.13,120.00,2445.25,0.65,0.22,0.00,1.11
RER_360ms_1x.csv,11.00,865.38,344.00,106.00,1303.50,0.46,0.00,0.00,0.50
blank_360ms_1x.csv,11.00,835.75,330.00,104.00,1260.75,0.61,0.00,0.00,0.61
,,,,,,,,,
Name,,B,P2,P1,,,,,
A_360ms_1x.csv,,677.13,695,899.00,______,,,,
B_360ms_1x.csv,,770.00,300,393.00,______,,,,
C_360ms_1x.csv,,804.25,93.9,282.00,______,,,,
D_360ms_1x.csv,,800.00,103,245.00,______,,,,
E_360ms_1x.csv,,696.63,370,200.00,______,,,,
,,,,,,,,,
,,0.00,,,,,,,
Name,,B,P,,,,,,
A_360ms_1x.csv,,-677.13,695.00,,,,,,
B_360ms_1x.csv,,-770.00,300.00,,,,,,
C_360ms_1x.csv,,-804.25,93.90,,,,,,
D_360ms_1x.csv,,-800.00,103.00,,,,,,
E_360ms_1x.csv,,-696.63,370.00,,,,,,
