No.,Order,Color,Intensity
1,1,White,871.0
2,2,White,868.0
3,3,White,870.0
4,4,White,861.0
5,5,White,865.0
6,6,White,870.0
7,7,White,871.0
8,8,White,865.0
9,9,White,868.0
10,10,White,865.0
11,11,White,869.0
12,12,White,865.0
13,13,White,860.0
14,14,White,869.0
15,15,White,867.0
16,16,White,866.0
17,17,White,865.0
18,18,White,861.0
19,19,White,861.0
20,20,White,866.0
21,21,White,865.0
22,22,White,866.0
23,23,White,863.0
24,24,White,865.0
31,1,Red,312.0
32,2,Red,308.0
33,3,Red,309.0
34,4,Red,314.0
35,5,Red,310.0
36,6,Red,313.0
37,7,Red,312.0
38,8,Red,312.0
39,9,Red,313.0
40,10,Red,310.0
41,11,Red,314.0
42,12,Red,313.0
43,13,Red,308.0
44,14,Red,309.0
45,15,Red,316.0
46,16,Red,310.0
47,17,Red,314.0
48,18,Red,309.0
49,19,Red,308.0
50,20,Red,315.0
51,21,Red,314.0
52,22,Red,313.0
53,23,Red,305.0
54,24,Red,311.0
60,1,Green,369.0
61,2,Green,374.0
62,3,Green,373.0
63,4,Green,363.0
64,5,Green,368.0
65,6,Green,376.0
66,7,Green,374.0
67,8,Green,374.0
68,9,Green,373.0
69,10,Green,370.0
70,11,Green,369.0
71,12,Green,371.0
72,13,Green,369.0
73,14,Green,370.0
74,15,Green,371.0
75,16,Green,373.0
76,17,Green,375.0
77,18,Green,369.0
78,19,Green,370.0
79,20,Green,375.0
80,21,Green,371.0
81,22,Green,368.0
82,23,Green,369.0
83,24,Green,374.0
90,1,Blue,238.0
91,2,Blue,236.0
92,3,Blue,242.0
93,4,Blue,234.0
94,5,Blue,236.0
95,6,Blue,239.0
96,7,Blue,239.0
97,8,Blue,239.0
98,9,Blue,241.0
99,10,Blue,237.0
100,11,Blue,240.0
101,12,Blue,235.0
102,13,Blue,239.0
103,14,Blue,233.0
104,15,Blue,236.0
105,16,Blue,239.0
106,17,Blue,235.0
107,18,Blue,240.0
108,19,Blue,237.0
109,20,Blue,234.0
110,21,Blue,240.0
111,22,Blue,238.0
112,23,Blue,236.0
