No.,Order,Color,Intensity
1,1,White,853.0
2,2,White,854.0
3,3,White,852.0
4,4,White,846.0
5,5,White,847.0
6,6,White,852.0
7,7,White,853.0
8,8,White,852.0
9,9,White,845.0
10,10,White,855.0
11,11,White,854.0
12,12,White,848.0
13,13,White,850.0
14,14,White,853.0
15,15,White,843.0
16,16,White,851.0
17,17,White,855.0
18,18,White,855.0
19,19,White,855.0
20,20,White,853.0
21,21,White,853.0
22,22,White,857.0
23,23,White,842.0
24,24,White,851.0
31,1,Red,304.0
32,2,Red,303.0
33,3,Red,304.0
34,4,Red,303.0
35,5,Red,300.0
36,6,Red,302.0
37,7,Red,305.0
38,8,Red,301.0
39,9,Red,304.0
40,10,Red,299.0
41,11,Red,298.0
42,12,Red,297.0
43,13,Red,299.0
44,14,Red,301.0
45,15,Red,301.0
46,16,Red,304.0
47,17,Red,300.0
48,18,Red,301.0
49,19,Red,302.0
50,20,Red,303.0
51,21,Red,296.0
52,22,Red,301.0
53,23,Red,300.0
54,24,Red,307.0
60,1,Green,367.0
61,2,Green,363.0
62,3,Green,365.0
63,4,Green,366.0
64,5,Green,365.0
65,6,Green,369.0
66,7,Green,364.0
67,8,Green,365.0
68,9,Green,367.0
69,10,Green,366.0
70,11,Green,369.0
71,12,Green,369.0
72,13,Green,359.0
73,14,Green,366.0
74,15,Green,366.0
75,16,Green,365.0
76,17,Green,365.0
77,18,Green,364.0
78,19,Green,363.0
79,20,Green,366.0
80,21,Green,366.0
81,22,Green,367.0
82,23,Green,365.0
83,24,Green,365.0
90,1,Blue,232.0
91,2,Blue,236.0
92,3,Blue,238.0
93,4,Blue,232.0
94,5,Blue,235.0
95,6,Blue,235.0
96,7,Blue,232.0
97,8,Blue,233.0
98,9,Blue,236.0
99,10,Blue,234.0
100,11,Blue,236.0
101,12,Blue,235.0
102,13,Blue,238.0
103,14,Blue,238.0
104,15,Blue,234.0
105,16,Blue,234.0
106,17,Blue,234.0
107,18,Blue,236.0
108,19,Blue,232.0
109,20,Blue,237.0
110,21,Blue,237.0
111,22,Blue,238.0
112,23,Blue,233.0
113,24,Blue,236.0
120,1,Black,5.0
121,2,Black,5.0
122,3,Black,6.0
123,4,Black,5.0
124,5,Black,5.0
125,6,Black,5.0
126,7,Black,4.0
127,8,Black,5.0
128,9,Black,6.0
129,10,Black,5.0
130,11,Black,6.0
131,12,Black,5.0
132,13,Black,5.0
133,14,Black,5.0
134,15,Black,4.0
135,16,Black,4.0
136,17,Black,4.0
137,18,Black,5.0
138,19,Black,4.0
139,20,Black,5.0
140,21,Black,5.0
141,22,Black,5.0
142,23,Black,5.0
143,24,Black,5.0
180,1,White,854.0
181,2,White,853.0
182,3,White,863.0
183,4,White,858.0
184,5,White,861.0
185,6,White,861.0
186,7,White,856.0
187,8,White,858.0
188,9,White,851.0
189,10,White,859.0
190,11,White,855.0
191,12,White,861.0
192,13,White,861.0
193,14,White,856.0
194,15,White,864.0
195,16,White,858.0
196,17,White,857.0
197,18,White,862.0
198,19,White,851.0
199,20,White,858.0
200,21,White,860.0
201,22,White,858.0
202,23,White,861.0
203,24,White,849.0
209,1,Red,303.0
210,2,Red,306.0
211,3,Red,303.0
212,4,Red,302.0
213,5,Red,303.0
214,6,Red,305.0
215,7,Red,299.0
216,8,Red,304.0
217,9,Red,305.0
218,10,Red,301.0
219,11,Red,308.0
220,12,Red,300.0
221,13,Red,305.0
222,14,Red,308.0
223,15,Red,302.0
224,16,Red,304.0
225,17,Red,302.0
226,18,Red,306.0
227,19,Red,301.0
228,20,Red,304.0
229,21,Red,304.0
230,22,Red,305.0
231,23,Red,307.0
232,24,Red,306.0
239,1,Green,368.0
240,2,Green,366.0
241,3,Green,368.0
242,4,Green,371.0
243,5,Green,369.0
244,6,Green,367.0
245,7,Green,366.0
246,8,Green,366.0
247,9,Green,372.0
248,10,Green,368.0
249,11,Green,368.0
250,12,Green,370.0
251,13,Green,364.0
252,14,Green,367.0
253,15,Green,371.0
254,16,Green,372.0
255,17,Green,365.0
256,18,Green,370.0
257,19,Green,368.0
258,20,Green,369.0
259,21,Green,370.0
260,22,Green,367.0
261,23,Green,374.0
262,24,Green,373.0
269,1,Blue,233.0
270,2,Blue,235.0
271,3,Blue,234.0
272,4,Blue,239.0
273,5,Blue,237.0
274,6,Blue,237.0
275,7,Blue,234.0
276,8,Blue,235.0
277,9,Blue,235.0
278,10,Blue,236.0
279,11,Blue,236.0
280,12,Blue,235.0
281,13,Blue,240.0
282,14,Blue,236.0
283,15,Blue,236.0
284,16,Blue,234.0
285,17,Blue,234.0
286,18,Blue,238.0
287,19,Blue,235.0
288,20,Blue,237.0
289,21,Blue,236.0
290,22,Blue,241.0
291,23,Blue,241.0
292,24,Blue,235.0
299,1,Black,5.0
300,2,Black,5.0
301,3,Black,6.0
302,4,Black,5.0
303,5,Black,5.0
304,6,Black,6.0
305,7,Black,5.0
306,8,Black,5.0
307,9,Black,5.0
308,10,Black,5.0
309,11,Black,5.0
310,12,Black,4.0
311,13,Black,4.0
312,14,Black,5.0
313,15,Black,4.0
314,16,Black,5.0
315,17,Black,5.0
316,18,Black,5.0
317,19,Black,5.0
318,20,Black,6.0
319,21,Black,6.0
320,22,Black,6.0
321,23,Black,5.0
322,24,Black,5.0
358,1,White,859.0
359,2,White,861.0
360,3,White,863.0
361,4,White,855.0
362,5,White,862.0
363,6,White,854.0
364,7,White,860.0
365,8,White,862.0
366,9,White,860.0
367,10,White,858.0
368,11,White,854.0
369,12,White,859.0
370,13,White,858.0
371,14,White,860.0
372,15,White,861.0
373,16,White,861.0
374,17,White,859.0
375,18,White,860.0
376,19,White,865.0
377,20,White,863.0
378,21,White,855.0
379,22,White,863.0
380,23,White,861.0
381,24,White,867.0
388,1,Red,308.0
389,2,Red,302.0
390,3,Red,305.0
391,4,Red,304.0
392,5,Red,307.0
393,6,Red,302.0
394,7,Red,307.0
395,8,Red,308.0
396,9,Red,305.0
397,10,Red,305.0
398,11,Red,300.0
399,12,Red,306.0
400,13,Red,303.0
401,14,Red,305.0
402,15,Red,310.0
403,16,Red,302.0
404,17,Red,306.0
405,18,Red,301.0
406,19,Red,304.0
407,20,Red,308.0
408,21,Red,302.0
409,22,Red,301.0
410,23,Red,309.0
411,24,Red,301.0
418,1,Green,367.0
419,2,Green,371.0
420,3,Green,373.0
421,4,Green,370.0
422,5,Green,368.0
423,6,Green,365.0
424,7,Green,368.0
425,8,Green,369.0
426,9,Green,372.0
427,10,Green,371.0
428,11,Green,375.0
429,12,Green,369.0
430,13,Green,367.0
431,14,Green,374.0
432,15,Green,373.0
433,16,Green,371.0
434,17,Green,377.0
435,18,Green,371.0
436,19,Green,373.0
437,20,Green,368.0
438,21,Green,368.0
439,22,Green,369.0
440,23,Green,373.0
441,24,Green,371.0
448,1,Blue,237.0
449,2,Blue,240.0
450,3,Blue,241.0
451,4,Blue,239.0
452,5,Blue,238.0
453,6,Blue,240.0
454,7,Blue,236.0
455,8,Blue,239.0
456,9,Blue,240.0
457,10,Blue,236.0
458,11,Blue,238.0
459,12,Blue,238.0
460,13,Blue,241.0
461,14,Blue,238.0
462,15,Blue,237.0
463,16,Blue,237.0
464,17,Blue,236.0
465,18,Blue,236.0
466,19,Blue,243.0
467,20,Blue,238.0
468,21,Blue,238.0
469,22,Blue,238.0
470,23,Blue,243.0
471,24,Blue,234.0
478,1,Black,4.0
479,2,Black,5.0
480,3,Black,4.0
481,4,Black,5.0
482,5,Black,5.0
483,6,Black,5.0
484,7,Black,5.0
485,8,Black,6.0
486,9,Black,6.0
487,10,Black,5.0
488,11,Black,5.0
489,12,Black,6.0
490,13,Black,5.0
491,14,Black,6.0
492,15,Black,4.0
493,16,Black,5.0
494,17,Black,4.0
495,18,Black,4.0
496,19,Black,5.0
497,20,Black,5.0
498,21,Black,5.0
499,22,Black,6.0
500,23,Black,5.0
501,24,Black,6.0
537,1,White,862.0
538,2,White,863.0
539,3,White,859.0
540,4,White,861.0
541,5,White,868.0
542,6,White,864.0
543,7,White,861.0
544,8,White,866.0
