No.,Order,Color,Intensity
1,1,White,125.0
2,2,White,120.0
3,3,White,126.0
4,4,White,124.0
5,5,White,131.0
6,6,White,128.0
7,7,White,130.0
8,8,White,126.0
9,9,White,131.0
10,10,White,126.0
11,11,White,129.0
12,12,White,132.0
13,13,White,133.0
14,14,White,124.0
15,15,White,124.0
16,16,White,130.0
17,17,White,136.0
18,18,White,131.0
19,19,White,132.0
20,20,White,128.0
21,21,White,127.0
22,22,White,134.0
23,23,White,131.0
24,24,White,132.0
30,1,Red,21.0
31,2,Red,21.0
32,3,Red,20.0
33,4,Red,24.0
34,5,Red,21.0
35,6,Red,21.0
36,7,Red,20.0
37,8,Red,25.0
38,9,Red,22.0
39,10,Red,24.0
40,11,Red,24.0
41,12,Red,20.0
42,13,Red,22.0
43,14,Red,22.0
44,15,Red,25.0
45,16,Red,21.0
46,17,Red,23.0
47,18,Red,22.0
48,19,Red,22.0
49,20,Red,21.0
50,21,Red,25.0
51,22,Red,21.0
52,23,Red,21.0
53,24,Red,23.0
59,1,Green,51.0
60,2,Green,51.0
61,3,Green,53.0
62,4,Green,50.0
63,5,Green,53.0
64,6,Green,51.0
65,7,Green,48.0
66,8,Green,49.0
67,9,Green,50.0
68,10,Green,50.0
69,11,Green,52.0
70,12,Green,52.0
71,13,Green,47.0
72,14,Green,52.0
73,15,Green,54.0
74,16,Green,50.0
75,17,Green,49.0
76,18,Green,55.0
77,19,Green,52.0
78,20,Green,52.0
79,21,Green,51.0
80,22,Green,52.0
81,23,Green,50.0
82,24,Green,49.0
88,1,Blue,69.0
89,2,Blue,68.0
90,3,Blue,69.0
91,4,Blue,70.0
92,5,Blue,67.0
93,6,Blue,69.0
94,7,Blue,69.0
95,8,Blue,68.0
96,9,Blue,70.0
97,10,Blue,71.0
98,11,Blue,74.0
99,12,Blue,73.0
100,13,Blue,67.0
101,14,Blue,72.0
102,15,Blue,71.0
103,16,Blue,68.0
104,17,Blue,69.0
105,18,Blue,69.0
106,19,Blue,70.0
107,20,Blue,68.0
108,21,Blue,70.0
109,22,Blue,69.0
110,23,Blue,68.0
111,24,Blue,71.0
117,1,Black,5.0
118,2,Black,6.0
119,3,Black,6.0
120,4,Black,4.0
121,5,Black,5.0
122,6,Black,4.0
123,7,Black,6.0
124,8,Black,5.0
125,9,Black,5.0
126,10,Black,5.0
127,11,Black,5.0
128,12,Black,6.0
129,13,Black,5.0
130,14,Black,6.0
131,15,Black,6.0
132,16,Black,5.0
133,17,Black,5.0
134,18,Black,5.0
135,19,Black,6.0
