No.,Order,Color,Intensity
1,1,White,911.0
2,2,White,920.0
3,3,White,912.0
4,4,White,917.0
5,5,White,911.0
6,6,White,904.0
7,7,White,905.0
8,8,White,899.0
9,9,White,911.0
10,10,White,915.0
11,11,White,913.0
12,12,White,914.0
13,13,White,917.0
14,14,White,918.0
15,15,White,911.0
16,16,White,914.0
17,17,White,916.0
18,18,White,915.0
19,19,White,914.0
20,20,White,918.0
21,21,White,922.0
22,22,White,922.0
23,23,White,918.0
24,24,White,921.0
30,1,Red,308.0
31,2,Red,310.0
32,3,Red,313.0
33,4,Red,312.0
34,5,Red,313.0
35,6,Red,312.0
36,7,Red,310.0
37,8,Red,309.0
38,9,Red,310.0
39,10,Red,314.0
40,11,Red,310.0
41,12,Red,315.0
42,13,Red,305.0
43,14,Red,316.0
44,15,Red,315.0
45,16,Red,310.0
46,17,Red,313.0
47,18,Red,308.0
48,19,Red,303.0
49,20,Red,309.0
50,21,Red,314.0
51,22,Red,311.0
52,23,Red,308.0
53,24,Red,313.0
59,1,Green,424.0
60,2,Green,419.0
61,3,Green,429.0
62,4,Green,418.0
63,5,Green,427.0
64,6,Green,427.0
65,7,Green,429.0
66,8,Green,421.0
67,9,Green,424.0
68,10,Green,424.0
69,11,Green,418.0
70,12,Green,418.0
71,13,Green,427.0
72,14,Green,422.0
73,15,Green,428.0
74,16,Green,418.0
75,17,Green,421.0
76,18,Green,421.0
77,19,Green,427.0
78,20,Green,421.0
79,21,Green,417.0
80,22,Green,421.0
81,23,Green,422.0
82,24,Green,422.0
88,1,Blue,264.0
89,2,Blue,267.0
90,3,Blue,266.0
91,4,Blue,272.0
92,5,Blue,263.0
93,6,Blue,264.0
94,7,Blue,267.0
95,8,Blue,272.0
96,9,Blue,265.0
97,10,Blue,265.0
98,11,Blue,264.0
99,12,Blue,267.0
100,13,Blue,261.0
101,14,Blue,270.0
102,15,Blue,263.0
103,16,Blue,264.0
104,17,Blue,266.0
105,18,Blue,261.0
106,19,Blue,263.0
107,20,Blue,261.0
108,21,Blue,264.0
109,22,Blue,272.0
110,23,Blue,264.0
111,24,Blue,263.0
117,1,Black,9.0
118,2,Black,8.0
119,3,Black,9.0
120,4,Black,9.0
121,5,Black,7.0
122,6,Black,10.0
123,7,Black,8.0
124,8,Black,10.0
125,9,Black,8.0
126,10,Black,10.0
127,11,Black,6.0
128,12,Black,9.0
129,13,Black,7.0
130,14,Black,9.0
131,15,Black,10.0
132,16,Black,8.0
133,17,Black,9.0
134,18,Black,9.0
135,19,Black,8.0
136,20,Black,9.0
137,21,Black,9.0
138,22,Black,7.0
139,23,Black,9.0
140,24,Black,8.0
176,1,White,917.0
177,2,White,912.0
178,3,White,913.0
179,4,White,915.0
180,5,White,910.0
181,6,White,918.0
182,7,White,917.0
183,8,White,916.0
184,9,White,914.0
185,10,White,917.0
186,11,White,912.0
187,12,White,923.0
188,13,White,920.0
189,14,White,908.0
190,15,White,923.0
191,16,White,913.0
192,17,White,914.0
193,18,White,915.0
194,19,White,916.0
195,20,White,913.0
196,21,White,921.0
197,22,White,916.0
198,23,White,910.0
199,24,White,918.0
205,1,Red,309.0
206,2,Red,312.0
207,3,Red,313.0
208,4,Red,307.0
209,5,Red,312.0
210,6,Red,310.0
211,7,Red,309.0
212,8,Red,310.0
213,9,Red,310.0
214,10,Red,314.0
215,11,Red,305.0
216,12,Red,307.0
217,13,Red,306.0
218,14,Red,311.0
219,15,Red,307.0
220,16,Red,307.0
221,17,Red,304.0
222,18,Red,315.0
223,19,Red,311.0
224,20,Red,311.0
225,21,Red,307.0
226,22,Red,310.0
227,23,Red,309.0
228,24,Red,306.0
234,1,Green,401.0
235,2,Green,405.0
236,3,Green,395.0
237,4,Green,403.0
238,5,Green,394.0
239,6,Green,395.0
240,7,Green,404.0
241,8,Green,397.0
242,9,Green,401.0
243,10,Green,397.0
244,11,Green,393.0
245,12,Green,400.0
246,13,Green,395.0
247,14,Green,402.0
248,15,Green,411.0
249,16,Green,414.0
250,17,Green,414.0
251,18,Green,408.0
252,19,Green,418.0
253,20,Green,419.0
254,21,Green,420.0
255,22,Green,412.0
256,23,Green,405.0
257,24,Green,415.0
263,1,Blue,265.0
264,2,Blue,265.0
265,3,Blue,264.0
266,4,Blue,264.0
267,5,Blue,265.0
268,6,Blue,270.0
269,7,Blue,268.0
270,8,Blue,265.0
271,9,Blue,267.0
272,10,Blue,269.0
273,11,Blue,264.0
274,12,Blue,265.0
275,13,Blue,270.0
276,14,Blue,265.0
277,15,Blue,263.0
278,16,Blue,265.0
279,17,Blue,265.0
280,18,Blue,262.0
281,19,Blue,266.0
282,20,Blue,269.0
283,21,Blue,268.0
284,22,Blue,265.0
285,23,Blue,268.0
286,24,Blue,264.0
292,1,Black,8.0
293,2,Black,10.0
294,3,Black,7.0
295,4,Black,10.0
296,5,Black,7.0
297,6,Black,8.0
298,7,Black,9.0
299,8,Black,8.0
300,9,Black,8.0
301,10,Black,9.0
302,11,Black,8.0
303,12,Black,8.0
304,13,Black,9.0
305,14,Black,8.0
306,15,Black,9.0
307,16,Black,7.0
308,17,Black,9.0
309,18,Black,8.0
310,19,Black,10.0
311,20,Black,7.0
312,21,Black,8.0
313,22,Black,7.0
314,23,Black,10.0
315,24,Black,10.0
350,1,White,916.0
351,2,White,910.0
352,3,White,921.0
353,4,White,916.0
354,5,White,917.0
355,6,White,913.0
356,7,White,917.0
357,8,White,919.0
358,9,White,913.0
359,10,White,912.0
360,11,White,915.0
361,12,White,913.0
362,13,White,915.0
363,14,White,911.0
364,15,White,917.0
365,16,White,913.0
366,17,White,909.0
367,18,White,909.0
368,19,White,911.0
369,20,White,916.0
370,21,White,914.0
371,22,White,915.0
372,23,White,915.0
373,24,White,916.0
379,1,Red,307.0
380,2,Red,307.0
381,3,Red,309.0
382,4,Red,308.0
383,5,Red,307.0
384,6,Red,308.0
385,7,Red,311.0
386,8,Red,314.0
387,9,Red,308.0
388,10,Red,308.0
389,11,Red,305.0
390,12,Red,307.0
391,13,Red,309.0
392,14,Red,308.0
393,15,Red,309.0
394,16,Red,309.0
395,17,Red,309.0
396,18,Red,309.0
397,19,Red,316.0
398,20,Red,309.0
399,21,Red,306.0
400,22,Red,311.0
401,23,Red,307.0
402,24,Red,310.0
408,1,Green,407.0
409,2,Green,406.0
410,3,Green,400.0
411,4,Green,394.0
412,5,Green,401.0
413,6,Green,399.0
414,7,Green,406.0
415,8,Green,412.0
416,9,Green,408.0
417,10,Green,404.0
418,11,Green,405.0
419,12,Green,400.0
420,13,Green,401.0
421,14,Green,398.0
422,15,Green,396.0
423,16,Green,408.0
424,17,Green,399.0
425,18,Green,409.0
426,19,Green,398.0
427,20,Green,397.0
428,21,Green,400.0
429,22,Green,403.0
430,23,Green,402.0
431,24,Green,397.0
438,1,Blue,263.0
439,2,Blue,267.0
440,3,Blue,269.0
441,4,Blue,271.0
442,5,Blue,267.0
443,6,Blue,268.0
444,7,Blue,264.0
445,8,Blue,264.0
446,9,Blue,267.0
447,10,Blue,266.0
448,11,Blue,271.0
449,12,Blue,264.0
450,13,Blue,264.0
451,14,Blue,264.0
452,15,Blue,266.0
453,16,Blue,264.0
454,17,Blue,265.0
455,18,Blue,262.0
456,19,Blue,262.0
457,20,Blue,268.0
458,21,Blue,264.0
459,22,Blue,259.0
460,23,Blue,265.0
461,24,Blue,267.0
467,1,Black,7.0
468,2,Black,8.0
469,3,Black,7.0
470,4,Black,7.0
471,5,Black,7.0
472,6,Black,8.0
473,7,Black,7.0
474,8,Black,7.0
475,9,Black,7.0
476,10,Black,7.0
477,11,Black,7.0
478,12,Black,7.0
479,13,Black,7.0
480,14,Black,7.0
481,15,Black,7.0
482,16,Black,7.0
483,17,Black,7.0
484,18,Black,8.0
485,19,Black,7.0
486,20,Black,6.0
487,21,Black,7.0
488,22,Black,7.0
489,23,Black,6.0
490,24,Black,7.0
525,1,White,911.0
526,2,White,918.0
527,3,White,917.0
528,4,White,914.0
529,5,White,912.0
530,6,White,917.0
531,7,White,918.0
532,8,White,921.0
533,9,White,914.0
534,10,White,921.0
535,11,White,920.0
536,12,White,919.0
537,13,White,916.0
538,14,White,918.0
539,15,White,916.0
540,16,White,918.0
541,17,White,915.0
542,18,White,922.0
543,19,White,914.0
544,20,White,915.0
545,21,White,920.0
546,22,White,917.0
547,23,White,923.0
548,24,White,919.0
554,1,Red,311.0
555,2,Red,307.0
556,3,Red,310.0
