No.,Order,Color,Intensity
1,1,White,689.0
2,2,White,683.0
3,3,White,692.0
4,4,White,686.0
5,5,White,686.0
6,6,White,689.0
7,7,White,678.0
8,8,White,679.0
9,9,White,676.0
10,10,White,673.0
11,11,White,676.0
12,12,White,665.0
13,13,White,666.0
14,14,White,671.0
15,15,White,667.0
16,16,White,667.0
17,17,White,664.0
18,18,White,668.0
19,19,White,660.0
20,20,White,661.0
21,21,White,660.0
22,22,White,656.0
23,23,White,657.0
24,24,White,654.0
31,1,Red,205.0
32,2,Red,202.0
33,3,Red,208.0
34,4,Red,202.0
35,5,Red,203.0
36,6,Red,199.0
37,7,Red,198.0
38,8,Red,200.0
39,9,Red,196.0
40,10,Red,196.0
41,11,Red,196.0
42,12,Red,191.0
43,13,Red,193.0
44,14,Red,188.0
45,15,Red,188.0
46,16,Red,191.0
47,17,Red,190.0
48,18,Red,184.0
49,19,Red,187.0
50,20,Red,186.0
51,21,Red,183.0
52,22,Red,183.0
53,23,Red,183.0
54,24,Red,181.0
60,1,Green,239.0
61,2,Green,243.0
62,3,Green,241.0
63,4,Green,242.0
64,5,Green,236.0
65,6,Green,234.0
66,7,Green,236.0
67,8,Green,235.0
68,9,Green,230.0
69,10,Green,228.0
70,11,Green,225.0
71,12,Green,227.0
72,13,Green,225.0
73,14,Green,218.0
74,15,Green,221.0
75,16,Green,219.0
76,17,Green,218.0
77,18,Green,218.0
78,19,Green,218.0
79,20,Green,216.0
80,21,Green,212.0
81,22,Green,213.0
82,23,Green,210.0
83,24,Green,205.0
90,1,Blue,168.0
91,2,Blue,167.0
92,3,Blue,166.0
93,4,Blue,164.0
94,5,Blue,169.0
95,6,Blue,166.0
96,7,Blue,166.0
97,8,Blue,159.0
98,9,Blue,166.0
99,10,Blue,159.0
100,11,Blue,159.0
101,12,Blue,156.0
102,13,Blue,160.0
103,14,Blue,158.0
104,15,Blue,158.0
105,16,Blue,153.0
106,17,Blue,154.0
107,18,Blue,152.0
108,19,Blue,156.0
109,20,Blue,154.0
110,21,Blue,152.0
111,22,Blue,152.0
112,23,Blue,152.0
113,24,Blue,149.0
120,1,Black,8.0
121,2,Black,8.0
122,3,Black,9.0
123,4,Black,7.0
124,5,Black,7.0
125,6,Black,8.0
126,7,Black,7.0
127,8,Black,7.0
128,9,Black,7.0
129,10,Black,7.0
130,11,Black,7.0
131,12,Black,9.0
132,13,Black,7.0
133,14,Black,8.0
134,15,Black,8.0
135,16,Black,8.0
136,17,Black,8.0
137,18,Black,9.0
138,19,Black,7.0
139,20,Black,7.0
140,21,Black,7.0
141,22,Black,9.0
142,23,Black,8.0
143,24,Black,8.0
180,1,White,395.0
181,2,White,396.0
182,3,White,390.0
183,4,White,394.0
184,5,White,395.0
185,6,White,393.0
186,7,White,397.0
187,8,White,400.0
188,9,White,399.0
189,10,White,396.0
190,11,White,401.0
191,12,White,397.0
192,13,White,398.0
193,14,White,396.0
194,15,White,395.0
195,16,White,399.0
196,17,White,399.0
197,18,White,398.0
198,19,White,397.0
199,20,White,396.0
200,21,White,398.0
201,22,White,402.0
202,23,White,398.0
203,24,White,397.0
209,1,Red,104.0
210,2,Red,109.0
