No.,Order,Color,Intensity
1,1,White,695.0
2,2,White,693.0
3,3,White,694.0
4,4,White,697.0
5,5,White,695.0
6,6,White,705.0
7,7,White,705.0
8,8,White,689.0
9,9,White,705.0
10,10,White,698.0
11,11,White,690.0
12,12,White,707.0
13,13,White,695.0
14,14,White,700.0
15,15,White,699.0
16,16,White,698.0
17,17,White,704.0
18,18,White,691.0
19,19,White,690.0
20,20,White,692.0
21,21,White,702.0
22,22,White,701.0
23,23,White,699.0
24,24,White,694.0
30,1,Red,244.0
31,2,Red,242.0
32,3,Red,248.0
33,4,Red,247.0
34,5,Red,241.0
35,6,Red,242.0
36,7,Red,243.0
37,8,Red,246.0
38,9,Red,243.0
39,10,Red,245.0
40,11,Red,246.0
41,12,Red,245.0
42,13,Red,247.0
43,14,Red,249.0
44,15,Red,241.0
45,16,Red,241.0
46,17,Red,244.0
47,18,Red,244.0
48,19,Red,242.0
49,20,Red,243.0
50,21,Red,245.0
51,22,Red,245.0
52,23,Red,247.0
53,24,Red,246.0
60,1,Green,293.0
61,2,Green,299.0
62,3,Green,290.0
63,4,Green,293.0
64,5,Green,293.0
65,6,Green,290.0
66,7,Green,294.0
67,8,Green,294.0
68,9,Green,290.0
69,10,Green,294.0
70,11,Green,291.0
71,12,Green,290.0
72,13,Green,293.0
73,14,Green,292.0
74,15,Green,290.0
75,16,Green,292.0
76,17,Green,299.0
77,18,Green,290.0
78,19,Green,297.0
79,20,Green,292.0
80,21,Green,291.0
81,22,Green,299.0
82,23,Green,296.0
83,24,Green,298.0
90,1,Blue,196.0
91,2,Blue,200.0
92,3,Blue,195.0
93,4,Blue,194.0
94,5,Blue,202.0
95,6,Blue,199.0
96,7,Blue,201.0
97,8,Blue,196.0
98,9,Blue,199.0
99,10,Blue,199.0
100,11,Blue,198.0
101,12,Blue,195.0
102,13,Blue,198.0
103,14,Blue,194.0
104,15,Blue,202.0
105,16,Blue,197.0
106,17,Blue,201.0
107,18,Blue,201.0
108,19,Blue,196.0
109,20,Blue,197.0
110,21,Blue,198.0
111,22,Blue,197.0
112,23,Blue,198.0
113,24,Blue,199.0
120,1,Black,7.0
121,2,Black,7.0
122,3,Black,7.0
123,4,Black,8.0
124,5,Black,8.0
125,6,Black,7.0
126,7,Black,6.0
127,8,Black,7.0
128,9,Black,7.0
129,10,Black,8.0
130,11,Black,7.0
131,12,Black,7.0
132,13,Black,8.0
133,14,Black,8.0
134,15,Black,7.0
135,16,Black,8.0
136,17,Black,8.0
137,18,Black,6.0
138,19,Black,7.0
139,20,Black,7.0
140,21,Black,8.0
141,22,Black,7.0
142,23,Black,8.0
143,24,Black,7.0
180,1,White,703.0
181,2,White,711.0
182,3,White,706.0
183,4,White,700.0
184,5,White,703.0
185,6,White,704.0
186,7,White,701.0
187,8,White,706.0
188,9,White,705.0
189,10,White,710.0
190,11,White,703.0
191,12,White,707.0
192,13,White,702.0
193,14,White,693.0
194,15,White,708.0
195,16,White,702.0
196,17,White,711.0
197,18,White,704.0
198,19,White,699.0
199,20,White,706.0
200,21,White,708.0
201,22,White,696.0
202,23,White,708.0
203,24,White,704.0
210,1,Red,246.0
211,2,Red,252.0
212,3,Red,251.0
213,4,Red,249.0
214,5,Red,253.0
215,6,Red,251.0
216,7,Red,251.0
217,8,Red,246.0
218,9,Red,246.0
219,10,Red,247.0
220,11,Red,247.0
221,12,Red,250.0
222,13,Red,247.0
223,14,Red,242.0
224,15,Red,246.0
225,16,Red,246.0
226,17,Red,250.0
227,18,Red,249.0
228,19,Red,248.0
229,20,Red,250.0
230,21,Red,247.0
231,22,Red,253.0
232,23,Red,244.0
233,24,Red,245.0
240,1,Green,299.0
241,2,Green,299.0
242,3,Green,293.0
243,4,Green,297.0
244,5,Green,297.0
245,6,Green,296.0
246,7,Green,302.0
247,8,Green,300.0
248,9,Green,304.0
249,10,Green,298.0
250,11,Green,296.0
251,12,Green,297.0
252,13,Green,298.0
253,14,Green,299.0
254,15,Green,302.0
255,16,Green,301.0
256,17,Green,300.0
257,18,Green,303.0
258,19,Green,295.0
259,20,Green,302.0
260,21,Green,304.0
261,22,Green,303.0
262,23,Green,293.0
263,24,Green,297.0
270,1,Blue,196.0
271,2,Blue,195.0
272,3,Blue,198.0
273,4,Blue,202.0
274,5,Blue,196.0
275,6,Blue,195.0
276,7,Blue,200.0
277,8,Blue,201.0
278,9,Blue,204.0
279,10,Blue,202.0
280,11,Blue,199.0
281,12,Blue,201.0
282,13,Blue,201.0
283,14,Blue,199.0
284,15,Blue,204.0
285,16,Blue,198.0
286,17,Blue,200.0
287,18,Blue,196.0
288,19,Blue,196.0
289,20,Blue,202.0
290,21,Blue,203.0
291,22,Blue,198.0
292,23,Blue,196.0
293,24,Blue,203.0
300,1,Black,7.0
301,2,Black,7.0
302,3,Black,7.0
303,4,Black,7.0
304,5,Black,7.0
305,6,Black,7.0
306,7,Black,8.0
307,8,Black,7.0
308,9,Black,8.0
309,10,Black,8.0
310,11,Black,7.0
311,12,Black,7.0
312,13,Black,6.0
313,14,Black,8.0
314,15,Black,7.0
315,16,Black,8.0
316,17,Black,8.0
317,18,Black,7.0
318,19,Black,6.0
319,20,Black,8.0
320,21,Black,7.0
321,22,Black,7.0
322,23,Black,8.0
323,24,Black,8.0
360,1,White,715.0
361,2,White,715.0
362,3,White,713.0
363,4,White,710.0
364,5,White,712.0
365,6,White,707.0
366,7,White,711.0
367,8,White,717.0
368,9,White,716.0
369,10,White,710.0
370,11,White,711.0
371,12,White,705.0
372,13,White,713.0
373,14,White,713.0
374,15,White,711.0
375,16,White,716.0
376,17,White,711.0
377,18,White,704.0
378,19,White,715.0
379,20,White,713.0
380,21,White,717.0
381,22,White,709.0
382,23,White,705.0
383,24,White,709.0
390,1,Red,253.0
391,2,Red,252.0
392,3,Red,251.0
393,4,Red,252.0
394,5,Red,256.0
395,6,Red,248.0
396,7,Red,251.0
397,8,Red,251.0
398,9,Red,249.0
399,10,Red,250.0
400,11,Red,249.0
401,12,Red,250.0
402,13,Red,249.0
403,14,Red,254.0
404,15,Red,247.0
405,16,Red,252.0
406,17,Red,249.0
407,18,Red,249.0
408,19,Red,254.0
409,20,Red,248.0
410,21,Red,250.0
411,22,Red,249.0
412,23,Red,252.0
413,24,Red,251.0
420,1,Green,297.0
421,2,Green,302.0
422,3,Green,304.0
423,4,Green,300.0
424,5,Green,300.0
425,6,Green,307.0
426,7,Green,300.0
427,8,Green,299.0
428,9,Green,301.0
429,10,Green,307.0
430,11,Green,300.0
431,12,Green,300.0
432,13,Green,302.0
433,14,Green,301.0
434,15,Green,296.0
435,16,Green,305.0
436,17,Green,304.0
437,18,Green,300.0
438,19,Green,303.0
439,20,Green,301.0
440,21,Green,302.0
441,22,Green,296.0
442,23,Green,299.0
443,24,Green,303.0
450,1,Blue,196.0
451,2,Blue,204.0
452,3,Blue,204.0
453,4,Blue,204.0
454,5,Blue,202.0
455,6,Blue,199.0
456,7,Blue,202.0
457,8,Blue,205.0
458,9,Blue,205.0
459,10,Blue,202.0
460,11,Blue,198.0
461,12,Blue,201.0
462,13,Blue,202.0
463,14,Blue,204.0
464,15,Blue,206.0
465,16,Blue,203.0
466,17,Blue,202.0
467,18,Blue,200.0
468,19,Blue,198.0
469,20,Blue,200.0
470,21,Blue,204.0
471,22,Blue,204.0
472,23,Blue,205.0
473,24,Blue,205.0
480,1,Black,8.0
481,2,Black,8.0
482,3,Black,8.0
483,4,Black,7.0
484,5,Black,8.0
485,6,Black,7.0
486,7,Black,7.0
487,8,Black,8.0
488,9,Black,7.0
489,10,Black,8.0
490,11,Black,7.0
491,12,Black,7.0
492,13,Black,7.0
493,14,Black,7.0
494,15,Black,7.0
495,16,Black,8.0
496,17,Black,7.0
497,18,Black,8.0
498,19,Black,8.0
499,20,Black,8.0
500,21,Black,7.0
501,22,Black,7.0
502,23,Black,8.0
503,24,Black,7.0
540,1,White,726.0
541,2,White,720.0
542,3,White,722.0
543,4,White,722.0
544,5,White,721.0
545,6,White,728.0
546,7,White,725.0
547,8,White,724.0
548,9,White,720.0
549,10,White,723.0
550,11,White,728.0
551,12,White,720.0
552,13,White,721.0
553,14,White,723.0
554,15,White,718.0
555,16,White,729.0
556,17,White,722.0
557,18,White,723.0
558,19,White,724.0
559,20,White,723.0
560,21,White,723.0
561,22,White,727.0
562,23,White,728.0
563,24,White,729.0
570,1,Red,251.0
571,2,Red,253.0
572,3,Red,252.0
573,4,Red,254.0
574,5,Red,255.0
575,6,Red,248.0
576,7,Red,252.0
577,8,Red,253.0
578,9,Red,247.0
579,10,Red,250.0
580,11,Red,257.0
581,12,Red,250.0
582,13,Red,253.0
583,14,Red,256.0
584,15,Red,253.0
585,16,Red,251.0
586,17,Red,255.0
587,18,Red,249.0
588,19,Red,251.0
589,20,Red,256.0
590,21,Red,257.0
591,22,Red,252.0
592,23,Red,255.0
593,24,Red,255.0
600,1,Green,305.0
601,2,Green,301.0
602,3,Green,303.0
603,4,Green,304.0
604,5,Green,310.0
605,6,Green,310.0
606,7,Green,308.0
607,8,Green,304.0
608,9,Green,306.0
609,10,Green,302.0
610,11,Green,305.0
611,12,Green,304.0
612,13,Green,312.0
613,14,Green,312.0
614,15,Green,305.0
615,16,Green,300.0
616,17,Green,305.0
617,18,Green,303.0
618,19,Green,305.0
619,20,Green,305.0
620,21,Green,305.0
621,22,Green,304.0
622,23,Green,306.0
623,24,Green,304.0
630,1,Blue,208.0
631,2,Blue,203.0
632,3,Blue,203.0
633,4,Blue,202.0
634,5,Blue,206.0
635,6,Blue,199.0
636,7,Blue,208.0
637,8,Blue,203.0
638,9,Blue,208.0
639,10,Blue,202.0
640,11,Blue,205.0
641,12,Blue,201.0
642,13,Blue,207.0
643,14,Blue,206.0
644,15,Blue,204.0
645,16,Blue,202.0
646,17,Blue,206.0
647,18,Blue,205.0
648,19,Blue,199.0
649,20,Blue,201.0
650,21,Blue,206.0
651,22,Blue,203.0
652,23,Blue,204.0
653,24,Blue,207.0
659,1,Black,7.0
660,2,Black,7.0
661,3,Black,7.0
662,4,Black,8.0
663,5,Black,7.0
664,6,Black,7.0
665,7,Black,6.0
666,8,Black,7.0
667,9,Black,7.0
668,10,Black,7.0
