No.,Order,Color,Intensity
1,1,White,950.0
2,2,White,954.0
3,3,White,953.0
4,4,White,948.0
5,5,White,944.0
6,6,White,946.0
7,7,White,950.0
8,8,White,947.0
9,9,White,946.0
10,10,White,946.0
11,11,White,952.0
12,12,White,946.0
13,13,White,952.0
14,14,White,952.0
15,15,White,948.0
16,16,White,947.0
17,17,White,952.0
18,18,White,947.0
19,19,White,947.0
20,20,White,945.0
21,21,White,951.0
22,22,White,950.0
23,23,White,954.0
24,24,White,950.0
30,1,Red,330.0
31,2,Red,322.0
32,3,Red,330.0
33,4,Red,327.0
34,5,Red,328.0
35,6,Red,330.0
36,7,Red,330.0
37,8,Red,332.0
38,9,Red,325.0
39,10,Red,325.0
40,11,Red,330.0
41,12,Red,327.0
42,13,Red,327.0
43,14,Red,332.0
44,15,Red,332.0
45,16,Red,332.0
46,17,Red,325.0
47,18,Red,329.0
48,19,Red,327.0
49,20,Red,324.0
50,21,Red,324.0
51,22,Red,326.0
52,23,Red,333.0
53,24,Red,329.0
59,1,Green,437.0
60,2,Green,442.0
61,3,Green,442.0
62,4,Green,442.0
63,5,Green,440.0
64,6,Green,441.0
65,7,Green,440.0
66,8,Green,439.0
67,9,Green,438.0
68,10,Green,438.0
69,11,Green,444.0
70,12,Green,448.0
71,13,Green,445.0
72,14,Green,437.0
73,15,Green,445.0
74,16,Green,443.0
75,17,Green,437.0
76,18,Green,444.0
77,19,Green,442.0
78,20,Green,443.0
79,21,Green,436.0
80,22,Green,442.0
81,23,Green,443.0
82,24,Green,447.0
89,1,Blue,292.0
90,2,Blue,293.0
91,3,Blue,294.0
92,4,Blue,296.0
93,5,Blue,292.0
94,6,Blue,295.0
95,7,Blue,293.0
96,8,Blue,293.0
97,9,Blue,293.0
98,10,Blue,292.0
99,11,Blue,292.0
100,12,Blue,293.0
101,13,Blue,289.0
102,14,Blue,291.0
103,15,Blue,299.0
104,16,Blue,296.0
105,17,Blue,297.0
106,18,Blue,296.0
107,19,Blue,296.0
108,20,Blue,291.0
109,21,Blue,291.0
110,22,Blue,293.0
111,23,Blue,294.0
112,24,Blue,298.0
118,1,Black,6.0
119,2,Black,7.0
120,3,Black,6.0
121,4,Black,7.0
122,5,Black,8.0
123,6,Black,8.0
124,7,Black,9.0
125,8,Black,6.0
126,9,Black,8.0
127,10,Black,8.0
128,11,Black,7.0
129,12,Black,6.0
130,13,Black,8.0
131,14,Black,7.0
132,15,Black,7.0
133,16,Black,8.0
134,17,Black,7.0
135,18,Black,8.0
136,19,Black,8.0
137,20,Black,7.0
138,21,Black,8.0
139,22,Black,8.0
140,23,Black,8.0
141,24,Black,8.0
176,1,White,949.0
177,2,White,947.0
178,3,White,949.0
179,4,White,949.0
180,5,White,947.0
181,6,White,949.0
182,7,White,950.0
183,8,White,949.0
184,9,White,946.0
185,10,White,949.0
186,11,White,949.0
187,12,White,953.0
188,13,White,949.0
189,14,White,947.0
190,15,White,947.0
191,16,White,949.0
192,17,White,953.0
193,18,White,950.0
194,19,White,949.0
195,20,White,947.0
196,21,White,953.0
197,22,White,953.0
198,23,White,952.0
199,24,White,948.0
206,1,Red,327.0
207,2,Red,325.0
208,3,Red,326.0
209,4,Red,320.0
210,5,Red,328.0
211,6,Red,322.0
212,7,Red,327.0
213,8,Red,329.0
214,9,Red,331.0
215,10,Red,327.0
216,11,Red,330.0
217,12,Red,326.0
218,13,Red,328.0
