No.,Order,Color,Intensity
1,1,White,156.0
2,2,White,154.0
3,3,White,159.0
4,4,White,153.0
5,5,White,158.0
6,6,White,156.0
7,7,White,155.0
8,8,White,154.0
9,9,White,154.0
10,10,White,156.0
11,11,White,157.0
12,12,White,151.0
13,13,White,159.0
14,14,White,159.0
15,15,White,153.0
16,16,White,152.0
17,17,White,153.0
18,18,White,152.0
19,19,White,152.0
20,20,White,153.0
21,21,White,155.0
22,22,White,154.0
23,23,White,152.0
24,24,White,158.0
30,1,Red,25.0
31,2,Red,24.0
32,3,Red,26.0
33,4,Red,26.0
34,5,Red,26.0
35,6,Red,24.0
36,7,Red,23.0
37,8,Red,23.0
38,9,Red,24.0
39,10,Red,25.0
40,11,Red,23.0
41,12,Red,27.0
42,13,Red,24.0
43,14,Red,23.0
44,15,Red,25.0
45,16,Red,26.0
46,17,Red,23.0
47,18,Red,27.0
48,19,Red,26.0
49,20,Red,25.0
50,21,Red,27.0
51,22,Red,23.0
52,23,Red,23.0
53,24,Red,23.0
58,1,Green,64.0
59,2,Green,65.0
60,3,Green,66.0
61,4,Green,68.0
62,5,Green,67.0
63,6,Green,63.0
64,7,Green,63.0
65,8,Green,63.0
66,9,Green,64.0
67,10,Green,66.0
68,11,Green,63.0
69,12,Green,67.0
70,13,Green,65.0
71,14,Green,65.0
72,15,Green,66.0
73,16,Green,65.0
74,17,Green,65.0
75,18,Green,65.0
76,19,Green,66.0
77,20,Green,67.0
78,21,Green,66.0
79,22,Green,63.0
80,23,Green,68.0
81,24,Green,63.0
87,1,Blue,80.0
88,2,Blue,85.0
89,3,Blue,79.0
90,4,Blue,81.0
91,5,Blue,82.0
92,6,Blue,78.0
93,7,Blue,86.0
94,8,Blue,78.0
95,9,Blue,79.0
96,10,Blue,81.0
97,11,Blue,81.0
98,12,Blue,81.0
99,13,Blue,83.0
100,14,Blue,84.0
101,15,Blue,80.0
102,16,Blue,85.0
103,17,Blue,83.0
104,18,Blue,81.0
105,19,Blue,80.0
106,20,Blue,83.0
107,21,Blue,84.0
108,22,Blue,84.0
109,23,Blue,79.0
110,24,Blue,85.0
116,1,Black,6.0
117,2,Black,8.0
118,3,Black,7.0
119,4,Black,6.0
120,5,Black,7.0
121,6,Black,7.0
122,7,Black,8.0
123,8,Black,8.0
124,9,Black,8.0
125,10,Black,8.0
126,11,Black,7.0
127,12,Black,7.0
128,13,Black,7.0
129,14,Black,7.0
130,15,Black,7.0
131,16,Black,7.0
132,17,Black,6.0
133,18,Black,7.0
134,19,Black,8.0
135,20,Black,7.0
136,21,Black,7.0
137,22,Black,6.0
138,23,Black,8.0
139,24,Black,8.0
173,1,White,157.0
174,2,White,154.0
175,3,White,154.0
176,4,White,156.0
177,5,White,155.0
178,6,White,153.0
179,7,White,155.0
180,8,White,157.0
181,9,White,155.0
182,10,White,151.0
183,11,White,153.0
184,12,White,153.0
185,13,White,157.0
186,14,White,157.0
187,15,White,155.0
188,16,White,158.0
189,17,White,156.0
190,18,White,158.0
191,19,White,155.0
192,20,White,154.0
193,21,White,157.0
194,22,White,153.0
195,23,White,153.0
196,24,White,157.0
202,1,Red,26.0
203,2,Red,23.0
204,3,Red,25.0
205,4,Red,26.0
206,5,Red,25.0
207,6,Red,23.0
208,7,Red,25.0
209,8,Red,26.0
210,9,Red,25.0
211,10,Red,25.0
212,11,Red,27.0
213,12,Red,26.0
214,13,Red,27.0
215,14,Red,22.0
216,15,Red,24.0
217,16,Red,23.0
218,17,Red,25.0
219,18,Red,26.0
220,19,Red,25.0
221,20,Red,26.0
222,21,Red,25.0
223,22,Red,23.0
224,23,Red,23.0
225,24,Red,27.0
231,1,Green,68.0
232,2,Green,64.0
233,3,Green,63.0
234,4,Green,66.0
235,5,Green,66.0
236,6,Green,66.0
237,7,Green,64.0
238,8,Green,62.0
239,9,Green,65.0
240,10,Green,66.0
241,11,Green,66.0
242,12,Green,61.0
243,13,Green,65.0
244,14,Green,64.0
245,15,Green,66.0
246,16,Green,63.0
247,17,Green,65.0
248,18,Green,68.0
249,19,Green,66.0
250,20,Green,66.0
251,21,Green,62.0
252,22,Green,61.0
253,23,Green,66.0
254,24,Green,63.0
259,1,Blue,84.0
260,2,Blue,85.0
261,3,Blue,81.0
262,4,Blue,80.0
263,5,Blue,81.0
264,6,Blue,79.0
265,7,Blue,82.0
266,8,Blue,79.0
267,9,Blue,81.0
268,10,Blue,82.0
269,11,Blue,84.0
270,12,Blue,82.0
271,13,Blue,84.0
272,14,Blue,81.0
273,15,Blue,83.0
274,16,Blue,79.0
275,17,Blue,80.0
276,18,Blue,78.0
277,19,Blue,80.0
278,20,Blue,80.0
279,21,Blue,82.0
280,22,Blue,84.0
281,23,Blue,79.0
282,24,Blue,81.0
288,1,Black,7.0
289,2,Black,6.0
290,3,Black,6.0
291,4,Black,8.0
292,5,Black,7.0
293,6,Black,7.0
294,7,Black,6.0
295,8,Black,6.0
296,9,Black,6.0
297,10,Black,8.0
298,11,Black,6.0
299,12,Black,7.0
300,13,Black,6.0
301,14,Black,7.0
302,15,Black,8.0
303,16,Black,7.0
304,17,Black,6.0
305,18,Black,6.0
306,19,Black,7.0
307,20,Black,8.0
308,21,Black,6.0
309,22,Black,6.0
310,23,Black,8.0
311,24,Black,8.0
345,1,White,157.0
346,2,White,154.0
347,3,White,151.0
348,4,White,157.0
349,5,White,154.0
350,6,White,156.0
351,7,White,156.0
352,8,White,154.0
353,9,White,156.0
354,10,White,154.0
355,11,White,157.0
356,12,White,151.0
357,13,White,157.0
358,14,White,153.0
359,15,White,154.0
360,16,White,152.0
361,17,White,152.0
362,18,White,153.0
363,19,White,152.0
364,20,White,159.0
365,21,White,155.0
366,22,White,151.0
367,23,White,155.0
368,24,White,159.0
374,1,Red,26.0
375,2,Red,27.0
376,3,Red,24.0
377,4,Red,23.0
378,5,Red,26.0
379,6,Red,24.0
380,7,Red,27.0
381,8,Red,23.0
382,9,Red,25.0
383,10,Red,23.0
384,11,Red,26.0
385,12,Red,25.0
386,13,Red,26.0
387,14,Red,23.0
388,15,Red,23.0
389,16,Red,23.0
390,17,Red,23.0
391,18,Red,25.0
392,19,Red,25.0
393,20,Red,25.0
394,21,Red,24.0
395,22,Red,25.0
396,23,Red,25.0
397,24,Red,24.0
403,1,Green,61.0
404,2,Green,62.0
405,3,Green,65.0
406,4,Green,62.0
407,5,Green,65.0
408,6,Green,65.0
409,7,Green,66.0
410,8,Green,62.0
411,9,Green,64.0
412,10,Green,68.0
413,11,Green,64.0
414,12,Green,65.0
415,13,Green,65.0
416,14,Green,61.0
417,15,Green,67.0
418,16,Green,62.0
419,17,Green,65.0
420,18,Green,61.0
421,19,Green,66.0
422,20,Green,64.0
423,21,Green,65.0
424,22,Green,67.0
425,23,Green,65.0
426,24,Green,62.0
432,1,Blue,81.0
433,2,Blue,79.0
434,3,Blue,79.0
435,4,Blue,84.0
436,5,Blue,80.0
437,6,Blue,79.0
438,7,Blue,78.0
439,8,Blue,81.0
440,9,Blue,82.0
441,10,Blue,79.0
442,11,Blue,78.0
443,12,Blue,85.0
444,13,Blue,82.0
445,14,Blue,84.0
446,15,Blue,84.0
447,16,Blue,82.0
448,17,Blue,82.0
449,18,Blue,80.0
450,19,Blue,78.0
451,20,Blue,85.0
452,21,Blue,81.0
453,22,Blue,78.0
454,23,Blue,81.0
455,24,Blue,82.0
460,1,Black,6.0
461,2,Black,7.0
462,3,Black,6.0
463,4,Black,8.0
464,5,Black,8.0
465,6,Black,7.0
466,7,Black,6.0
467,8,Black,7.0
468,9,Black,7.0
469,10,Black,7.0
470,11,Black,6.0
471,12,Black,8.0
472,13,Black,7.0
473,14,Black,6.0
474,15,Black,7.0
475,16,Black,7.0
476,17,Black,7.0
477,18,Black,7.0
478,19,Black,8.0
479,20,Black,6.0
480,21,Black,6.0
481,22,Black,7.0
482,23,Black,7.0
483,24,Black,6.0
518,1,White,154.0
519,2,White,151.0
520,3,White,153.0
521,4,White,154.0
522,5,White,150.0
523,6,White,155.0
524,7,White,151.0
525,8,White,153.0
526,9,White,155.0
527,10,White,153.0
528,11,White,152.0
529,12,White,153.0
530,13,White,151.0
531,14,White,152.0
532,15,White,155.0
533,16,White,151.0
534,17,White,152.0
535,18,White,155.0
